"%dh","%dh"
"%dh %dm","%dh %dm"
"%dm","%dm"
"%dm %ds","%dm %d"
"%ds","%ds"
"Are you sure you want to disable the selected cron job(s)?","Czy na pewno chcesz wyłączyć wybrane zadania cron?"
"At %s","W %s"
"Callback","Callback"
"Clear History","Wyczyść historię"
"Close","Zamknij"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - wszystkie czasy są w minutach"
"Cron does not appear to be running. No jobs have been executed in the last hour. Please verify that cron is configured on your server.","Cron nie wydaje się być uruchomiony. Nie wykonano żadnych zadań w ciągu ostatniej godziny. Upewnij się, że cron jest skonfigurowany na serwerze."
"Cron history has been cleared. %d record(s) deleted.","Historia crona została wyczyszczona. %d rekordów usuniętych."
"Cron job ""%s"" has been disabled.","Zadanie Cron ""%s"" zostało wyłączone."
"Cron job ""%s"" has been enabled.","Zadanie Cron ""%s"" zostało włączone."
"Cron Jobs","Zadania Cron"
"Daily","Codziennie"
"Daily at %s","Codziennie o %s"
"day %s","dzień %s"
"Disable","Wyłącz"
"Disabled","Wyłączone"
"Enable","Włącz"
"Enabled","Włączone"
"Every %d hours at minute %d","Każdy %d godzin w minucie %d"
"Every %d minutes","Co %d minut"
"Every cron run","Każdy cron biegnie"
"Every hour","Co godzinę"
"Every minute","Co minutę"
"Execution History","Historia wykonania"
"Failure History Lifetime","Historia niepowodzeń"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Dla poprawnych adresów URL generowanych podczas operacji cron upewnij się, że sieć > Bezpieczne i niezabezpieczone adresy URL są wyraźnie ustawione."
"Generate Schedules Every","Generowanie harmonogramów co"
"History","Historia"
"History Cleanup Every","Czyszczenie historii co"
"hour %s","godzina %s"
"Hourly","Godzina"
"Invalid callback: %s::%s does not exist","Nieprawidłowe wywołanie: %s::%s nie istnieje"
"Invalid model/method definition, expecting ""model/class::method"".","Nieprawidłowa definicja modelu/metody, oczekiwanie ""model/class::method""."
"Job Code","Kod pracy"
"Last Run","Ostatnie uruchomienie"
"Last Status","Ostatni status"
"minute %s","minute %s"
"Missed","Nieodebrane"
"Missed if Not Run Within","Pominięto, jeśli nie działa w ciągu"
"month %s","miesiąc %s"
"Monthly","Miesięczny"
"Monthly on day %d at %s","Miesięcznie w dniu %d w %s"
"Next Run","Następne uruchomienie"
"No callbacks found","Nie znaleziono wywołań zwrotnych"
"No execution history found.","Nie znaleziono historii wykonania."
"No job code specified.","Nie określono kodu zadania."
"No schedule ID specified.","Nie określono ID harmonogramu."
"Not scheduled","Nie zaplanowane"
"Pending","Oczekujące"
"Please select cron job(s).","Proszę wybrać zadania cron."
"Run Cron Job","Uruchom zadanie Cron"
"Running","Uruchamianie"
"Running...","Uruchamianie..."
"Run Now","Uruchom teraz"
"Schedule","Harmonogram"
"Schedule Ahead for","Harmonogram z myślą o"
"Schedule not found.","Nie znaleziono harmonogramu."
"Success","Sukces"
"Success History Lifetime","Żywotność historii sukcesu"
"Too late for the schedule.","Zbyt późno na harmonogram."
"Total of %d cron job(s) were disabled.","Łącznie %d zadania cron zostały wyłączone."
"Total of %d cron job(s) were enabled.","Całkowita liczba zadań %d cron została włączona."
"Unable to save the cron expression.","Nie można zapisać wyrażenia cron."
"Unknown cron job: %s","Nieznana praca cron: %s"
"weekday %s","Dzień Tygodnia %s"
"Weekly","Tygodniowo"
"Weekly on %s at %s","Tygodniowe na %s w %s"
