"%s Screenshot","%s zrzut ekranu"
"%s violation(s)","%s naruszenia"
"Accessibility Scan","Skanowanie dostępności"
"Accessibility Scan Report","Raport Skanowania Dostępności"
"Accessibility Violations","Naruszenia dostępności"
"Advanced","Zaawansowane"
"Are you sure you want to delete this scan?","Czy na pewno chcesz usunąć ten skan?"
"axe-core could not automatically evaluate %s check(s) (for example, color contrast over an image). Review them manually.","nie można automatycznie ocenić %s sprawdza(ów) (np. kontrastu kolorów na obrazek). Przejrzyj je ręcznie."
"Back","Powrót"
"CLI","KLIJ"
"Command failed (exit code %s): %s","Polecenie nie powiodło się (kod wyjścia %s): %s"
"Command timed out after %s seconds: %s","Przekroczono limit czasu polecenia po %s sekundach: %s"
"Complete","Complete"
"Completed","Zakończone"
"Conformance level used when starting a scan without an explicit level.","Poziom zgodności używany podczas uruchamiania skanowania bez wyraźnego poziomu."
"Critical","Krytyczne"
"Cron expression. Default: <strong>0 3 * * *</strong> (daily at 3am).","Wyrażenie Cron. Domyślnie: <strong>0 3 * * *</strong> (codziennie o 3am)."
"Cron Schedule","Harmonogram crona"
"Date","Data"
"Default WCAG Level","Domyślny poziom WCAG"
"Delete","Usuń"
"Delete Scans After","Usuń skany po"
"Desktop","Pulpit"
"Desktop Viewport","Widok pulpitu"
"Enabled","Włączone"
"Export PDF","Eksportuj PDF"
"Failed","Niepowodzenie"
"Fix all of the following","Napraw wszystkie poniższe"
"Fix any of the following","Napraw którykolwiek z poniższych elementów"
"General Settings","Ustawienia ogólne"
"How to fix","Jak naprawić"
"HTML","HTML"
"ID","ID"
"Invalid scan URL ""%s"": every URL must belong to one of the configured store base URLs","Nieprawidłowy adres URL skanowania ""%s"": każdy adres URL musi należeć do jednego ze skonfigurowanych podstawowych adresów URL sklepu"
"Learn more","Poznaj więcej"
"Manual","Ręcznie"
"Maximum time in seconds to wait for a single page scan.","Maksymalny czas w sekundach, aby poczekać na skanowanie jednej strony."
"Minor","Małe"
"Mobile","Komórka"
"Mobile Viewport","Widok mobilny"
"Moderate","Umiarkowane"
"Needs Review","Wymaga przeglądu"
"No automatically detectable violations were found. Automated checks cover only part of WCAG, so manual testing with a keyboard and a screen reader is still recommended.","Nie znaleziono automatycznie wykrywalnych naruszeń. Automatyczne kontrole obejmują tylko część WCAG, więc ręczne testy z klawiaturą i czytnikiem ekranu są nadal zalecane."
"Node.js %s is installed, but the scanner requires version %s or newer.","Node.js %s jest zainstalowany, ale skaner wymaga wersji %s lub nowszej."
"Node.js Binary Path","Ścieżka binarna Node.js"
"Node.js was not found (looking for ""%s""). Install Node.js %s or newer, or set its full path in System > Configuration > Accessibility Scan.","Nie znaleziono Node.js (szukaj ""%s""). Zainstaluj węzeł. s %s lub nowsza, lub ustaw pełną ścieżkę w systemie > Konfiguracja > Skanowanie ułatwień."
