"%d Review(s)","%d Recenzja(y)"
"1 star","1 gwiazdka"
"2 stars","2 gwiazdki"
"3 stars","3 gwiazdki"
"4 stars","4 gwiazdek"
"5 stars","5 gwiazdek"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Dodaj nową opinię"
"Administrator","Administrator"
"Allow Guests to Write Reviews","Pozwól gościom pisać recenzje"
"All Reviews","Wszystkie recenzje"
"All Reviews of Customer `%s`","Wszystkie opinie klienta `%s`"
"All Reviews of Product `%s`","Wszystkie recenzje produktu `%s`"
"Approved","Zatwierdzone"
"Are you sure?","Jesteś pewien?"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Average Customer Rating:","Średnia ocena klienta:"
"Back","Powrót"
"Back to My Reviews","Wróć do moich recenzji"
"Be the First to Review","Bądź pierwszym, który przejmie"
"Be the first to review this product","Bądź pierwszym, który przejrzy ten produkt"
"Cancel","Anuluj"
"Close","Zamknij"
"Created On","Utworzono"
"Customer","Klient"
"Customer My Account Product Reviews","Moje opinie o produkcie Klienta"
"Customer My Account Review Details","Szczegóły mojego konta"
"Customer Reviews","Opinie klientów"
"Customers Reviews","Opinie klientów"
"Delete","Usuń"
"Delete Review","Usuń recenzję"
"Detailed Rating","Szczegółowa ocena"
"Edit Review '%s'","Edytuj recenzję '%s'"
"Guest","Gość"
"ID","ID"
"Manage Ratings","Zarządzaj ocenami"
"My Product Reviews","Moje opinie o produkcie"
"My Recent Reviews","Moje ostatnie opinie"
"Name","Nazwisko"
"Name in Store","Nazwa w sklepie"
"New Review","Nowa recenzja"
"Nickname","Pseudonim"
"Nickname can't be empty","Pseudonim nie może być pusty"
"Not Approved","Nie Zatwierdzone"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Tylko zarejestrowani użytkownicy mogą zapisywać opinie. Proszę <a href=""%s"">zalogować się</a> lub <a href=""%s"">zarejestruj</a>"
"Pending","Oczekujące"
"Pending Reviews","Oczekujące opinie"
"Pending Reviews of Customer `%s`","Oczekujące opinie klienta `%s`"
"Per IP address. Default 5 per hour. 0 to disable.","Na adres IP. Domyślnie 5 na godzinę. 0, aby wyłączyć."
"Please select a rating for each category","Proszę wybrać ocenę dla każdej kategorii"
"Posted By","Opublikowany przez"
"Price","Cena"
"Product","Produkt"
"Product Name","Nazwa produktu"
"Product Rating","Ocena produktu"
"Product Reviews","Opinie o produkcie"
"Product SKU","SKU produktu"
"Products Reviews","Recenzje produktów"
"Qty","Ilość"
"Rating:","Ocena:"
"Review","Artykuł 3"
"Review (submitted on %s):","Recenzja (przesłana do %s):"
"Review can't be empty","Recenzja nie może być pusta"
"Review Details","Szczegóły przeglądu"
"Review Form Fields Before","Przed polami formularza recenzji"
"Reviews","Recenzje"
"Reviews and Ratings","Recenzje i oceny"
"Review submit","Prześlij opinię"
"Review summary can't be empty","Podsumowanie recenzji nie może być puste"
"Save Review","Zapisz opinię"
"SKU","SKU"
"Status","Status"
"Submit Review","Prześlij opinię"
"Summary","Summary"
"Summary of Review","Streszczenie przeglądu"
"Summary Rating","Ocena podsumowująca"
"This product has no reviews yet","Ten produkt nie ma jeszcze recenzji"
"Title","Rozporządzenie Rady (EWG) nr 2658/87 z dnia 23 lipca 1987 r. w sprawie nomenklatury taryfowej i statystycznej oraz w sprawie Wspólnej Taryfy Celnej (Dz.U. L 256 z 7.9.1987, s. 1)."
"Type","Typ"
"Unable to post the review.","Nie można opublikować opinii."
"Update Status","Aktualizuj status"
"View All Reviews","Zobacz wszystkie recenzje"
"View Details","Zobacz szczegóły"
"Visible In","Widoczne w"
"Websites","Strony internetowe"
"Write a Review","Napisz opinię"
"You're reviewing:","Przeglądasz:"
"You have submitted no reviews.","Nie przesłałeś żadnych opinii."
"Your Rating:","Twoja ocena:"
"Your Review (submitted on %s):","Twoja recenzja (przesłana do %s):"
"Your review has been accepted for moderation.","Twoja opinia została zaakceptowana do moderacji."
