"# of Items (and above)","Liczba elementów (i powyżej)"
"# of Items vs. Destination","# przedmiotów vs. Cel"
"An error occurred while import table rates.","Wystąpił błąd podczas importowania tabeli stawek."
"Calculate Handling Fee","Oblicz opłatę manipulacyjną"
"Carrier:","Przewoźnik:"
"City","Miasto"
"Close Window","Zamknij okno"
"Condition","Stan"
"contact us","skontaktuj się z nami"
"Country","W związku z powyższym Komisja stwierdza, że w okresie objętym dochodzeniem przeglądowym przywóz produktu objętego postępowaniem z ChRL nie mógł zostać objęty środkami antydumpingowymi."
"Custom Value","Wartość niestandardowa"
"Date","Data"
"Delivered on:","Dostarczono:"
"Delivered to:","Dostarczone do:"
"Description","Opis"
"Displayed Error Message","Wyświetlony komunikat o błędzie"
"Divide to equal weight (one request)","Dzielenie na równą wagę (jedno żądanie)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplikuj wiersz #%s (Kraj ""%s"", Region/State ""%s"", ZIP ""%s"" i Wartość ""%s"")."
"email us at ","napisz do nas na "
"Enabled","Włączone"
"Error:","Błąd:"
"Export","Eksportuj"
"File has not been imported. See the following list of errors: %s","Plik nie został zaimportowany. Zobacz następującą listę błędów: %s"
"Fixed","Naprawione"
"Flat Rate","Stawka ryczałtowa"
" for more information or "," aby uzyskać więcej informacji lub "
"Free Shipping","Darmowa dostawa"
"Handling Fee","Opłata manipulacyjna"
"Import","Importuj"
"Include Virtual Products in Price Calculation","Uwzględnij produkty wirtualne w kalkulacji ceny"
"Info:","Informacje:"
"Invalid %s ""%s"" in the Row #%s.","Nieprawidłowy %s ""%s"" w wierszu #%s."
"Invalid Country ""%s"" in the Row #%s.","Nieprawidłowy kraj ""%s"" w wierszu #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Nieprawidłowy region/województwo ""%s"" w wierszu #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Nieprawidłowa cena dostawy ""%s"" w wierszu #%s."
"Invalid Table Rate code for type %s: %s","Nieprawidłowy kod stawki tabeli dla typu %s: %s"
"Invalid Table Rate code type: %s","Nieprawidłowy typ kodu stawki tabely: %s"
"Invalid Table Rates File Format","Nieprawidłowy format pliku tabeli stawek"
"Invalid Table Rates format in the Row #%s","Nieprawidłowy format tabeli stawek w wierszu #%s"
"Local Time","Czas lokalny"
"Location","Lokalizacja"
"Method Name","Nazwa metody"
"Minimum Order Amount","Minimalna kwota zamówienia"
"N/A","Nie dotyczy."
"None","Brak"
"Options","Opcje"
"Order Subtotal (and above)","Suma częściowa zamówienia (i powyżej)"
"Origin","Pochodzenie"
"Percent","Procent"
"Per Order","Na zamówienie"
"Per Package","Na pakiet"
"Price","Cena"
"Price vs. Destination","Cena vs. cel"
"Region/State","Region/województwo"
"Service Type:","Typ usługi:"
"Shipment #","Dostawa #"
"Shipment Tracking Popup","Wyskakujące okienko śledzenia dostawy"
"Shipped or billed on:","Dostarczone lub rozliczone:"
"Shipping Methods","Metody wysyłki"
"Shipping Settings","Ustawienia wysyłki"
"Ship to Applicable Countries","Wysyłka do odpowiednich krajów"
"Ship to Specific Countries","Wysyłka do określonych krajów"
"Show Method if Not Applicable","Pokaż metodę, jeśli nie ma zastosowania"
"Signed by:","Podpisane przez:"
"Sort Order","Kolejność sortowania"
"Status:","Stan:"
"Street Address","Ulica"
"Street Address Line 2","Ulica Adres 2"
"Table Rates","Stawki tabeli"
"There is no tracking available.","Brak dostępnych śledzeń."
"There is no tracking available for this shipment.","Brak dostępnych śledzeń dla tej przesyłki."
"The shipping module is not available.","Moduł wysyłki jest niedostępny."
"The shipping module is not available for selected delivery country.","Moduł wysyłki nie jest dostępny dla wybranego kraju dostawy"
"This shipping method is currently unavailable.","Ta metoda wysyłki jest obecnie niedostępna."
"This shipping method is not available, please specify ZIP-code","Ta metoda wysyłki jest niedostępna, proszę podać kod pocztowy"
"Title","Rozporządzenie Rady (EWG) nr 2658/87 z dnia 23 lipca 1987 r. w sprawie nomenklatury taryfowej i statystycznej oraz w sprawie Wspólnej Taryfy Celnej (Dz.U. L 256 z 7.9.1987, s. 1)."
"Track:","Ścieżka:"
"Tracking Information","Informacje o śledzeniu"
"Tracking information is currently not available. Please ","Informacje o śledzeniu są obecnie niedostępne. Proszę "
"Tracking information is currently unavailable.","Śledzenie informacji jest obecnie niedostępne."
"Tracking Number:","Numer śledzenia:"
"Type","Typ"
"Use origin weight (few requests)","Użyj wagi pochodzenia (kilka żądań)"
"Weight (and above)","Waga (i powyżej)"
"Weight:","Waga:"
"Weight vs. Destination","Waga vs. Cel"
"ZIP/Postal Code","Kod pocztowy"
