"Action","Akcja"
"Add Sitemap","Dodaj mapę strony"
"Always","Zawsze"
"Categories Options","Opcje kategorii"
"CMS Pages Options","Opcje stron CMS"
"Daily","Codziennie"
"Do not show in sitemap","Nie pokazuj w mapie strony"
"Edit Sitemap","Edytuj mapę strony"
"Enabled","Włączone"
"Error Email Recipient","Błąd adresu e-mail odbiorcy"
"Error Email Sender","Error Email Sender"
"Error Email Template","Błąd szablonu wiadomości e-mail"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Plik ""%s"" nie może zostać zapisany. Upewnij się, że katalog ""%s"" jest zapisywalny przez serwer WWW."
"Filename","Nazwa pliku"
"Frequency","Częstotliwość"
"Generate","Wygeneruj"
"Generation Settings","Ustawienia generowania"
"Google Sitemap","Mapa strony Google"
"Hourly","Godzina"
"ID","ID"
"Include Images","Dołącz obrazy"
"Last Time Generated","Ostatni wygenerowany czas"
"Link for Google","Link do Google"
"Maximum URLs per Sitemap File","Maksymalna ilość adresów URL na plik mapy strony"
"Monthly","Miesięczny"
"Never","Nigdy"
"New Sitemap","Nowa mapa strony"
"Path","Ścieżka"
"Please create the specified folder ""%s"" inside your public directory before saving the sitemap.","Proszę utworzyć określony folder ""%s"" wewnątrz katalogu publicznego przed zapisaniem mapy witryny."
"Please define correct path","Proszę zdefiniować poprawną ścieżkę"
"Please enter a sitemap name with at most %s characters.","Wprowadź nazwę mapy strony z najwyżej %s znakami."
"Please make sure that ""%s"" inside your public directory is writable by web-server.","Upewnij się, że ""%s"" wewnątrz katalogu publicznego jest zapisywalny na serwerze internetowym."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Proszę używać tylko liter (a-z lub A-Z), cyfr (0-9) lub podkreślenia (_) w nazwie pliku. Spacje lub inne znaki nie są dozwolone."
"Priority","Priorytet"
"Products Options","Opcje produktów"
"Show lastmod","Show lastmod"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Ostrzeżenia generowania mapy strony"
"Split sitemap files when they exceed this number of URLs","Podziel pliki mapy witryny, gdy przekraczają tę liczbę adresów URL"
"Start Time","Czas rozpoczęcia"
"Store View","Widok sklepu"
"The priority must be between 0 and 1.","Priorytet musi wynosić od 0 do 1."
"The sitemap ""%s"" has been generated.","Mapa witryny ""%s"" została wygenerowana."
"The sitemap has been deleted.","Mapa witryny została usunięta."
"The sitemap has been saved.","Mapa witryny została zapisana."
"This sitemap no longer exists.","Ta mapa strony już nie istnieje."
"Unable to find a sitemap to delete.","Nie można znaleźć mapy strony do usunięcia."
"Unable to find a sitemap to generate.","Nie można znaleźć mapy strony do wygenerowania."
"Unable to generate the sitemap.","Nie można wygenerować mapy witryny."
"Valid values range: from 0.0 to 1.0.","Prawidłowy zakres wartości: od 0.0 do 1.0."
"Weekly","Tygodniowo"
"Yearly","Rocznie"
