"Add","Dodaj"
"Add links and samples to downloadable product","Add links and samples to downloadable product"
"Add New Row","Dodaj nowy rząd"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Litery alfabetu, kreski i podkreślenia są polecane dla nazw plików. Nieprawidłowe znaki zostaną zastąpione przez '_'."
"An error occurred while getting the requested content.","An error occurred while getting the requested content."
"An error occurred while getting the requested content. Please contact the store owner.","An error occurred while getting the requested content. Please contact the store owner."
"An error occurred while saving the file(s).","An error occurred while saving the file(s)."
"attachment","załącznik"
"Availability:","Dostępność:"
"Back","Powrót"
"Canceled","Anulowane"
"Cannot connect to remote host, error: %s.","Cannot connect to remote host, error: %s."
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Category API","Category API"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","Data"
"Default Link Title","Domyślny tytuł dla linków"
"Default Maximum Number of Downloads","Domyślna maksymalna ilość ściągnięć"
"Default Sample Title","Domyślny tytuł dla próbek"
"Delete","Usuń"
"Disable Guest Checkout if Cart Contains Downloadable Items","Wyłącz zakupy dla niezalogowanych jeśli koszyk zawiera produkty do pobrania"
"Disable Sample","Disable Sample"
"download","ściągnij"
"Downloadable Information","Informacje o produktach do pobrania"
"Downloadable Product","Downloadable Product"
"Downloadable Product Options","Opcje produktów do pobrania"
"Edit","Edytuj"
"Edit item parameters","Edytuj parametry elementu"
"Excl. Tax","Bez podatku"
"File","Plik"
"File:","File:"
"From:","Z:"
"Gift Message","Wiadomość prezentowa"
"Go to <a href=""%s"">My Downloadable Products</a>","Go to <a href=""%s"">My Downloadable Products</a>"
"Guest checkout will only work with shareable.","Zakupy dla niezalogowanych będą działały tylko ze współdzielonymi"
"Incl. Tax","Z podatkiem"
"inline","liniowy"
"In stock","W magazynie"
"Invalid download link type.","Nieprawidłowy typ odnośnika pobierania"
"Invalid download URL host.","Invalid download URL host."
"Invalid download URL scheme.","Invalid download URL scheme."
"Invalid file path.","Invalid file path."
"Invoiced","Zafakturowane"
"Links can be purchased separately","Linki mogą zostać kupione osobno"
"List","Lista"
"Max. Downloads","Maksymalna ilość ściągnięć"
"Message:","Wiadomość:"
"Move","Przenieś"
"Move to wishlist","Move to wishlist"
"My Downloadable Products","Produkty do pobrania"
"Open Links in New Window","Otwórz linki w nowym oknie"
"Order #","Zamówienie #"
"Ordered","Zamówień"
"Order id cannot be null","ID zamówienia nie może być puste"
"Order item id cannot be null","ID elementu zamówienia nie może być puste"
"Order Item Status to Enable Downloads","Status elementu zamówienia umożliwiający pobranie"
"Out of stock","Brak w magazynie"
"Pending","Oczekujący"
"Please log in to download your product.","Please log in to download your product."
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Please log in to download your product or purchase <a href=""%s"">%s</a>."
"Please set resource file and link type.","Prosimy wybrać plik źródłowy i typ odnośnika"
"Please specify product link(s).","Określ link(i) produktu"
"Price","Cena"
"Product downloadable links","Product downloadable links"
"Qty","Ilość"
"Refunded","Zwrócone"
"Remaining Downloads","Pozostałe ściągnięcia"
"Remove","Usunąć"
"Remove Item","Usuń produkt"
"Remove links and samples from downloadable product","Remove links and samples from downloadable product"
"Requested link does not exist.","Requested link does not exist."
"Retrieve links and samples list from downloadable product","Retrieve links and samples list from downloadable product"
"Sample","próbka"
"sample","próbka"
"See price before order confirmation.","Zobacz cenę przed potwierdzeniem zamówienia."
"Shareable","Współdzielony"
"Shipped","Wysłane"
"SKU","SKU"
"Sorry, there was an error getting requested content. Please contact the store owner.","Niestety, wystąpił błąd podczas pobierania. Prosimy o kontakt z właścicielem sklepu."
"Sort Order","Kolejność sortowania"
"Start Download","Rozpocznij pobieranie"
"Status","Stan"
"Subtotal","Suma częściowa"
"The file does not exist.","The file does not exist."
"The link has expired.","Link utracił ważność."
"The link is not available.","Link jest niedostępny."
"There are files that were selected but not uploaded yet. Please upload or remove them first","There are files that were selected but not uploaded yet. Please upload or remove them first"
"Title","Tytuł"
"To:","Do:"
"U","U"
"Unlimited","Nielimitowany"
"Update","Aktualizuj"
"URL:","URL:"
"Use Content-Disposition","Użyj rozmieszczenia treści"
"Use Default Value","Użyj wartości domyślnej"
"View Order","Zobacz zamówienie"
"What's this?","Co to jest?"
"You have not purchased any downloadable products yet.","Nie kupowałeś jeszcze żadnych produktów do pobrania."
