"Action","Akcja"
"Activities","Aktywności"
"Activity Information","Informacje o działalności"
"Activity Log","Dziennik aktywności"
"Activity log entry not found","Nie znaleziono wpisu do dziennika aktywności"
"Admin Activity Log","Dziennik aktywności administratora"
"Back","Powrót"
"Configuration","Konfiguracja"
"Create","Utwórz"
"CSV","CSV"
"Date/Time","Data/Czas"
"Days to Keep Logs","Dni przechowywania dzienników"
"Delete","Usuń"
"Enable Admin Activity Log","Włącz dziennik aktywności administratora"
"Entity","Jednostka"
"Entity Type","Typ jednostki"
"Excel XML","Excel XML"
"Failed","Niepowodzenie"
"Failure Reason","Powód niepowodzenia"
"General Settings","Ustawienia ogólne"
"ID","ID"
"IP Address","Adres IP"
"Log Delete Actions","Rejestr akcji usuwania"
"Log Failed Login Attempts","Logowanie nieudanych prób logowania"
"Login","Logowanie"
"Login Activity","Aktywność logowania"
"Log Login/Logout Activity","Loguj/wyloguj aktywność"
"Log Mass Actions","Rejestr akcji masowych"
"Logout","Wyloguj się"
"Log Page Visits","Odwiedziny strony dziennika"
"Log Save Actions","Zapisz akcje"
"Number of days to keep activity logs. Set to 0 to keep forever.","Liczba dni przechowywania dzienników aktywności. Ustaw 0 aby zachować na zawsze."
"Request URL","URL żądania"
"Status","Status"
"Success","Sukces"
"System","System"
"Type","Typ"
"Update","Aktualizuj"
"URL","Adres URL"
"Username","Nazwa użytkownika"
"View","Widok"
"View Activity Log","Wyświetl dziennik aktywności"
"View Activity Log Entry #%s","Zobacz wpis dziennika aktywności #%s"
"View Login Activity","Zobacz aktywność logowania"
