"%s items queued for embedding.","%s elementów w kolejce do osadzania."
"Action","Akcja"
"AI","AI"
"AI: could not refresh models for %s. See exception.log.","AI: nie można odświeżyć modeli dla %s. Zobacz wyjątek."
"AI: refreshed %d models for %s.","AI: odświeżenie %d modeli dla %s."
"AI Configuration","Konfiguracja SI"
"AI Task #%s","AI Task #%s"
"AI Task History","AI Task History"
"AI Usage","Użycie SI"
"already queued","już w kolejce"
"Async Queue","Kolejka Async"
"Auto-embed Categories","Automatyczne osadzanie kategorii"
"Auto-embed Products","Automatyczne osadzanie produktów"
"Back","Powrót"
"Background","Kontekst"
"Blocked Input Patterns","Zablokowane wzory wejściowe"
"Calls","Połączenia"
"Cancelled","Anulowane"
"Categories (%s active)","Kategorie (%s aktywne)"
"Complete","Complete"
"Completed","Zakończone"
"Completion","Ukończenie"
"Consumer","Konsument"
"Context","Kontekst"
"Current Configuration","Aktualna konfiguracja"
"Default AI Provider","Default AI Provider"
"Default Placeholder Height","Domyślna wysokość zastępcy"
"Default Placeholder Width","Domyślna szerokość miejsca"
"Disabled","Wyłączone"
"e.g. http://localhost:11434","e.g. http://localhost:11434"
"e.g. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash","np. openai/gpt-4o, antropina/claude-sonnet-4-6, google/gemini-2.0-flash"
"Embedding","Embedding"
"Embeddings","Osadzanie"
"Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing.","Osadzenia są wyłączone. Włącz je w systemie &gt; AI &gt; Ustawienia przed kolejkowaniem."
"Embed Provider","Osadź dostawcę"
"Embed Status","Status osadzania"
"Enable Async Queue","Włącz kolejkę Async"
"Enabled","Włączone"
"Enable Embeddings","Włącz osadzanie"
"Enable Image Generation","Włącz generowanie obrazów"
"Error","Błąd"
"Error: ","Błąd: "
"Estimated completion: ~%d hours %d minutes.","Estimated completion: ~%d hours %d minutes."
"Estimated completion: ~%d minutes.","Szacowane zakończenie: ~%d minut."
"Failed","Niepowodzenie"
"Failed to fetch models. See exception.log for details.","Nie udało się pobrać modeli. Szczegóły znajdują się w wyjątek.log."
"Fetching...","Pobieranie..."
"Flag responses containing email addresses, phone numbers, or SSNs.","Oznacz odpowiedzi zawierające adresy e-mail, numery telefonów lub SSN."
"Google Embed Model","Model osadzania Google"
"ID","ID"
"Image","Obraz"
"Image Generation","Generowanie obrazu"
"Image Provider","Dostawca obrazów"
"Input Tokens","Input Tokens"
"Interactive","Interaktywny"
"In Tokens","W tokenach"
"Log Requests","Zapytania dziennika"
"Max seconds a task can run before being marked as failed.","Maks. sekund, zadanie może zostać uruchomione zanim zostanie oznaczone jako nieudane."
"Max Tasks Per Cron Run","Maks. ilość zadań na uruchomione Cron"
"Messages","Wiadomości"
