"Action","Akcja"
"Add New Template","Dodaj nowy szablon"
"Add to Queue","Dodaj do kolejki"
"Allow Guest Subscription","Zezwalaj na subskrypcję gościa"
"An error occurred while saving your subscription.","Wystąpił błąd podczas zapisywania subskrypcji."
"Back","Powrót"
"Be the first to know about new arrivals, special offers, and insider news.","Bądź pierwszym, który wie o nowych przybyciach, ofertach specjalnych i wiadomościach wewnętrznych."
"Cancel","Anuluj"
"Cancelled","Anulowane"
"Cannot delete this template. It is currently used by %d email automation sequence(s). Please reassign or delete those sequences first.","Nie można usunąć tego szablonu. Jest on obecnie używany przez sekwencję(y) automatyzacji e-mail %d . Proszę najpierw przypisać lub usunąć te sekwencje."
"Cannot mark as received subscriber.","Nie można oznaczyć jako odebranego subskrybenta."
"Confirmation Email Sender","Nadawca wiadomości potwierdzającej"
"Confirmation Email Template","Szablon wiadomości potwierdzającej"
"Confirmation request has been sent.","Żądanie potwierdzenia zostało wysłane."
"Convert to Plain Text","Konwertuj na zwykły tekst"
"Coupon Code","Kod kuponu"
"Coupon Expiration Date (Formatted)","Data wygaśnięcia kuponu (sformatowany)"
"Coupon Expiration Date (Raw)","Data wygaśnięcia kuponu (Raw)"
"Coupon Rule Description","Opis reguły kuponu"
"Create Newsletter Template","Utwórz szablon newslettera"
"Customer","Klient"
"Customer Email","E-mail klienta"
"Customer First Name","Imię klienta"
"Customer Last Name","Nazwisko klienta"
"Customer Middle Name","Drugie imię klienta"
"Customer My Account Newsletter Subscriptions","Moje subskrypcje newslettera klienta"
"Customer Name","Nazwa klienta"
"Customer Name (Object)","Nazwa klienta (obiekt)"
"Customer Segments","Segmenty klientów"
"Customer Variables","Zmienne klienta"
"Date Added","Data dodania"
"Date Updated","Data aktualizacji"
"Default Template","Domyślny szablon"
"Delete","Usuń"
"Delete Selected Problems","Usuń wybrane problemy"
"Delete Template","Usuń szablon"
"Do you really want to cancel the queue?","Czy na pewno chcesz anulować kolejkę?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Edytuj newsletter"
"Edit Newsletter Template","Edytuj szablon newslettera"
"Edit Queue","Edytuj kolejkę"
"Edit Template","Edytuj szablon"
"Email","E-mail"
"Email Automation Variables","Zmienne automatyzacji e-mail"
"Error Code","Kod błędu"
"Error Text","Tekst błędu"
"Follow this link to unsubscribe:","Kliknij ten link, aby anulować subskrypcję:"
"Guest","Gość"
"ID","ID"
"Insert Variable...","Wstaw zmienną..."
"Invalid queue selected.","Wybrano nieprawidłową kolejkę."
"Invalid sender email address","Nieprawidłowy adres e-mail nadawcy"
"Invalid subscription confirmation code.","Nieprawidłowy kod potwierdzający subskrypcję."
"Invalid subscription ID.","Nieprawidłowy identyfikator subskrypcji."
"Message","Wiadomość"
"Need to Confirm","Potrzeba potwierdzenia"
"New Newsletter Template","Nowy szablon newslettera"
"Newsletter","Newsletter"
"Newsletter Message Preview","Podgląd wiadomości newslettera"
"Newsletter Problem Reports","Raporty problemów z biuletynem"
"Newsletter Queue","Kolejka newslettera"
"Newsletter Styles","Style newslettera"
"Newsletter Subscribers","Subskrybenci newslettera"
"Newsletter Subscription","Subskrypcja newslettera"
"Newsletter subscription confirmation","Potwierdzenie subskrypcji newslettera"
"Newsletter Subscription Form","Formularz subskrypcji newslettera"
"Newsletter Subscription Form Before","Przed formularzem subskrypcji newslettera"
"Newsletter subscription success","Subskrypcja newslettera zakończona sukcesem"
"Newsletter Templates","Szablony newslettera"
"Newsletter unsubscription success","Udało się anulować subskrypcję newslettera"
"Newsletter Variables","Zmienne newslettera"
"New Template","Nowy szablon"
"No problems found.","Nie znaleziono problemów."
"No subscribers selected.","Nie wybrano subskrybentów."
"Not Activated","Nie aktywowano"
"No Templates Found","Nie znaleziono szablonów"
"Not Sent","Nie wysłano"
