"--Please Select--","--Proszę wybrać--"
"Accepted Currency","Akceptowana waluta"
"API Login ID","Identyfikator logowania API"
"Card Verification Number","Numer weryfikacyjny karty"
"Card Verification Number Visual Reference","Wizualny numer weryfikacyjny karty"
"Close","Zamknij"
"Credit Card Number","Numer karty kredytowej"
"Credit Card Type","Typ karty kredytowej"
"Credit Card Types","Rodzaje kart kredytowych"
"Credit Card Verification","Weryfikacja karty kredytowej"
"Debug","Debug"
"Email Customer","E-mail klienta"
"Enabled","Włączone"
"Expiration Date","Data wygaśnięcia"
"Gateway URL","URL bramy"
"Maximum Order Total","Maksymalna suma zamówienia"
"Merchant's Email","E-mail sprzedawcy"
"Minimum Order Total","Minimalna suma zamówienia"
"New Order Status","Nowy status zamówienia"
"Order saving error: %s","Błąd zapisu zamówienia: %s"
"Payment Action","Akcja płatności"
"Payment authorization error.","Błąd autoryzacji płatności."
"Payment from Applicable Countries","Płatność z właściwych krajów"
"Payment from Specific Countries","Płatność z określonych krajów"
"Sort Order","Kolejność sortowania"
"Test Mode","Tryb testowy"
"The order has been created.","Zamówienie zostało utworzone."
"There was an error processing your order. Please contact us or try again later.","Wystąpił błąd podczas przetwarzania zamówienia. Skontaktuj się z nami lub spróbuj ponownie później."
"Title","Rozporządzenie Rady (EWG) nr 2658/87 z dnia 23 lipca 1987 r. w sprawie nomenklatury taryfowej i statystycznej oraz w sprawie Wspólnej Taryfy Celnej (Dz.U. L 256 z 7.9.1987, s. 1)."
"Transaction Key","Klucz transakcji"
"What is this?","Co to jest?"
