"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Reguły cenowe koszyka oparte na atrybucie ""%s"" zostały wyłączone."
"%s Coupon(s) have been generated","Kupon %s został wygenerowany"
"Actions","Akcje"
"Active","Aktywne"
"Add New Rule","Dodaj nową regułę"
"Alphabetical","Alfabetycznie"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","Wystąpił błąd podczas generowania kuponów. Sprawdź dziennik i spróbuj ponownie."
"Apply","Zastosuj"
"Apply the rule only if the following conditions are met (leave blank for all products)","Zastosuj regułę tylko wtedy, gdy spełnione są następujące warunki (pozostaw puste dla wszystkich produktów)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Zastosuj regułę tylko do produktów koszyka spełniających następujące warunki (pozostaw puste dla wszystkich produktów)"
"Apply To","Zastosuj do"
"Apply to Shipping Amount","Zastosuj do kwoty wysyłki"
"Are you sure you want to delete the selected coupon(s)?","Czy na pewno chcesz usunąć wybrane kupony?"
"Attribute ""%s"" %s %s %s","Atrybut ""%s"" %s %s %s"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Automatycznie wygenerowane konkretne kody kuponów"
"Buy X get Y free (discount amount is Y)","Kup X dostań Y za darmo (kwota rabatu jest Y)"
"By Fixed value","Według stałej wartości"
"By Percentage","Według procentu"
"Can't acquire coupon.","Nie można zdobyć kuponu."
"Cart Attribute","Atrybut koszyka"
"Catalog","Katalog"
"Code Format","Format kodu"
"Code Length","Długość kodu"
"Code Prefix","Prefiks kodu"
"Code Suffix","Code Suffix"
"Conditions","Warunki"
"Conditions combination","Kombinacja warunków"
"Coupon","Kupon"
"Coupon Code","Kod kuponu"
"Coupon Qty","Ilość kuponu"
"Coupons Information","Informacje o kuponach"
"Coupon with the same code","Kupon z tym samym kodem"
"Created On","Utworzono"
"Customer Groups","Grupy klientów"
"Dash Every X Characters","Rzuć co X znaków"
"Date Expire","Data wygaśnięcia"
"Date Start","Data rozpoczęcia"
"Default Label","Domyślna etykieta"
"Default Rule Label for All Store Views","Domyślna etykieta reguł dla wszystkich widoków sklepu"
"Description","Opis"
"Discount Amount","Kwota rabatu"
"Discount Qty Step (Buy X)","Krok ilości rabatu (Kup X)"
"Edit Rule","Edytuj regułę"
"Edit Rule '%s'","Edytuj regułę '%s'"
"Excluding prefix, suffix and separators.","Z wyłączeniem przedrostka, przyrostek i separatorów."
"Fixed amount discount","Stała kwota rabatu"
"Fixed amount discount for whole cart","Stała kwota rabatu dla całego koszyka"
"For matching items only","Tylko dla pasujących elementów"
"For shipment with matching items","Dla przesyłki z pasującymi towarami"
"FOUND","ZNALEZIONO"
"Free Shipping","Darmowa dostawa"
"From Date","Od daty"
"General Information","Informacje ogólne"
"Generate","Wygeneruj"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Jeśli %s %s %s dla podwyboru produktów w koszyku pasującym do %s z poniższych warunków:"
"If an item is %s in the cart with %s of these conditions true:","Jeśli produkt jest %s w koszyku z %s z tych warunków prawda:"
"If empty no separation.","Jeśli puste nie oddzielić."
"If you select and save the rule you will be able to generate multiple coupon codes.","Jeśli wybierzesz i zapiszesz regułę, będziesz mógł wygenerować wiele kodów rabatowych."
"Inactive","Nieaktywny"
"is assigned","jest przypisany"
"is not assigned","nie jest przypisany"
"Item totals are not set for rule.","Sumy pozycji nie są ustawione dla reguły."
"Labels","Etykiety"
"Manage Coupon Codes","Zarządzaj kodami rabatowymi"
"Maximum Qty Discount is Applied To","Maksymalna ilość rabatu jest stosowana do"
"New Rule","Nowa reguła"
"No","Nie"
"No Coupon","Brak kuponu"
"NOT FOUND","NIEPRZEZNACZONE"
"NOT LOGGED IN","NIE WYLOGOWANO W"
"Not valid data provided","Podano nieprawidłowe dane"
"Number of Uses","Liczba zastosowań"
"Numeric","Numeric"
"Payment Method","Metoda płatności"
"Percent of product price discount","Procent rabatu cenowego produktu"
"Period","Okres"
"Price in cart","Cena w koszyku"
"Priority","Priorytet"
"Product attribute combination","Kombinacja atrybutów produktu"
"Products subselection","Podwybór produktów"
"Promotions","Promocje"
"Public In RSS Feed","Publiczne w RSS kanale"
"Quantity in cart","Ilość w koszyku"
"Row total in cart","Suma wierszy w koszyku"
"Rule Information","Informacje o Regule"
"Rule is not defined","Reguła nie jest określona"
"Rule Name","Nazwa reguły"
"Sales Discount Amount","Kwota Rabatu Sprzedaży"
"Sales Subtotal Amount","Suma częściowa sprzedaży"
"Sales Total Amount","Całkowita kwota sprzedaży"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Shipping Country","Kraj wysyłki"
"Shipping Method","Metoda wysyłki"
"Shipping Postcode","Kod pocztowy dostawy"
"Shipping Region","Region wysyłki"
"Shipping State/Province","Państwo/województwo wysyłki"
"Shopping Cart Price Rule","Reguła cenowa koszyka"
"Shopping Cart Price Rules","Reguły cenowe koszyka"
"Special Price","Cena specjalna"
"Specific Coupon","Konkretny kupon"
"Status","Status"
"Stop Further Rules Processing","Zatrzymaj przetwarzanie kolejnych reguł"
"Store View Specific Labels","Specyficzne etykiety widoku sklepu"
"Subtotal","Suma częściowa"
"Subtotal Amount","Suma częściowa"
"The rule has been deleted.","Reguła została usunięta."
"The rule has been saved.","Reguła została zapisana."
"This rule no longer exists.","Ta reguła już nie istnieje."
"Times Used","Używane czasy"
"To Date","Do daty"
"To Fixed Value","Do stałej wartości"
"To Percentage","Do procentu"
"Total","Łącznie"
"Total Amount","Łączna kwota"
"total amount","całkowita kwota"
"Total Items Quantity","Całkowita ilość produktów"
"total quantity","całkowita ilość"
"Total Weight","Masa całkowita"
"Unable to create requested Coupon Qty. Please check settings and try again.","Nie można utworzyć żądanej ilości kuponu. Proszę sprawdzić ustawienia i spróbować ponownie."
"Unable to find a rule to delete.","Nie można znaleźć reguły do usunięcia."
"Update prices using the following information","Aktualizuj ceny używając następujących informacji"
"Update product's %s %s: %s","Aktualizuj produkt %s %s: %s"
"Update the Product","Aktualizuj produkt"
"Usage limit enforced for logged in customers only","Limit użycia wymuszony tylko dla zalogowanych klientów"
"Use Auto Generation","Użyj automatycznego generowania"
"Used","Używane"
"Uses per Coupon","Wykorzystanie na kupon"
"Uses per Customer","Zastosowania na klienta"
"Website","Strona internetowa"
"Websites","Strony internetowe"
"Wrong rule specified.","Określono nieprawidłową regułę."
"Yes","Tak"
