"-- Please Select --","-- Wybierz --"
"Account Created In Store","Konto utworzone w sklepie"
"Action","Akcja"
"Active","Aktywne"
"Added to Cart Date","Dodano do daty koszyka"
"Added to Wishlist Date","Dodano do daty schowka"
"Add Email Step","Dodaj krok e-mail"
"Add New Segment","Dodaj nowy segment"
"Address","Adres"
"Address Information","Informacje o adresie"
"Add Segment","Dodaj segment"
"Allow Overlapping Sequences","Pozwól na nakładanie się sekwencji"
"Allow starting new sequences while existing ones are still active for the same customer","Zezwalaj na uruchamianie nowych sekwencji, gdy istniejące są nadal aktywne dla tego samego klienta"
"Applied Promotion Rules","Zastosowane reguły promocji"
"Are you sure?","Jesteś pewien?"
"Are you sure you want to delete this sequence step?","Czy na pewno chcesz usunąć ten krok sekwencji?"
"Are you sure you want to refresh this segment?","Czy na pewno chcesz odświeżyć tę grupę?"
"Assign to Website","Przypisz do witryny"
"At least one email sequence is required when automation is enabled.","Wymagana jest co najmniej jedna sekwencja e-mail, gdy automatyzacja jest włączona."
"Automatic","Automatyczne"
"Automatic: Refreshed daily via cron. Manual: Must be refreshed manually.","Automatycznie: odświeżane codziennie przez kron. Ręcznie: musi być odświeżane ręcznie."
"Average Days Between Orders","Średnie dni między zamówieniami"
"Average Order Value","Średnia wartość zamówienia"
"Back to Segment","Powrót do segmentu"
"Base Row Total","Podstawowy wiersz łącznie"
"Base Sales Rule","Bazowa reguła sprzedaży"
"Bundle Product","Pakiet produktu"
"Cart","Koszyk"
"Cart Created Date","Data utworzenia koszyka"
"Cart Items","Produkty w koszyku"
"Cart Status","Status koszyka"
"Cart Updated Date","Data aktualizacji koszyka"
"Change status","Zmień status"
"Completed","Zakończone"
"Conditions (leave blank for all customers)","Warunki (pozostaw puste dla wszystkich klientów)"
"Configurable Product","Produkt konfigurowalny"
"Coupon expiration days","Dni wygaśnięcia kuponu"
"Coupon expiration days cannot be negative.","Dni wygaśnięcia kuponu nie mogą być ujemne."
"Coupon Generation Settings","Ustawienia generowania kuponu"
"Coupon Prefix","Prefiks kuponu"
"Customer","Klient"
"Customer ID is required.","Identyfikator klienta jest wymagany."
"Customer Lifetime Value","Żywotna wartość klienta"
"Customer Personal Information","Dane osobowe klienta"
"Customer Segment","Segment klienta"
"Customer Since","Klient od"
"Customers in Segment","Klienci w segmencie"
"Customer Time-based","Klient czasowy"
"days","dni"
"Days Inactive (No Login or Order)","Dni nieaktywne (brak logowania lub zamówienia)"
"Days Since Added to Wishlist","Dni od dodania do schowka"
"Days Since First Order","Dni od pierwszego zamówienia"
"Days Since Last Login","Dni od ostatniego logowania"
"Days Since Last Order","Dni od ostatniego zamówienia"
"Days Since Last View","Dni od ostatniego widoku"
"Days Since Registration","Dni od rejestracji"
"Days Until Birthday","Dni do urodzin"
"Days Without Purchase","Dni bez zakupu"
"Delay","Opóźnienie"
"Delay (Minutes)","Opóźnienie (minuty)"
"Delay before sending","Opóźnij przed wysłaniem"
"Delay minutes cannot be negative.","Minuty opóźnienia nie mogą być ujemne."
"Delete","Usuń"
"Delete Email Sequences","Usuń sekwencje e-mail"
"Delete Segment","Usuń segment"
"Delete Segments","Usuń segmenty"
"Delete Step","Usuń krok"
"Disabled","Wyłączone"
"Downloadable Product","Produkt do pobrania"
"E-mails on Enter","E-maile przy wejściu"
"E-mails on Exit","E-maile przy wyjściu"
"Edit","Edytuj"
"Edit Email Sequence Step %d for ""%s""","Edit Email Sequence Step %d for ""%s"""
"Edit Segment","Edytuj segment"
"Edit Segment '%s'","Edytuj segment '%s'"
"Edit Sequence","Edytuj sekwencję"
"Email Automation","Email Automation"
"Email Automation Settings","Ustawienia automatyzacji e-mail"
"Email Sequences","Sekwencje e-mail"
"Email Template","Szablon e-mail"
"Enable/disable this sequence step","Włącz/Wyłącz ten krok sekwencji"
"Enable Email Automation","Włącz automatyzację e-mail"
"Enter Segment","Wprowadź segment"
"Error","Błąd"
"Exit Segment","Segment wyjścia"
"Expires After (Days)","Wygasa po (dniach)"
"Failed","Niepowodzenie"
"General Properties","Właściwości ogólne"
"Generate a unique coupon code for each customer","Wygeneruj unikalny kod kuponu dla każdego klienta"
"Generate Coupon","Generuj kupon"
"Generate unique coupon","Generuj unikalny kupon"
"Grouped Product","Grupowany produkt"
"hours","godziny"
"If %s %s %s","Jeśli %s %s %s"
"Immediate","Natychmiastowe"
"Invalid newsletter template selected.","Wybrano nieprawidłowy szablon newslettera."
"Invalid request.","Nieprawidłowe żądanie."
"Invalid sales rule selected for coupon generation.","Nieprawidłowa reguła sprzedaży wybrana dla generowania kuponów."
