"%1$s incl tax.","%1$s podatek."
"* Required Fields","* Pola wymagane"
"-- Select --","-- Wybierz --"
"Add New Option","Dodaj nową opcję"
"Add Selection","Dodaj zaznaczenie"
"and","W przypadku gdy państwo członkowskie lub Szwajcaria stwierdzi, że dane państwo członkowskie lub Szwajcaria spełniają warunki określone w art. 4 ust. 1 lit. a) i b) oraz w art. 5 ust. 1 lit. b) i c) rozporządzenia (WE) nr 207/2009 oraz w art. 5 ust. 1 lit. b) i c) rozporządzenia (WE) nr 207/2009 oraz w art. 5 ust. 1 lit. b) tego rozporządzenia i art. 6 ust. 1 lit. b) tego rozporządzenia i c) tego rozporządzenia stosuje się od dnia 1 stycznia 2018 r."
"Bundle","Pakiet"
"Bundle Items","Przedmioty pakietu"
"Bundle Product","Pakiet produktu"
"Buy %1$s","Kup %1$s"
"Buy %1$s for","Kup %1$s za"
"Buy %1$s for %2$s","Kup %1$s za %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kup %1$s za %2$s (%3$s wraz z podatkiem) każdy"
"Buy %1$s for %2$s each","Kup %1$s za %2$s każdy"
"Buy %1$s with %2$s discount each","Kup %1$s z rabatem %2$s każdy"
"Catalog Product View (Bundle)","Widok Katalogu Produktu (pakietowy)"
"Checkbox","Pole wyboru"
"Choose a selection...","Wybierz wybór..."
"Click for price","Kliknij po cenę"
"Close","Zamknij"
"Default","Domyślny"
"Default Qty","Default Qty"
"Default Title","Default Title"
"Drop-down","Rozwijany"
"Dynamic","Dynamiczny"
"each","każdy"
"Excl. Tax","Bez podatku"
"Excl. Tax:","Bez podatku:"
"Fixed","Naprawione"
"From","Od"
"From:","Od:"
"Gift Message","Wiadomość prezentowa"
"Incl. Tax","Z podatkiem"
"Incl. Tax:","Z podatkiem:"
"Input Type","Input Type"
"Is Required","Jest wymagane"
"Message:","Wiadomość:"
"Multiple Select","Wielokrotny wybór"
"N/A","Nie dotyczy."
"None","Brak"
"No options of this product are available.","Brak dostępnych opcji dla tego produktu."
"Percent","Procent"
"Percent Discount","Procent rabatu"
"Please enter a number greater 0 in this field.","Wprowadź liczbę większą niż 0 w tym polu."
"Please enter search conditions to view products.","Wprowadź warunki wyszukiwania, aby wyświetlić produkty."
"Please select options for product.","Wybierz opcje dla produktu."
"Please Select Products to Add","Wybierz produkty do dodania"
"Please specify product option(s).","Proszę określić opcję(y) produktu."
"Position","Położenie"
"Price as configured","Cena skonfigurowana"
"Price Range","Zakres cenowy"
"Price Type","Typ ceny"
"Qty:","Ilość:"
"Radio Buttons","Przyciski radiowe"
"Required options are not selected.","Wymagane opcje nie są wybrane."
"save","zapisz"
"Selected required options are not available.","Wybrane wymagane opcje nie są dostępne."
"Separately","Oddzielnie"
"Ship Bundle Items","Pakiet Wysyłkowy"
"Shipment","Przesyłka"
"SKU","SKU"
"Store View Title","Tytuł widoku sklepu"
"There is no defined renderer for ""%s"" option type.","Nie ma zdefiniowanego renderowania dla typu opcji ""%s."
"This product is also part of bundle(s)","Ten produkt jest również częścią pakietów"
"To","Do"
"To:","Do:"
"Together","Razem"
"Total incl. Tax: %1$s","Razem z podatkiem: %1$s"
"Use Default Value","Użyj wartości domyślnej"
"User Defined Qty","Ilość zdefiniowana przez użytkownika"
