"1 star","1 gwiazdka"
"2 stars","2 gwiazdki"
"3 stars","3 gwiazdki"
"4 stars","4 gwiazdek"
"5 stars","5 gwiazdek"
"Add New Rating","Dodaj nową ocenę"
"Assigned Options","Przypisane opcje"
"Be the first to review this product","Bądź pierwszym, który przejrzy ten produkt"
"Default Value","Wartość domyślna"
"Delete Rating","Usuń ocenę"
"Edit Rating","Edytuj ocenę"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Jeśli nie określisz tytułu oceny dla sklepu, zostanie użyta wartość domyślna."
"Manage Ratings","Zarządzaj ocenami"
"New Rating","Nowa ocena"
"Option Label","Etykieta opcji"
"Option Title","Tytuł opcji"
"Option Title:","Tytuł opcji:"
"Please select one of each ratings above","Proszę wybrać jedną z ocen powyżej"
"Rating Information","Informacje o ratingach"
"Rating isn't Available","Ocena nie jest dostępna"
"Rating Name","Nazwa oceny"
"Rating Title","Tytuł oceny"
"Rating Visibility","Widoczność oceny"
"Rating with the same title","Ocena z tym samym tytułem"
"Save Rating","Zapisz ocenę"
"Sort Order","Kolejność sortowania"
"Visible In","Widoczne w"
