"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s został dodany do Twojej listy życzeń. Kliknij <a href=""%2$s"">tutaj</a> , aby kontynuować zakupy."
"%1$s has been updated in your wishlist.","%1$s został zaktualizowany na twojej liście życzeń."
"%d product(s) have been added to shopping cart: %s.","%d produktów zostało dodane do koszyka: %s."
"%s's Wishlist","Lista życzeń %s"
"%s for ""%s"".","%s dla ""%s""."
"%s has been moved to wishlist %s","%s został przeniesiony do listy życzeń %s"
"%s has been moved to wishlist %s. Please note that uploaded files will need to be re-uploaded when adding to cart.","%s został przeniesiony do listy życzeń %s. Pamiętaj, że przesłane pliki będą musiały być ponownie przesłane podczas dodawania do koszyka."
"%s was added to your shopping cart.","%s został dodany do koszyka."
"* Required Fields","* Pola wymagane"
"Add All to Cart","Dodaj wszystko do koszyka"
"Added From","Dodano z"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Wishlist","Dodaj do schowka"
"An error occurred while adding item to wishlist.","Wystąpił błąd podczas dodawania elementu do schowka."
"An error occurred while adding item to wishlist: %s","Wystąpił błąd podczas dodawania elementu do schowka: %s"
"An error occurred while deleting the item from wishlist.","Wystąpił błąd podczas usuwania elementu ze schowka."
"An error occurred while deleting the item from wishlist: %s","Wystąpił błąd podczas usuwania elementu ze schowka: %s"
"An error occurred while updating wishlist.","Wystąpił błąd podczas aktualizacji schowka."
"Are you sure you want to remove this product from your wishlist?","Czy na pewno chcesz usunąć ten produkt z listy życzeń?"
"Are you sure you would like to remove this item from the wishlist?","Czy na pewno chcesz usunąć ten element ze schowka?"
"Back","Powrót"
"Can't delete item from wishlist","Nie można usunąć produktu ze schowka"
"Can't save description %s","Nie można zapisać opisu %s"
"Can't update wishlist","Nie można zaktualizować listy życzeń"
"Cannot add item to shopping cart","Nie można dodać produktu do koszyka"
"Cannot add the item to shopping cart.","Nie można dodać produktu do koszyka."
"Cannot add the selected product to shopping cart because the product was removed from the wishlist","Nie można dodać wybranego produktu do koszyka, ponieważ produkt został usunięty z listy życzeń"
"Cannot configure product","Nie można skonfigurować produktu"
"Cannot load wishlist item","Nie można załadować elementu listy życzeń"
"Cannot move item to wishlist","Nie można przenieść produktu do schowka"
"Cannot specify product.","Nie można określić produktu."
"Cannot specify wishlist.","Nie można określić schowka."
"Cannot specify wishlist item.","Nie można określić elementu schowka."
"Cannot update wishlist","Nie można zaktualizować listy życzeń"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Zaznacz to pole wyboru, jeśli chcesz dodać link do kanału RSS do listy życzeń."
"Click for price","Kliknij po cenę"
"Comment","Komentarz"
"Comment:","Komentarz:"
"Configured Price:","Cena skonfigurowana:"
"Configure Wishlist Item","Konfiguruj element schowka"
"Could not find wishlist","Nie można znaleźć listy życzeń"
"Customer My Account My Wishlist","Moje konto mojego schowka"
"Customer My Account Wishlist Sharing Form","Formularz udostępniania listy życzeń klienta"
"Customer Shared Wishlist View","Widok współdzielonego schowka klienta"
"Date Added","Data dodania"
"Days in Wishlist","Dni w schowku"
"Display Wishlist Summary","Wyświetl podsumowanie schowka"
"Edit","Edytuj"
"Email address can't be empty.","Adres e-mail nie może być pusty."
"Email Sender","Nadawca wiadomości e-mail"
"Email Template","Szablon e-mail"
"Enabled","Włączone"
"General Options","Opcje ogólne"
"Go to Wishlist","Przejdź do schowka"
"Helper for wishlist options rendering doesn't implement required interface.","Pomocnik dla renderowania opcji listy życzeń nie zaimplementuje wymaganego interfejsu."
"In stock","W magazynie"
"Last Added Items","Ostatnio dodane elementy"
"Message","Wiadomość"
"My Wishlist","Mój schowek"
"My Wishlist (%d item)","Mój schowek (%d element)"
"My Wishlist (%d items)","Mój schowek (%d elementów)"
"My Wishlist <small>(%d)</small>","Mój schowek <small>(%d)</small>"
"My Wishlist Link","Mój link do schowka"
"Options Details","Szczegóły opcji"
"Out of stock","Brak na stanie"
"Please, enter your comments...","Wprowadź swoje komentarze..."
"Please add product to wishlist again.","Dodaj produkt do listy życzeń."
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Wprowadź poprawne adresy e-mail, oddzielone przecinkami. Na przykład johndoe@domain.com, johnsmith@domain.com."
"Please enter no more than 5 email addresses.","Wprowadź nie więcej niż 5 adresów e-mail."
"Please input a valid email address.","Wprowadź poprawny adres e-mail."
"Price","Cena"
"Product","Produkt"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produkt(y) %s mają wymagane opcje. Każdy z nich może być dodany tylko do koszyka oddzielnie."
"Qty","Ilość"
"Remove Item","Usuń element"
"Remove item","Usuń element"
"Remove This Item","Usuń ten element"
"Requested cart item doesn't exist","Żądany produkt koszyka nie istnieje"
"Requested wishlist doesn't exist","Żądana lista życzeń nie istnieje"
"RSS Feed","Kanał RSS"
"RSS link to %s's wishlist","Link RSS do listy życzeń %s"
"Share Options","Opcje udostępniania"
"Share Wishlist","Udostępnij schowek"
"Share Your Wishlist","Podziel się schowkiem"
"Sharing Information","Udostępnianie informacji"
"SKU","SKU"
"This product(s) is currently out of stock","Ten produkt(y) jest obecnie niedostępny"
"This Wishlist has no Items","Ten schowek nie ma produktów"
"Unable to add the following product(s) to shopping cart: %s.","Nie można dodać następujących produktów do koszyka: %s."
"Update Wishlist","Aktualizuj schowek"
"Up to 5 email addresses, separated by commas","Do 5 adresów e-mail, rozdzielonych przecinkami"
"User Description","Opis użytkownika"
"View Details","Zobacz szczegóły"
"View Product","Zobacz produkt"
"What's this?","Co to jest?"
"Wishlist","Schowek"
"Wishlist could not be created.","Nie można utworzyć schowka."
"Wishlist is empty now.","Lista życzeń jest pusta."
"Wishlist Sharing","Udostępnianie schowka"
"You have no items in your wishlist.","Nie masz żadnych produktów na liście życzeń."
"Your Wishlist has been shared.","Twoja lista życzeń została udostępniona."
