"* Select shipping method","* wybierz metodę dostawy"
"2Day","TRANSLATE_THIS"
"2nd Day Air","2 Dzień Powietrzny"
"2nd Day Air AM","2 Dzień Powietrzny AM"
"3 Day Select","3 Dni Wybór"
"<br />Warning: <strong>%s</strong><br />","<br />Ostrzeżenie: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Ostrzeżenie!</strong> Ta opcja wyłącza obliczanie kosztów wysyłki przez sprzedawcę. Z tej opcji, API Google ignoruje wszelkie próby wpływania na ceny wysyłki."
"A virtual item to reflect the discount total","Wirtualny przedmiot odzwierciedlający łączną kwotę rabatu"
"A virtual item to reflect the tax total","Wirtualny przedmiot odzwierciedlający łączny podatek"
"AVS Status: %s","Status AVS: %s"
"Add Shipping Method","Dodaj metodę dostawy"
"Allowed Methods","Dozwolone metody"
"Amount: %s","Kwota: %s"
"Auto-generated from GoogleCheckout Charge","Opłaty wygenerowane przez Google Checkout"
"Buyer Account Age: %s days","Wiek konta kupującego: %s dni"
"CC Partial: xxxx-%s","Częściowy numer karty kredytowej: xxxx-%s"
"CID Status: %s","Status CID: %s"
"Carrier Calculated Methods","Metody wyliczenia dostawy"
"Cart Discount","Zniżka koszyka"
"Checkout Image Style","Styl obrazka zamówienia"
"Commercial","Komercyjna"
"Continue Shopping URL","URL kontynuowania zakupów"
"Credit memo has been created automatically","Nota kredytowa została utworzona automatycznie"
"Debug","Tryb debug"
"Default Package Height (in)","Domyślna wysokość paczki (cale)"
"Default Package Length (in)","Domyślna długość paczki (cale)"
"Default Package Width (in)","Domyślna szerokość paczki (cale)"
"Default Price for Methods","Domyślna Cena dla Metod"
"Default price:","Domyślna cena:"
"Delivery Address Category","Kategoria adresu dostawy"
"Delivery Schedule","Harmonogram Dostawy"
"Description-based delivery","Dostawa oparta na opisie"
"Disable Default Tax Tables","Wyłącz domyślne tabele podatków"
"Discount Tax","Podatek zniżki"
"Eligible for Protection: %s","Kwalifikujący się do ochrony: %s"
"Email delivery","Dostawa e-mail"
"Enable","Włącz"
"Enable Carrier Calculated","Odblokuj wyliczenie dostawy"
"Enable Digital Delivery","Odblokuj dostawę elektroniczną"
"Enable Flat Rate","Odblokuj płaską stawkę"
"Enable Merchant Calculated","Odblokuj wyliczenie handlowca"
"Enable this if your checkout request is too big and being cut off.","Odblokuj to jeśli twoje żądanie jest zbyt duże i połączenie zostaje zrywane."
"Expiration: %s","Wygasa: %s"
"Express Mail","TRANSLATE_THIS"
"Express Saver","TRANSLATE_THIS"
"FedEx","TRANSLATE_THIS"
"Financial: %s -> %s","Finansowo: %s -> %s"
"First Overnight","TRANSLATE_THIS"
"Free Shipping","Darmowa dostawa"
"Fulfillment: %s -> %s","Realizacja: %s -> %s"
"Google API","API Google"
"Google Authorization:","Autoryzacja Google:"
"Google Buyer ID: %s","ID kupującego Google: %s"
"Google Charge:","Opłata Google:"
"Google Chargeback:","Weryfikacja zwrotu Google:"
"Google Checkout","Google Checkout -> Google Płatność"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Shipping - Obliczone przez dostawcę"
"Google Checkout Shipping - Digital Delivery","Dostawa Google Checkout – Dostawa elektroniczna"
"Google Checkout Shipping - Flat Rate","Dostawa Google Checkout - Płaska stawka"
"Google Checkout Shipping - Merchant Calculated","Dostawa Google Checkout - Obliczone przez sprzedawcę"
"Google Checkout: %s","Google Checkout: %s"
