"%s file does not exists or is not readable","Plik %s nie istnieje lub nie można go odczytać"
"-- Please Select --","-- Wybierz --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter musi być instancją Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter object must be an instance of %s","Obiekt adaptera musi być instancją %s"
"Adapter type must be a non empty string","Typ adaptera musi być niepustym ciągiem znaków"
"Append Complex Data","Dołącz złożone dane"
"Attribute Code","Kod atrybutu"
"Attribute does not has options, so filtering is impossible","Atrybut nie posiada opcji, więc filtrowanie jest niemożliwe"
"Attribute Label","Etykieta atrybutu"
"Auto_increment column not found for table %s","Kolumna Auto_increment nie została znaleziona dla tabeli %s"
"Begin data validation","Rozpocznij sprawdzanie danych"
"Begin export of %s","Rozpocznij eksport %s"
"Begin import of ""%s"" with ""%s"" behavior","Rozpocznij importowanie ""%s"" z ""%s"" zachowanie """
"Can not determine attribute filter type","Nie można określić typu filtra atrybutów"
"Can not find required columns: %s","Nie można znaleźć wymaganych kolumn: %s"
"Cannot get table status for %s","Nie można uzyskać statusu tabeli dla %s"
"Categories","Kategorie"
"Check Data","Sprawdź dane"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Zaznaczone wiersze: %d, zaznaczone podmioty: %d, nieprawidłowe wiersze: %d, całkowite błędy: %d"
"Column names: ""%s"" are invalid","Nazwy kolumn: ""%s"" są nieprawidłowe"
"Column names have duplicates","Nazwy kolumn mają duplikaty"
"Column names is empty or is not an array","Nazwy kolumn są puste lub nie są tablicą"
"CSV","CSV"
"Customers","Klienci"
"Data is invalid or file is not uploaded","Dane są nieprawidłowe lub plik nie został przesłany"
"Delete Entities","Usuń jednostki"
"Destination directory is not writable","Katalog docelowy nie jest zapisywalny"
"Destination file is not writable","Plik docelowy nie jest zapisywalny"
"Destination file path must be a string","Docelowa ścieżka pliku musi być ciągiem znaków"
"Done import data validation","Zakończono walidację danych importu"
"Duplicate Unique Attribute for '%s'","Duplikuj unikalny atrybut dla '%s'"
"Each data row must be an array","Każdy wiersz danych musi być tablicą"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Obiekt adaptera jednostki musi być instancją Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Obiekt jest nieznany"
"Entity Type","Typ jednostki"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Model typu jednostki musi być instancją Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Model typu jednostki musi być instancją Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Błąd w strukturze danych: zachowania są mieszane"
"Error in data structure: entity codes are mixed","Błąd w strukturze danych: kody jednostek są mieszane"
"Errors limit (%d) reached. Please fix errors and re-upload file","Osiągnięto limit błędów (%d). Proszę naprawić błędy i ponownie przesłać plik"
"Escape CSV fields","Pola CSV ucieczki"
"Export","Eksportuj"
"Exported %s rows.","Exported %s rows."
"Export File Format","Eksport formatu pliku"
"Export has been done.","Eksport został zakończony."
"Export Settings","Eksportuj ustawienia"
"File does not contain data.","Plik nie zawiera danych."
"File does not contain data. Please upload another one","Plik nie zawiera danych. Proszę przesłać inne."
"File format is unknown","Format pliku jest nieznany"
"File is partially valid, but import is not possible","Plik jest częściowo poprawny, ale import nie jest możliwy"
"File is totally invalid. Please fix errors and re-upload file","Plik jest całkowicie nieprawidłowy. Proszę naprawić błędy i ponownie przesłać plik"
"File is valid! To start import process press ""Import"" button","Plik jest prawidłowy! Aby rozpocząć proces importowania naciśnij przycisk ""Importuj"""
"File is valid, but import is not possible","Plik jest prawidłowy, ale import nie jest możliwy"
"File was not uploaded","Plik nie został przesłany"
"Filter","Filtr"
"From","Od"
"Header column names already set","Nazwy kolumn nagłówka już ustawione"
"Import","Importuj"
"Import/Export","Import/Eksport"
"Import Behavior","Zachowanie importu"
"Import CSV","Importuj CSV"
"Import has been done successfuly.","Import zakończony pomyślnie."
"Import Settings","Importuj ustawienia"
"Import successfully done.","Importowanie zakończone pomyślnie."
"Incorrect entity type","Niepoprawny typ obiektu"
"Input entity code is not equal to entity adapter code","Kod wejściowy jednostki nie jest równy kodowi adaptera jednostki"
"in rows","w wierszach"
"in rows:","w wierszach:"
"Invalid entity","Nieprawidłowy obiekt"
"Invalid entity model","Nieprawidłowy model jednostki"
"Invalid file format","Nieprawidłowy format pliku"
"Invalid parameters","Nieprawidłowe parametry"
"Invalid seek position","Nieprawidłowa pozycja wyszukiwania"
"Invalid seek position: %d","Nieprawidłowa pozycja szukania: %d"
"Invalid value for '%s'","Nieprawidłowa wartość dla '%s'"
"Invalid value for '%s' column","Nieprawidłowa wartość kolumny '%s'"
"No data provided for import","Brak danych do importu"
"No data rows found after header processing","Nie znaleziono wierszy danych po przetworzeniu nagłówka"
"Node does not has model token tag","Węzeł nie ma znacznika modelu tokenu"
"No filter data provided","Nie podano danych filtrów"
"No source specified","Nie określono źródła"
"Not implemented yet","Jeszcze nie zaimplementowane"
"No valid data sent","Nie wysłano poprawnych danych"
"No writer specified","Nie określono pisarza"
"Please fix errors and re-upload file","Proszę naprawić błędy i ponownie przesłać plik"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Proszę naprawić błędy i ponownie przesłać plik lub po prostu naciśnij przycisk ""Importuj"", aby pominąć wiersze z błędami"
"Products","Produkty"
"Replace Existing Complex Data","Zastąp istniejące złożone dane"
"Row %d is not an array","Wiersz %d nie jest tablicą"
"Row %d missing columns: %s","Wiersz %d brakujące kolumny: %s"
"Select File to Import","Wybierz plik do importu"
"Skip","Pomiń"
"Source data array cannot be empty","Źródłowa tablica danych nie może być pusta"
"Source data must be an array","Dane źródłowe muszą być tablicą"
