"-- Top Level --","-- Najwyższy poziom --"
"-- Use System Default --","-- Użyj domyślnego systemu --"
"A category with URL key ""%s"" already exists under the same parent.","Kategoria z kluczem URL ""%s"" już istnieje pod tym samym kodem nadrzędnym."
"Add Category","Dodaj kategorię"
"Add Post","Dodaj post"
"Blog","Blog"
"Blog Categories","Kategorie blogów"
"Blog Category","Kategoria bloga"
"Blog Post","Post na blogu"
"Blog Post API","API wpisu na blogu"
"Blog Posts","Posty na blogu"
"Categories","Kategorie"
"Category Information","Informacje o kategorii"
"Category Posts","Posty kategorii"
"Category URL Prefix","Prefiks URL kategorii"
"Category was successfully deleted","Kategoria została usunięta"
"Category was successfully saved","Kategoria została pomyślnie zapisana"
"Create blog post","Utwórz wpis na blogu"
"Create new post","Utwórz nowy post"
"Delete Category","Usuń kategorię"
"Delete Post","Usuń post"
"Delete post","Usuń post"
"Edit Category","Edytuj kategorię"
"Edit Category '%s'","Edytuj kategorię '%s'"
"Edit Post","Edytuj post"
"Edit Post '%s'","Edit Post '%s'"
"Enable Blog Search in Autosuggest","Włącz wyszukiwanie na blogu w Autosugerowaniu"
"Enable Categories","Włącz kategorie"
"General","Ogólny"
"General Information","Informacje ogólne"
"Get post info","Uzyskaj informacje o postach"
"Get post list","Pobierz listę postów"
"Include Images","Dołącz obrazy"
"Level","Poziom"
"Maximum Blog Posts in Autosuggest","Maksymalna liczba postów na blogu w Autosugerowaniu"
"Meta Information","Meta Informacje"
"Meta Title","Tytuł Meta"
"New Category","Nowa kategoria"
"New Post","Nowy post"
"Parent Category","Kategoria nadrzędna"
"Please select category(s)","Proszę wybrać kategorię(y)"
"Please select post(s)","Proszę wybrać post(y)"
"Position","Położenie"
"Post Categories","Kategorie postów"
"Post Content","Treść wpisu"
"Post Information","Informacje o postach"
"Posts","Posty"
"Posts per Page","Posty na stronę"
"Post was successfully deleted","Post został pomyślnie usunięty"
"Post was successfully saved","Post został pomyślnie zapisany"
"Publishing Date","Data publikacji"
"Remove blog post","Usuń wpis na blogu"
"Retrieve blog post info","Pobierz informacje o postach na blogu"
"Retrieve blog posts","Pobierz posty na blogu"
"Save Category","Zapisz kategorię"
"Save Post","Zapisz post"
"Show in Navigation","Pokaż w nawigacji"
"There are no blog posts in this category.","Brak wpisów na blogu w tej kategorii."
"There are no blog posts to display.","Brak wpisów na blogu do wyświetlenia."
"This category no longer exists.","Ta kategoria już nie istnieje."
"This post no longer exists.","Ten post już nie istnieje."
"Total of %d category(s) were deleted","Łącznie %d kategorii zostały usunięte"
"Total of %d post(s) were deleted","Łącznie usunięto posty %d"
"Update blog post","Aktualizuj wpis na blogu"
"Update post","Aktualizuj post"
"URL Prefix","Prefiks URL"
