"%s wants to connect to your store","%s chce połączyć się z Twoim sklepem"
"-- No Role --","-- Brak roli --"
"Access Token Lifetime","Żywotny Żeton Dostępu"
"Account Information","Informacje o koncie"
"Act as you until you revoke this application, or your admin account is disabled.","Działaj tak jak ty dopóki nie cofniesz tej aplikacji lub Twoje konto administratora jest wyłączone."
"Active","Aktywne"
"Add New Role","Dodaj nową rolę"
"Add New User","Dodaj nowego użytkownika"
"Admin GraphQL at /api/admin/graphql (requires admin auth)","GraphQL administratora na /api/admin/graphql (wymaga autora administratora)"
"All","Wszystkie"
"All API protocols are <strong>disabled by default</strong>. Enable only the ones you actually use, anything off returns 404 at the entry point.","All API protocols are <strong>disabled by default</strong>. Enable only the ones you actually use, anything off returns 404 at the entry point."
"Allow Applications to Register Themselves","Zezwalaj aplikacjom na rejestrację motywów"
"API","API"
"API Cache","API Cache"
"API Key","Klucz API"
"API Protocols","API Protocols"
"API Role","Rola API"
"API user has been deleted.","Użytkownik API został usunięty."
"API user has been saved.","Użytkownik API został zapisany."
"API User Information","Informacje o użytkowniku API"
"API user not found.","Nie znaleziono użytkownika API."
"API v2 Roles","API v2 Roles"
"API v2 Users","Użytkownicy API v2"
"Application","Aplikacja"
"Approve","Zatwierdź"
"Assign Role","Przypisz rolę"
"Authenticated via customer login (email + password). Each customer can only access their own data.","Autoryzowane poprzez login klienta (e-mail + hasło). Każdy klient może uzyskać dostęp tylko do swoich danych."
"Authorization Code Lifetime","Żywotność kodu autoryzacji"
"Authorization Server","Serwer autoryzacji"
"Authorize Application","Autoryzuj aplikację"
"Cache TTL (seconds)","Pamięć podręczna TTL (w sekundach)"
"Can reach","Można dotrzeć"
"Catalog, cart and order tools for %s","Catalog, cart and order tools for %s"
"Check to generate new client_id and client_secret. The old credentials will stop working.","Zaznacz, aby wygenerować nowy client_id i client_secret. Stare dane logowania przestaną działać."
"Client Credentials","Poświadczenia klienta"
"Client ID","Identyfikator klienta"
"Client ID: %s","ID klienta: %s"
"Client Secret","Klucz tajny klienta"
"Client Secret: %s","Sekret klienta: %s"
"Comma-separated list of allowed origins. Defaults to store base URL if empty.","Lista dozwolonych źródeł oddzielonych przecinkami. Domyślnie przechowuje bazowy adres URL, jeśli pusty."
"Connected Applications","Połączone aplikacje"
"Contact Form","Formularz kontaktowy"
"CORS Allowed Origins","CORS Dozwolone źródła"
"Created","Utworzono"
"Custom","Własny"
"Customer Session Operations","Sesja Klienta"
"Delete API User","Usuń użytkownika API"
"Delete Role","Usuń rolę"
"Deny","Odmowa"
"Edit API User","Edytuj użytkownika API"
"Edit API User '%s'","Edytuj użytkownika API%s'"
"Edit Role","Edytuj rolę"
"Edit Role '%s'","Edytuj rolę '%s'"
"Email","E-mail"
"Exposes the REST v2 resource surface to AI agents at /api/mcp. Same bearer tokens and permissions as REST.","Udostępnia REST v2 powierzchnie zasobów dla agentów AI na /api/mcp. Te same tokeny i uprawnienia jak REST."
"First Name","Imię"
"Frontend/customer-facing GraphQL at /api/graphql","GraphQL skierowany przodem/do klienta na /api/grafql"
"General Settings","Ustawienia ogólne"
"GraphQL, admin","GraphQL, administrator"
"GraphQL, public","GraphQL, publiczna"
"Hidden (stored hashed). Regenerate if needed.","Ukryte (przechowywane hashowane). Wygeneruj ponownie w razie potrzeby."
