"%s Index process is working now. Please try run this process later.","Proces indeksu %s działa teraz. Proszę spróbować uruchomić ten proces później."
"'%s' Index Process Information","Informacje o procesie indeksu '%s'"
"Action","Akcja"
"Already running, skipped.","Już uruchomione, pominięte."
"Cannot initialize the indexer process.","Nie można zainicjować procesu indeksowania."
"Change Index Mode","Zmień tryb indeksu"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Kliknij tutaj, aby przejść do <a href=""%s"">Zarządzanie pamięcią podręczną</a> i odświeżyć typy skrytek."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Kliknij tutaj, aby przejść do <a href=""%s"">Zarządzanie indeksami</a> i przebudować wymagane indeksy."
"Close","Zamknij"
"Delete","Usuń"
"Description","Opis"
"Disable","Wyłącz"
"Enable","Włącz"
"General","Ogólny"
"Index","Wielkość sprzedaży i udział w rynku"
"Index Description","Opis indeksu"
"Indexer code is not defined.","Kod indeksu nie jest zdefiniowany."
"Indexer model is not defined.","Model indeksu nie jest zdefiniowany."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Model indeksu powinien rozszerzać Mage_Index_Model_Indexer_Abstract."
"Index Management","Zarządzanie indeksem"
"Index Mode","Tryb indeksu"
"Index mode","Tryb indeksu"
"Index Name","Nazwa indeksu"
"Invalid reindex token.","Invalid reindex token."
"Manual Update","Ręczna aktualizacja"
"Mode","Tryb"
"Never","Nigdy"
"No","Nie"
"Not started.","Nie rozpoczęto."
"One or more of the Indexes are not up to date:","Jeden lub więcej indeksów nie jest aktualnych:"
"Please select Index(es)","Proszę wybrać Indeks(y)"
"Please select Indexes","Proszę wybrać indeksy"
"Process Information","Informacje o procesie"
"Processing","Przetwarzanie"
"Process is locked.","Proces jest zablokowany."
"Ready","Gotowy"
"Refresh","Odśwież"
"Reindex All","Przeindeksuj wszystkie"
"Reindex complete","Przeindeksowanie zakończone"
"Reindex Data","Przeindeksuj dane"
"Reindex did not complete","Przeindeksowanie nie zostało ukończone"
"Reindex finished with errors","Przeindeksowanie zakończone błędami"
"Reindex Required","Wymagany reindeks"
"Request failed","Żądanie nie powiodło się"
"Revoke","Revoke"
"Status","Status"
"System","System"
"The index has been saved.","Indeks został zapisany."
"The reindex process was interrupted.","Proces przeindeksowania został przerwany."
"There was a problem with reindexing process.","Wystąpił problem z procesem reindeksowania."
"There was a problem with saving process.","Wystąpił problem z procesem zapisywania."
"Total of %d index(es) have changed index mode.","Suma indeksów %d zmieniła tryb indeksowania."
"Unable to create directory var/%s.","Nie można utworzyć katalogu var/%s."
"Unknown reindex run.","Nieznany reindeks uruchomiony."
"Updated At","Zaktualizowano"
"Update on Save","Aktualizuj przy zapisywaniu"
"Update Required","Wymagana aktualizacja"
"Yes","Tak"
