"# of Uses","Liczba zastosowań"
"%s tag(s) have been accepted for moderation.","%s tagów zostało zaakceptowanych dla moderacji."
"<strong>Tag Name:</strong> %s","<strong>Nazwa tagu:</strong> %s"
"Action","Akcja"
"Add","Dodaj"
"Add New Tag","Dodaj nowy tag"
"Add tag(s) to product","Dodaj tagi do produktu"
"Add Tags","Dodaj tagi"
"Add to Cart","Dodaj do koszyka"
"Add to Wishlist","Dodaj do schowka"
"Add Your Tags:","Dodaj tagi:"
"All Tags","Wszystkie tagi"
"Approved","Zatwierdzone"
"Are you sure?","Jesteś pewien?"
"Are you sure you want to delete this tag?","Czy na pewno chcesz usunąć ten tag?"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Back","Powrót"
"Back to Tags List","Powrót do listy tagów"
"Base Popularity","Podstawowa Popularność"
"Block Information","Informacje o bloku"
"Catalog Product View","Widok Produktu Katalogu"
"Change status","Zmień status"
"Click on a tag to view your corresponding products.","Kliknij na tag, aby wyświetlić odpowiednie produkty."
"Country","W związku z powyższym Komisja stwierdza, że w okresie objętym dochodzeniem przeglądowym przywóz produktu objętego postępowaniem z ChRL nie mógł zostać objęty środkami antydumpingowymi."
"CSV","CSV"
"Customer My Account My Tags List","Moje konto - lista tagów"
"Customer My Account Tag View","Moje konto - widok tagu"
"Customers","Klienci"
"Customer Since","Klient od"
"Customers Submitted this Tag","Klienci zgłosili ten tag"
"Customers Tagged '%s'","Klienci oznaczeni '%s'"
"Delete","Usuń"
"Delete Tag","Usuń tag"
"Disabled","Wyłączone"
"Edit Tag '%s'","Edytuj tag '%s'"
"Email","E-mail"
"Enable Adding Tags in Frontend","Włącz dodawanie tagów w witrynie"
"First Name","Imię"
"General Information","Informacje ogólne"
"Grid","Siatka"
"ID","ID"
"Info","Informacje"
"Last Name","Nazwisko"
"List","Lista"
"Manage Tags","Zarządzaj tagami"
"Middle Name","Drugie imię"
"My Recent Tags","Moje ostatnie tagi"
"My Tags","Moje tagi"
"Name","Nazwisko"
"New Tag","Nowy tag"
"No matches found.","Nie znaleziono dopasowań."
"Pending","Oczekujące"
"Pending Tags","Oczekujące tagi"
"Popular","Popularne"
"Popular Tags","Popularne tagi"
"Price","Cena"
"Product Name","Nazwa produktu"
"Products","Produkty"
"Product SKU","SKU produktu"
"Products Tagged by Administrators","Produkty oznaczone przez administratorów"
"Products Tagged by Customers","Produkty oznaczone przez klientów"
"Products Tagged with '%s'","Produkty oznaczone '%s'"
"Products tagged with '%s'","Produkty oznaczone '%s'"
"Product Tag API","API tagów produktu"
"Product Tags","Tagi produktu"
"Rebuild Tag aggregation data","Odbuduj dane agregacji tagów"
"Remove","Usuń"
"Remove product tag","Usuń tag produktu"
"Retrieve list of tags by product","Pobierz listę tagów według produktu"
"Retrieve product tag info","Pobierz informacje o tagu produktu"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Save Tag","Zapisz tag"
"SKU","SKU"
"Status","Status"
"Store View","Widok sklepu"
"Tag","Znacznik"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" został już dodany do produktu."
"Tag ""%s"" has been added to the product.","Tag ""%s"" został dodany do produktu."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" został odrzucony przez administratora."
"Tag Aggregation Data","Dane kumulacji tagów"
"Tagged Products List","Lista produktów oznaczonych"
"Tag Name","Nazwa tagu"
"Tags","Tagi"
"Tags:","Tagi:"
"Tags List (All Available)","Lista tagów (wszystkie dostępne)"
"Tags List Before","Przed listą tagów"
"Telephone","Telefon"
"There are no tags available.","Brak dostępnych tagów."
"The tag has been deleted.","Tag został usunięty."
"Unable to find any products tagged with '%s' in the current store","Nie można znaleźć żadnych produktów oznaczonych '%s' w bieżącym sklepie"
"Unable to remove tag. Please, try again later.","Nie można usunąć tagu. Spróbuj ponownie później."
"Unable to save tag(s).","Nie można zapisać tagów"
"Update","Aktualizuj"
"Update product tag","Aktualizuj tag produktu"
"Use spaces to separate tags. Use single quotes (') for phrases.","Użyj spacji, aby rozdzielić tagi. Użyj pojedynczych cytatów (') dla wyrażeń."
"View All Tags","Zobacz wszystkie tagi"
"View Customers","Zobacz klientów"
"View Products","Zobacz produkty"
"XML","XML"
"You have not tagged any products yet.","Nie otagowałeś jeszcze żadnych produktów."
"ZIP/Post Code","Kod pocztowy"
"[STORE VIEW]","[PRZECHOWYWA]"
