"Add","Dodaj"
"ALL","WSZYSTKIE"
"ANY","WSZYSTKIE"
"Apply","Zastosuj"
"by","przez"
"Conditions Combination","Kombinacja warunków"
"contains","zawiera"
"Customer Groups must be specified.","Grupy klientów muszą być określone."
"does not contain","nie zawiera"
"End Date must be greater than Start Date.","Data zakończenia musi być większa niż data rozpoczęcia."
"equals or greater than","równa lub większa niż"
"equals or less than","równa lub mniejsza niż"
"FALSE","FALSE"
"from","od"
"greater than","większe niż"
"If %s of these conditions are %s:","Jeśli %s z tych warunków to %s:"
"Invalid discount amount.","Nieprawidłowa kwota rabatu."
"is","jest"
"is not","nie jest"
"is not one of","nie jest jednym z"
"is one of","jest jednym z"
"less than","mniej niż"
"Open Chooser","Otwórz wybór"
"Perform following actions","Wykonaj następujące działania"
"Please choose a condition to add...","Wybierz warunek do dodania..."
"Please choose an action to add...","Wybierz akcję do dodania..."
"Remove","Usuń"
"There is no information about associated entity type ""%s"".","Nie ma informacji o powiązanym typie encji ""%s""."
"to","do"
"TRUE","WZÓR"
"Websites must be specified.","Strony muszą być określone."
