"Add","Dodaj"
"Add gift message for shopping cart","Dodaj wiadomość z życzeniami dla koszyka zakupów"
"Add gift messages for quote item of shopping cart","Dodaj wiadomości upominkowe dla pozycji cytatu w koszyku zakupów"
"Add gift messages to products of shopping cart","Dodaj wiadomości z życzeniami do produktów koszyka zakupów"
"Add gift options","Dodaj opcje upominkowe"
"Add gift options for Individual Items","Dodaj opcje upominkowe dla poszczególnych przedmiotów"
"Add gift options for the Entire Order","Dodaj opcje upominkowe dla całego zamówienia"
"Add gift options.","Dodaj opcje upominkowe."
"Allow Gift Messages for Order Items","Zezwól na wiadomość prezentową dla produktów zamówienia"
"Allow Gift Messages on Order Level","Zezwól na wiadomość prezentową na poziomie zamówienia"
"An error occurred while saving the gift message.","Wystąpił błąd podczas zapisu wiadomości upominkowej."
"Are you sure?","Czy na pewno tego chcesz?"
"Cancel","Anuluj"
"Do you have any gift items in your order?","Czy twoje zamówienie zawiera prezenty?"
"Edit","Edytuj"
"From","Od"
"Gift Message","Wiadomość prezentowa"
"Gift Message API","Interfejs API Wiadomości Podarunkowych"
"Gift Options","Opcje podarunkowe"
"Gift Options for","Opcje prezentowe dla"
"Gift Options for Individual Items","Opcje podarunkowe dla pojedynczych produktów"
"Gift Options for the Entire Order.","Opcje Prezentowe dla Całego Zamówienia."
"Gift Options for this address.","Opcje prezentowe dla tego adresu."
"Item %d of %d","Produkt %d z %d"
"Message","Wiadomość"
"No","Nie"
"OK","I'm ready to translate. Please provide the content to be translated to ""pl_PL""."
"Save Gift Message","Zapisz wiadomość prezentową"
"The gift message has been removed","Wiadomość z życzeniami została usunięta"
"The gift message has been saved","Wiadomość z życzeniami została zapisana"
"The gift message has been saved.","Wiadomość z życzeniami została zapisana."
"To","Do"
"Unknown entity type","Nieznany rodzaj obiektu"
"Use config","Użyj konfiguracji"
"Yes","Tak"
"You can leave this box blank if you do not wish to add a gift message for the item.","Możesz pozostawić to pole puste, jeśli nie chcesz dodać wiadomości podarunkowej dla tego przedmiotu."
"You can leave this box blank if you do not wish to add a gift message for this address.","Możesz pozostawić to pole puste, jeśli nie chcesz dodać wiadomości podarunkowej dla tego adresu."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Możesz pozostawić to pole puste, jeśli nie chcesz dodać wiadomości z okazji dla całego zamówienia."
