"(not processed yet)","(jeszcze nieprzetworzone)"
"0 disables the limit.","0 wyłącza limit."
"<strong>Enabling this alone does not display the button.</strong> The law requires the revocation button to stay permanently visible during the withdrawal period, but only your theme knows where that is. After enabling, you must place the <strong>Revocation Button</strong> widget in a block shown on every storefront page (typically the footer). Until you do, the form exists at <em>/revocation</em> but nothing links to it.","<strong>Włączenie tej opcji nie wyświetla przycisku.</strong> Ustawa wymaga, aby przycisk cofnięcia był stale widoczny w okresie odstąpienia, ale tylko Twój szablon wie, gdzie to jest. Po włączeniu, musisz umieścić widżet <strong>Przycisk Odwołania</strong> w bloku pokazanym na każdej stronie sklepu (zazwyczaj stopka). Dopóki nie zrobisz, formularz istnieje w <em>/revocation</em> , ale nic nie linków do niego."
"Abuse Protection","Ochrona przed nadużyciami"
"Accepted","Zaakceptowano"
"Accepting or rejecting only records the decision and adds a note to this order. The order status, state, and any refund are left unchanged.","Akceptowanie lub odrzucenie tylko zapisuje decyzję i dodaje notatkę do tego zamówienia. Status zamówienia, stan i zwrot pozostają niezmienione."
"Accept Revocation","Zaakceptuj odwołanie"
"Accept this revocation? This records the decision and adds a note to the matched order. No order status or refund changes automatically.","Zaakceptować to cofnięcie? To zapisuje decyzję i dodaje notatkę do dopasowanego zamówienia. Żaden status zamówienia ani zwrot nie zmienia się automatycznie."
"A confirmation email is on its way to you.","E-mail z potwierdzeniem jest w drodze do Ciebie."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Dodaje niewidzialne pole pułapki. Wysyłane zgłoszenia, które je wypełniają, są cicho upuszczane jako ruch bota."
"Back","Powrót"
"Button Label","Etykieta przycisku"
"Cooling-Off Period (Days)","Okres wycofania (dni)"
"create a credit memo","utwórz fakturę korygującą"
"CSV","CSV"
"Customer Name","Nazwa klienta"
"Customer Receipt Template","Szablon pokwitowania klienta"
"Customer submitted revocation request #%s via their account.","Klient przesłał prośbę o odwołanie #%s za pośrednictwem swojego konta."
"Custom Label","Własna etykieta"
"Declaration (read-only legal record)","Deklaracja (tylko do odczytu)"
"Email","E-mail"
"Email Sender","Nadawca wiadomości e-mail"
"Email Settings","Ustawienia e-mail"
"Email Suppressed","Wiadomość została zablokowana"
"Enabled","Włączone"
"EU Directive 2023/2673 (in Germany: &sect;356a BGB) requires B2C shops selling into the EU to provide a revocation button from 19 June 2026. This module provides that channel.","Dyrektywa UE 2023/2673 (w Niemczech: &sect;356a BGB) nakłada na sklepy B2C sprzedające do UE wymóg dostarczenia od dnia 19 czerwca 2026 r. przycisku cofnięcia. Ten moduł zapewnia ten kanał."
"Further requests are still recorded, but the customer receipt email is suppressed (visible and resendable in the admin grid). Defeats email-bombing of third parties. 0 disables the limit.","Dalsze żądania są nadal rejestrowane, ale e-mail z potwierdzeniem klienta jest tłumiony (widoczny i możliwy do ponownego wysłania w siatce administratora). Uderza bombardowanie poczty elektronicznej stron trzecich. 0 wyłącza limit."
"General","Ogólny"
"Honeypot Field","Pole Honeypot"
"ID","ID"
"If you do not receive a confirmation email within a few minutes, please contact us at %s and quote your reference number.","Jeśli nie otrzymasz e-maila z potwierdzeniem w ciągu kilku minut, skontaktuj się z nami pod adresem %s i zacytuj swój numer referencyjny."
"I hereby revoke this contract","Niniejszym odwołuję niniejszą umowę"
"Information Requested","Żądane informacje"
"Internal Note","Notatka wewnętrzna"
"Invalid decision.","Nieprawidłowa decyzja."
"Invalid form key. Please refresh the page and try again.","Nieprawidłowy klucz formularza. Odśwież stronę i spróbuj ponownie."
"Invalid processing status.","Nieprawidłowy status przetwarzania."
"IP Address","Adres IP"
"Leave empty to use the General Contact email address.","Pozostaw puste, aby użyć ogólnego adresu e-mail kontaktowego."
"Leave empty to use the label configured under Sales > Revocation Button.","Pozostaw puste, aby użyć etykiety skonfigurowanej pod Sprzedaż > Przycisk Odwołania."
"Leave empty to use the translated default (""Revoke contract"" / ""Vertrag widerrufen"").","Pozostaw puste, aby użyć przetłumaczonego domyślnego (""Odwołaj umowę"" / ""Vertrag widerrufen"")."
"Link Order","Kolejność linków"
"Link to order (increment ID):","Link do zamówienia (ID przyrostu):"
"Link to the contract revocation form (EU Directive 2023/2673). Place it in your footer or anywhere it must stay visible during the withdrawal period.","Link do formularza odstąpienia od umowy (dyrektywa UE 2023/2673). Umieść go w stopce lub gdziekolwiek musi pozostać widoczny w okresie odstąpienia."
"Locale","Język"
"Mark as Accepted","Oznacz jako zaakceptowane"
"Mark as Rejected","Oznacz jako odrzuconą"
"Mark the selected requests as accepted? The matched orders are not modified.","Oznacz wybrane żądania jako zaakceptowane? Dopasowane zamówienia nie są modyfikowane."
"Mark the selected requests as rejected? The matched orders are not modified.","Oznacz wybrane żądania jako odrzucone? Dopasowane zamówienia nie są modyfikowane."
"Matched Order","Dopasowane zamówienie"
"Merchant Notification Email","E-mail z powiadomieniami sprzedawcy"
