"Action","Akcja"
"Allow New Accounts via Social Sign-In","Zezwalaj na nowe konta poprzez logowanie społecznościowe"
"Apple Service ID","ID usługi Apple"
"Connected Accounts","Połączone konta"
"Connected On","Połączono"
"Continue with Apple","Kontynuuj z Apple"
"Continue with Facebook","Kontynuuj z Facebookiem"
"Create an app in the Meta developer portal, enable Facebook Login for the Web, and add your store domain to the allowed domains.","Utwórz aplikację w portalu programisty Meta, włącz Logowanie na Facebooku dla Internetu i dodaj domenę swojego sklepu do dozwolonych domen."
"Create a Service ID in the Apple Developer portal. Register your store domain and add https://yourstore.com/customer/social/login as a return URL.","Utwórz identyfikator usługi w portalu dla programistów Apple. Zarejestruj domenę sklepu i dodaj https://yourstore.com/customer/social/login jako powrotny adres URL."
"Creating new accounts with social sign-in is not allowed. Please register first.","Tworzenie nowych kont z logowaniem społecznościowym jest niedozwolone. Proszę najpierw się zarejestrować."
"Customer Connected Accounts","Klient połączony z kontami"
"Customers sign in with the Google Identity Services button. Create an OAuth client ID in the Google Cloud Console and add your store origin to the authorized JavaScript origins.","Klienci zalogują się za pomocą przycisku Usługi Tożsamości Google. Utwórz identyfikator klienta OAuth w Google Cloud Console i dodaj źródło swojego sklepu do autoryzowanych źródeł JavaScript."
"Email","E-mail"
"Enable Facebook Login","Włącz logowanie na Facebooku"
"Enable Google One Tap","Włącz Google One Stuknięcie"
"Enable Google Sign-In","Włącz logowanie Google"
"Enable Sign in with Apple","Włącz logowanie za pomocą Apple"
"Facebook App ID","ID aplikacji Facebook"
"Facebook App Secret","Sekret aplikacji Facebook"
"Failed Attempts Allowed per IP per Hour","Nieudane próby dozwolone na IP na godzinę"
"Google Client ID","Identyfikator klienta Google"
"How long an issued sign-in nonce stays valid. Values below 60 seconds are raised to 60.","Jak długo wydany login nonce pozostaje ważny. Wartości poniżej 60 sekund są podnoszone do 60."
"How many failed social sign-in attempts one IP address can make per hour. Set 0 to disable the limit.","Ile nieudanych prób logowania społecznościowego może zrobić jeden adres IP na godzinę. Ustaw 0, aby wyłączyć limit."
"Invalid authentication token.","Nieprawidłowy token uwierzytelniania."
"Invalid form key. Please refresh the page and try again.","Nieprawidłowy klucz formularza. Odśwież stronę i spróbuj ponownie."
"Linked Sign-In Providers","Połączeni dostawcy logowania"
"or","lub"
"Please complete the required fields of your profile.","Proszę wypełnić wymagane pola swojego profilu."
"Provider","Dostawca"
"Provider Email","E-mail dostawcy"
"Shows the One Tap prompt to returning Google users on the login and register pages.","Pokazuje monit o pojedynczym dotknięciu, aby zwrócić użytkowników Google po zalogowaniu i zarejestrowaniu stron."
"Sign-in failed. Please try again later.","Logowanie nie powiodło się. Spróbuj ponownie później."
"Sign-In Nonce Lifetime (Seconds)","Żywotność logowania Nonce (sekundy)"
"Sign-in verification is temporarily unavailable. Please try again later.","Weryfikacja logowania jest tymczasowo niedostępna. Spróbuj ponownie później."
"Social Login","Logowanie społecznościowe"
"The linked customer account no longer exists.","Połączone konto klienta już nie istnieje."
"The sign-in provider could not be unlinked.","Dostawca logowania nie mógł zostać odłączony."
"The sign-in provider has been unlinked.","Dostawca logowania został odłączony."
"This account is not active.","To konto nie jest aktywne."
"This customer has no linked sign-in providers.","Ten klient nie ma powiązanych dostawców logowania."
"This sign-in method is not available.","Ta metoda logowania nie jest dostępna."
"Too many attempts. Please try again later.","Zbyt wiele prób. Spróbuj ponownie później."
"Unknown sign-in provider.","Nieznany dostawca logowania."
"Unlink","Odłącz"
"When disabled, only customers with an existing account can sign in with a social provider.","Po wyłączeniu, tylko klienci z istniejącym kontem mogą zalogować się z usługodawcą społecznym."
"You can sign in with these connected providers.","Możesz zalogować się za pomocą tych podłączonych dostawców."
"You have no connected sign-in providers.","Nie masz podłączonych dostawców logowania."
"Your account has been created.","Twoje konto zostało utworzone."
"Your sign-in attempt has expired. Please try again.","Twoja próba logowania wygasła. Spróbuj ponownie."
