"# of Use","# użycia"
"%1$s incl tax.","%1$s podatek."
"%s-%s of %s","%s-%s z %s"
"%s and above","%s i więcej"
"%s Item(s)","%s Item(s)"
"(%d)","(%d)"
"(Copy data from: %s)","(Kopiuj dane z: %s)"
"* Required Fields","* Pola wymagane"
"-- Please Select --","-- Wybierz --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 domyślnie, jeśli nie ustawione. Aby odświeżyć natychmiast, wyczyść pamięć podręczną bloków HTML."
"<strong style=""color:red"">Deprecated.</strong> Flat Catalog will be removed in a future version. Modern databases no longer require this optimization.","<strong style=""color:red"">Przestarzałe.</strong> Płaski katalog zostanie usunięty w przyszłej wersji. Nowoczesne bazy danych nie wymagają już tej optymalizacji."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Ostrzeżenie!</strong> Zastosowanie MAP-u domyślnie ukryje wszystkie ceny produktów na froncie."
"Action","Akcja"
"Active Filters","Aktywne filtry"
"Actual Price","Rzeczywista cena"
"Add","Dodaj"
"Add Attribute","Dodaj atrybut"
"Add attribute into attribute set","Dodaj atrybut do zestawu atrybutów"
"Add Design Change","Dodaj zmianę projektu"
"Add Group","Dodaj grupę"
"Add group into attribute set","Dodaj grupę do zestawu atrybutów"
"Add Group Price","Dodaj cenę grupową"
"Additional Information","Informacje dodatkowe"
"Additional Views","Dodatkowe widoki"
"Add New","Dodaj nowy"
"Add New Attribute","Dodaj nowy atrybut"
"Add New Attribute Set","Dodaj nowy zestaw cech"
"Add new custom option into product","Dodaj nową niestandardową opcję do produktu"
"Add New Group","Dodaj nową grupę"
"Add New Images","Dodaj nowe obrazy"
"Add New Option","Dodaj nową opcję"
"Add New Row","Dodaj nowy wiersz"
"Add New Search Term","Dodaj nowe wyrażenie wyszukiwania"
"Add New Set","Dodaj nowy zestaw"
"Add new values into custom option","Dodaj nowe wartości do opcji niestandardowej"
"Add NOINDEX,FOLLOW to Filtered Layered Navigation Pages","Dodaj NOINDEX, OBSERWUJ do filtrowanych stron nawigacji warstwowej"
"Add NOINDEX,FOLLOW to Paginated Category Pages","Dodaj NOINDEX, OBSERWUJ do stron kategorii stron"
"Add option","Dodaj opcję"
"Add Product","Dodaj produkt"
"Add Product To Websites","Dodaj produkt do stron"
"Add rel=""nofollow"" to Layered Navigation Filter Links","Dodaj rel=""nofollow"" do linków filtrów filtrów warstwowych"
"Add Root Category","Dodaj kategorię główną"
"Add Subcategory","Dodaj podkategorię"
"Add Tax","Dodaj podatek"
"Add Tier","Dodaj poziom"
"Add to Cart","Dodaj do koszyka"
"Add to Compare","Dodaj do porównania"
"Add to Wishlist","Dodaj do schowka"
"Alert Urls","Adresy powiadomień"
"All","Wszystkie"
"ALL GROUPS","WSZYSTKO GRUPY"
"Allow All Products per Page","Zezwól na wszystkie produkty na stronę"
"Allow Dynamic Media URLs in Products and Categories","Zezwalaj na dynamiczne adresy multimediów w produktach i kategoriach"
"Allowed File Extensions","Dozwolone rozszerzenia plików"
"Allowed file extensions to upload","Dozwolone rozszerzenia plików do przesłania"
"Allow HTML Tags on Frontend","Zezwalaj na tagi HTML w witrynie"
"All products","Wszystkie produkty"
"All products - recently added products, New products - products marked as new","Wszystkie produkty - ostatnio dodane produkty, nowe produkty - produkty oznaczone jako nowe"
"All Product Types","Wszystkie typy produktów"
"All Websites","Wszystkie strony"
"Amount","Kwota"
"Anchor Custom Text","Własny tekst kotwicy"
"Anchor Custom Title","Własny tytuł kotwicy"
"and","W przypadku gdy państwo członkowskie lub Szwajcaria stwierdzi, że dane państwo członkowskie lub Szwajcaria spełniają warunki określone w art. 4 ust. 1 lit. a) i b) oraz w art. 5 ust. 1 lit. b) i c) rozporządzenia (WE) nr 207/2009 oraz w art. 5 ust. 1 lit. b) i c) rozporządzenia (WE) nr 207/2009 oraz w art. 5 ust. 1 lit. b) tego rozporządzenia i art. 6 ust. 1 lit. b) tego rozporządzenia i c) tego rozporządzenia stosuje się od dnia 1 stycznia 2018 r."
"and above","i powyżej"
"An error occurred while adding products to websites.","Wystąpił błąd podczas dodawania produktów do witryn."
"An error occurred while clearing comparison list.","Wystąpił błąd podczas czyszczenia listy porównania."
"An error occurred while deleting this review.","Wystąpił błąd podczas usuwania tej opinii."
"An error occurred while removing products from websites.","Wystąpił błąd podczas usuwania produktów ze stron internetowych."
"An error occurred while saving the attribute set.","Wystąpił błąd podczas zapisywania zestawu atrybutów."
"An error occurred while saving the collection, aborting. Error message: %s","Wystąpił błąd podczas zapisywania kolekcji, przerwano. Komunikat błędu: %s"
"An error occurred while saving the product. ","Wystąpił błąd podczas zapisywania produktu. "
"An error occurred while saving the search query.","Wystąpił błąd podczas zapisywania zapytania."
"An error occurred while saving the URL rewrite","Wystąpił błąd podczas zapisywania przekierowania adresu URL"
"An error occurred while saving this review.","Wystąpił błąd podczas zapisywania tej opinii."
"An error occurred while updating the product(s) attributes.","Wystąpił błąd podczas aktualizowania atrybutów produktu."
"An error occurred while updating the product(s) status.","Wystąpił błąd podczas aktualizacji statusu produktu."
"An invalid group ID is specified, skipping the record.","Podano nieprawidłowy identyfikator grupy, pomijam wpis."
"An invalid option ID is specified for %s (%s), skipping the record.","Podano nieprawidłowy identyfikator opcji dla %s (%s) , pomijam wpis."
"An invalid store was specified.","Określono nieprawidłowy sklep."
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Dotyczy tylko produktów i kategorii katalogowych. Każda zawartość multimediów zostanie wstawiona do edytora jako statyczny adres URL. Nie jest on aktualizowany, jeśli zmienia się bazowy adres URL konfiguracji systemu."
"Apply","Zastosuj"
