"Action","Akcja"
"Are you sure you want to restore this version? The current content will be saved as a new version first.","Czy na pewno chcesz przywrócić tę wersję? Bieżąca zawartość zostanie zapisana jako nowa wersja."
"Back","Powrót"
"Blog module is not enabled.","Moduł bloga nie jest włączony."
"Blog Post","Post na blogu"
"CMS Block","Blok CMS"
"CMS Page","Strona CMS"
"Content has been restored from version. The previous state was saved as a new version.","Zawartość została przywrócona z wersji. Poprzedni stan został zapisany jako nowa wersja."
"Content Version History","Historia wersji treści"
"Content Versioning","Content Versioning"
"Date","Data"
"Delete versions older than this many days. Set to 0 for unlimited.","Usuń wersje starsze niż ta liczba dni. Ustaw 0 dla nieograniczonych."
"Editor","Edytor"
"Maximum number of versions to keep per entity. Set to 0 for unlimited.","Maksymalna liczba wersji do utrzymania na jednostki. Ustaw 0 dla nieograniczonej."
"Max Version Age (Days)","Maksymalny wiek wersji (dni)"
"Max Versions Per Entity","Maksymalna ilość wersji na jednostkę"
"No versions available. Versions are created when content is saved.","Brak dostępnych wersji. Wersje są tworzone po zapisaniu treści."
"No version specified.","Nie określono wersji."
"Preview","Podgląd"
"Restore","Przywróć"
"Snapshot Data","Dane migawki"
"Source entity not found.","Nie znaleziono jednostki źródłowej."
"Version","Wersja"
"Version %s","Wersja %s"
"Version Details","Szczegóły wersji"
"Version not found.","Nie znaleziono wersji."
"Versions","Wersje"
