"* Required Fields","* Pola wymagane"
"-- No API Access --","-- Brak dostępu API --"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> prosi o dostęp do Twojego konta"
"Admin","Administrator"
"Admin API Access","Dostęp administratora API"
"After authorization application will have access to you account.","Po autoryzacji aplikacja będzie miała dostęp do Twojego konta."
"An error occurred.","Wystąpił błąd."
"An error occurred. Your authorization request is invalid.","Wystąpił błąd. Twoje żądanie autoryzacji jest nieprawidłowe."
"An error occurred on confirm authorize.","Wystąpił błąd podczas potwierdzania autoryzacji."
"An error occurred on delete action.","Wystąpił błąd podczas usuwania akcji."
"An error occurred on reject authorize.","Wystąpił błąd przy odrzuceniu autoryzacji."
"An error occurred on saving consumer data.","Wystąpił błąd podczas zapisywania danych konsumentów."
"An error occurred on update revoke status.","Wystąpił błąd podczas anulowania aktualizacji."
"An error occurred while deleting the consumer.","Wystąpił błąd podczas usuwania konsumenta."
"API Role","Rola API"
"Application Name","Nazwa aplikacji"
"Assign an API role to grant permissions. Manage roles at System > API > Roles.","Przypisz rolę API, aby przyznać uprawnienia. Zarządzaj rolami w systemie > API > Role."
"Authorization confirmed","Autoryzacja potwierdzona"
"Authorization confirmed.","Autoryzacja potwierdzona."
"Authorize","Autoryzuj"
"Authorize application","Autoryzuj aplikację"
"Authorized Tokens","Autoryzowane tokeny"
"Callback URL","Callback URL"
"Cleanup Probability","Prawdopodobieństwo czyszczenia"
"Cleanup Settings","Ustawienia czyszczenia"
"Close","Zamknij"
"Confirmation Of Authorization","Potwierdzenie autoryzacji"
"Confirm token authorization for admin","Potwierdź autoryzację tokenu dla administratora"
"Confirm token authorization Pop Up for admin","Potwierdź wyskakujące okno autoryzacji dla administratora"
"Consumer Information","Informacje dla konsumentów"
"Consumer Name","Nazwa konsumenta"
"Consumers","Konsumenci"
"Created At","Utworzono w"
"Current Admin Password","Bieżące hasło administratora"
"Customer","Klient"
"Delete","Usuń"
"deleted","usunięto"
"Disable","Wyłącz"
"Disabled","Wyłączone"
"Edit","Edytuj"
"Edit Consumer","Edytuj konsumenta"
"Email","E-mail"
"Email Address","Adres e-mail"
"Enable","Włącz"
"Enabled","Włączone"
"enabled","włączone"
"Entry with ID #%s not found.","Nie znaleziono wpisu o ID #%s."
"Expiration Period","Okres ważności"
"Expires","Wygasa"
"Expires At","Wygasa"
"Give the verifier code to application administrator","Podaj kod weryfikatora administratorowi aplikacji"
"ID","ID"
"Invalid ID parameter.","Nieprawidłowy parametr ID."
"Key","Klucz"
"Last Used","Ostatnio używane"
"Leave empty for no expiration","Pozostaw puste bez wygaśnięcia"
"Log In","Zaloguj się"
"Login","Logowanie"
"Log in as admin","Zaloguj się jako administrator"
"Log in to use <strong>%s</strong>","Zaloguj się, aby użyć <strong>%s</strong>"
"My Applications","Moje aplikacje"
"My Apps","Moje aplikacje"
"Name","Nazwisko"
"New Consumer","Nowy Konsument"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Admin Moje aplikacje"
"OAuth authorization for admin","Autoryzacja OAuth dla administratora"
"OAuth authorization simple for admin","Autoryzacja OAuth prosta dla administratora"
"OAuth Authorized Tokens","Tokeny autoryzowane OAuth"
"OAuth Consumers","Konsumenci OAuth"
"Password","Hasło"
"Permissions","Uprawnienia"
"Please login to proceed authorization.","Zaloguj się, aby kontynuować autoryzację."
"Please select needed row(s).","Proszę wybrać potrzebne wiersze."
"Please select revoke status.","Wybierz status cofnięcia."
"Protocol","Protocol"
"Reject","Odrzuć"
"Rejected Callback URL","Odrzucony URL wywołania zwrotnego"
"Rejection Of Authorization","Odrzucenie autoryzacji"
"Reject token authorization for admin","Odrzuć autoryzację tokenu dla administratora"
"Reject token authorization Pop Up for admin","Odrzuć wyskakujące okno autoryzacji dla administratora"
"Revoked","Revoked"
"revoked","revoked"
"Role Name","Nazwa roli"
"Save","Zapisz"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Secret","Sekretny"
"Selected entries enabled.","Wybrane wpisy włączone."
"Selected entries has been deleted.","Wybrane wpisy zostały usunięte."
"Selected entries revoked.","Wybrane wpisy cofnięte."
"Select stores this consumer can access. Leave empty for all stores.","Wybierz sklepy, do których ten konsument ma dostęp. Pozostaw puste dla wszystkich sklepów."
"Status","Status"
"Store Access","Dostęp do sklepu"
"System","System"
"The application access request is rejected.","Wniosek o dostęp do aplikacji zostaje odrzucony."
"The consumer has been deleted.","Konsument został usunięty."
"The consumer has been saved.","Konsument został zapisany."
"Token Status Change","Zmiana statusu tokenu"
"Token Status Change Email Template","Szablon wiadomości o zmianie statusu tokenu"
"Unable to find a consumer.","Nie można znaleźć konsumenta."
"User ID","ID użytkownika"
"User Name","Nazwa użytkownika"
"User Type","Typ użytkownika"
"Verifier code: %s","Kod weryfikatora: %s"
