"-- Please Select --","-- Wybierz --"
"Actions","Akcje"
"Add Layout Update","Dodaj aktualizację układu"
"Add New Widget Instance","Dodaj nową instancję widżetu"
"All","Wszystkie"
"All Pages","Wszystkie strony"
"All Product Types","Wszystkie typy produktów"
"Anchor Categories","Kategorie kotwic"
"An error occurred during POST data validation: %s","Wystąpił błąd podczas sprawdzania danych POST: %s"
"An error occurred during saving a widget: %s","Wystąpił błąd podczas zapisywania widżetu: %s"
"Apply","Zastosuj"
"Assign to Store Views","Przypisz do widoków sklepu"
"Big Image","Duży obraz"
"Block Reference","Odniesienie bloku"
"Categories","Kategorie"
"Choose...","Wybierz..."
"Close","Zamknij"
"CMS","CMS"
"Continue","Kontynuuj"
"Default Template","Domyślny szablon"
"Delete","Usuń"
"Design Package/Theme","Pakiet projektowy/motyw"
"Error occurs during loading chooser.","Wystąpił błąd podczas ładowania wybieracza."
"Export to:","Eksportuj do:"
"Frontend Properties","Właściwości Frontend"
"Generic Pages","Ogólne strony"
"Go to Next page","Przejdź do następnej strony"
"Go to Previous page","Przejdź do poprzedniej strony"
"Images","Obrazy"
"Insert Widget...","Insert Widget..."
"items selected","wybrane elementy"
"Layout Updates","Aktualizacje układu"
"Manage Widget Instances","Zarządzaj instancjami widżetu"
"New Instance","Nowa instancja"
"New Widget Instance","Nowa instancja widżetu"
"Next page","Następna strona"
"Non-Anchor Categories","Kategorie niezakotwiczone"
"Not Selected","Nie wybrano"
"of %s pages","z %s stron"
"Open Chooser","Otwórz wybór"
"Page","Strona"
"per page","na stronie"
"Please Select Block Reference First","Proszę najpierw wybrać odwołanie do bloku"
"Previous page","Poprzednia strona"
"Products","Produkty"
"Remove Layout Update","Usuń aktualizację układu"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Select All","Zaznacz wszystko"
"Select Visible","Wybierz widoczny"
"Settings","Ustawienia"
"Sort Order","Kolejność sortowania"
"Sort Order of widget instances in the same block reference","Kolejność sortowania instancji widżetu w tym samym odwołaniu do bloku"
"Specific %s","Specyficzne %s"
"Specified Page","Określona strona"
"Template","Szablon"
"The information in this tab has been changed.","Informacje w tej karcie zostały zmienione."
"The widget instance has been deleted.","Instancja widżetu została usunięta."
"The widget instance has been saved.","Instancja widżetu została zapisana."
"This tab contains invalid data. Please solve the problem before saving.","Ta karta zawiera nieprawidłowe dane. Rozwiąż problem przed zapisaniem."
"Thumbnail","Thumbnail"
"Total %d records found","Łącznie %d znalezionych rekordów"
"Type","Typ"
"Unselect All","Odznacz wszystko"
"Unselect Visible","Odznacz widoczne"
"View","Widok"
"Widget","Widżet"
"Widget ""%s""","Widżet ""%s"""
"Widget ID","ID widżetu"
"Widget Instance","Instancja widgetu"
"Widget instance is not full complete to create.","Instancja widgetu nie jest pełna do utworzenia."
"Widget Instance Title","Tytuł instancji widżetu"
"Widget Options","Opcje widżetu"
"Widgets","Widgety"
"Widget Type","Typ widżetu"
"Widget Type is not specified","Typ widżetu nie został określony"
"Wrong widget instance specified.","Określono nieprawidłową instancję widżetu."
