"-- Please Select --","-- Wybierz --"
"0 = never expires. Can be overridden per product.","0 = nigdy nie wygasa. Może być nadpisany na produkt."
"Action","Akcja"
"Active","Aktywne"
"Add a message...","Dodaj wiadomość..."
"Add New Gift Card","Dodaj nową kartę podarunkową"
"Admin Comment","Komentarz administratora"
"Allow Gift Message","Zezwalaj na wiadomość podarunkową"
"Allow Message","Zezwól na wiadomość"
"All Websites","Wszystkie strony"
"Amount","Kwota"
"Amount Range","Zakres kwoty"
"An error occurred. Please try again.","Wystąpił błąd. Spróbuj ponownie."
"Applied Gift Cards:","Zastosowane karty podarunkowe:"
"Apply","Zastosuj"
"Apply Gift Card","Zastosuj kartę podarunkową"
"Applying...","Używanie..."
"Balance","Saldo"
"Balance: %s","Saldo: %s"
"Balance After","Saldo po"
"Balance Before","Saldo przed"
"Can be overridden per product.","Może być nadpisany na produkt."
"Cannot apply gift card.","Nie można zastosować karty podarunkowej."
"Cannot remove gift card.","Nie można usunąć karty podarunkowej."
"Card Type","Typ karty"
"Check","Sprawdzanie"
"Check Balance","Sprawdź saldo"
"Checking...","Sprawdzanie..."
"Code","Kod"
"Code Length","Długość kodu"
"Code Prefix (e.g., GC)","Prefiks kodu (np. GC)"
"Comma-separated values (e.g., 25,50,100)","Wartości oddzielone przecinkami (np. 25,50,100)"
"Created","Utworzono"
"Created %d gift card product(s): %s","Utworzono %d produkty z karty upominkowej: %s"
"Created At","Utworzono w"
"Create Gift Card Products","Utwórz produkty karty podarunkowej"
"Current Balance","Bieżące saldo"
"Custom Amount","Kwota niestandardowa"
"Date","Data"
"Default: %s","Domyślnie: %s"
"Default Expiry (days)","Domyślnie wygasa (dni)"
"Delete","Usuń"
"Delete Gift Card","Usuń kartę podarunkową"
"Disabled","Wyłączone"
"Edit","Edytuj"
"Edit Gift Card '%s'","Edytuj kartę podarunkową '%s'"
"Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment.","Edytuj to, aby ręcznie dostosować saldo. Użyj ""Komentarz administratora"", aby wyjaśnić korektę."
"Email Sender","Nadawca wiadomości e-mail"
"Email Settings","Ustawienia e-mail"
"Email Template","Szablon e-mail"
"Enable Gift Cards","Włącz karty podarunkowe"
"Enter gift card code","Wprowadź kod karty podarunkowej"
"Error generating gift card PDF: %s","Błąd podczas generowania karty podarunkowej PDF: %s"
"Expired","Wygasły"
"Expires","Wygasa"
"Expires At","Wygasa"
"Fixed + Range","Stała + zakres"
"Fixed Amount(s)","Stała kwota(y)"
"Fixed Amounts","Stała kwota"
"From","Od"
"From:","Od:"
"Gift Card","Karta podarunkowa"
"Gift card ""%s"" has been fully used.","Karta podarunkowa ""%s"" została w pełni wykorzystana."
"Gift card ""%s"" has expired.","Karta podarunkowa ""%s"" wygasła."
"Gift card ""%s"" is already applied.","Karta podarunkowa ""%s"" jest już zastosowana."
"Gift card ""%s"" is not active.","Karta podarunkowa ""%s"" jest nieaktywna."
"Gift card ""%s"" is not valid.","Karta podarunkowa ""%s"" jest nieprawidłowa."
"Gift card ""%s"" is not valid for this website.","Karta podarunkowa ""%s"" nie jest ważna dla tej witryny."
"Gift card ""%s"" was applied.","Karta podarunkowa ""%s"" została zastosowana."
"Gift card amount cannot be less than %s","Kwota karty podarunkowej nie może być mniejsza niż %s"
"Gift card amount cannot be more than %s","Kwota karty podarunkowej nie może być większa niż %s"
"Gift Card Code","Kod Karty Podarunkowej"
"Gift Card History","Historia kart podarunkowych"
"Gift Card Information","Informacje o karcie podarunkowej"
"Gift card not found.","Nie znaleziono karty podarunkowej."
"Gift Card Notification Email","E-mail z powiadomieniem o karcie podarunkowej"
"Gift Card Options","Opcje karty podarunkowej"
