"""Remember Me"" Default Value","Domyślna wartość ""Zapamiętaj mnie"""
"* Required Fields","* Pola wymagane"
"Accept Format-valid VAT When VIES Unavailable","Akceptuj prawidłowy format VAT gdy VIES jest niedostępny"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>."
"Account Dashboard","Panel Klienta"
"Account Information","Informacje o koncie"
"Account Options","Opcje konta"
"Account Sharing Options","Opcje udostępniania konta"
"Action","Akcja"
"Added From","Dodano z"
"Additional Address Entries","Dodatkowe wpisy adresu"
"Add New Address","Dodaj nowy adres"
"Add New Customer","Dodaj nowego klienta"
"Add New Customer Group","Dodaj nową grupę klientów"
"Address","Adres"
"Address Book","Książka adresowa"
"Addresses","Adresy"
"Address Information","Informacje o adresie"
"Address Templates","Szablony adresów"
"Admin","Administrator"
"All","Wszystkie"
"All countries","Wszystkie kraje"
"ALL GROUPS","WSZYSTKO GRUPY"
"Allow customers to login via a secure link sent to their email instead of using a password.","Pozwól klientom logować się za pomocą bezpiecznego linku wysyłanego na ich adres e-mail zamiast używać hasła."
"All Store Views","Wszystkie widoki sklepu"
"Always optional.","Zawsze opcjonalne."
"Amount","Kwota"
"An error occurred during validation. Please try again.","Wystąpił błąd podczas weryfikacji. Spróbuj ponownie."
"An error occurred while deleting the address.","Wystąpił błąd podczas usuwania adresu."
"An error occurred while retrieving the option value: %s.","Wystąpił błąd podczas pobierania wartości opcji: %s."
"An error occurred while saving the collection, aborting. Error: %s","Wystąpił błąd podczas zapisywania kolekcji, przerwano. Błąd: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Podano nieprawidłowy identyfikator opcji dla %s (%s) , pomijam wpis."
"Approved","Zatwierdzone"
