"Add Recipient","Dodaj odbiorcę"
"Allow for Guests","Wysyłanie maili przez Gości"
"An invalid email address for recipient was entered.","Wprowadzono nieprawidłowy adres email odbiorcy."
"At least one recipient must be specified.","Przynajmniej jeden odbiorca musi zostać określony."
"Back","Powrót"
"Catalog Product Email to a Friend","Katalog Produkt Email do Przyjaciela"
"Email Address","Adres e-mail"
"Email Address:","Adres email:"
"Email Templates","Szablony e-mail"
"Email to a Friend","Wyślij znajomemu"
"Email:","E-mail:"
"Enabled","Włączone"
"Invalid Sender Information","Nieprawidłowa informacja nadawcy"
"Invalid sender email.","Nieprawidłowy adres e-mail nadawcy."
"Limit Sending By","Ogranicz wysyłanie o"
"Max Products Sent in 1 Hour","Wysłana maksymalna ilość produktów w 1 godzinie"
"Max Recipients","Maksymalna ilość odbiorców"
"Maximum %d email addresses allowed.","Dopuszczalne maksymalnie %d adresów e-mail."
"Message:","Wiadomość:"
"Name","Nazwa"
"Name:","Imię:"
"No more than %d emails can be sent at a time.","Nie więcej niż %d wiadomości e-mail może być wysłanych jednocześnie."
"Please define a correct Cookie instance.","Zdefiniuj poprawny instancję ciasteczka."
"Please define a correct Product instance.","Zdefiniuj poprawny instancję produktu."
"Please define the correct Sender information.","Zdefiniuj poprawne informacje nadawcy."
"Recipient:","Odbiorca:"
"Remove Email","Usuń e-mail"
"Select Email Template","Wybierz szablon e-mail"
"Send Email","Wyślij e-mail"
"Send product to a friend","Wyślij produkt do znajomego"
"Sender:","Nadawca:"
"Some emails were not sent.","Niektóre e-maile nie zostały wysłane."
"The link to a friend was sent.","Link został wysłany do znajomego."
"The message cannot be empty.","Wiadomość nie może być pusta."
"The messages cannot be sent more than %d times in an hour","Wiadomości nie mogą być wysyłane więcej niż %d razy w godzinę"
"The sender name cannot be empty.","Nazwa nadawcy nie może być pusta."
"There were some problems with the data.","Wystąpiły pewne problemy z danymi."
"You have exceeded limit of %d sends in an hour","Przekroczyłeś limit %d wysyłek na godzinę"
