"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Reguły cen katalogowych oparte na atrybucie ""%s"" zostały wyłączone."
"-- All Active Rules --","-- All Active Rules --"
"86400 by default, if not set. Rule prices change with the daily catalog rule reindex.","86400 by default, if not set. Rule prices change with the daily catalog rule reindex."
"Actions","Operacje"
"Active","Aktywny"
"Add New Rule","Dodaj regułę"
"An error occurred while deleting the rule. Please review the log and try again.","Wystąpił błąd podczas usuwania reguły. Przejrzyj dziennik i spróbuj ponownie."
"An error occurred while saving the rule data. Please review the log and try again.","Wystąpił błąd podczas zapisu danych reguły. Przejrzyj dziennik i spróbuj ponownie."
"Apply","Zastosuj"
"Apply Rules","Zastosuj reguły"
"Attribute Set","Zestaw cech"
"Best Selling","Best Selling"
"Biggest Discount","Biggest Discount"
"By Fixed Amount","O stałą ilość"
"By Percentage of the Original Price","W procentach ceny oryginalnej"
"Catalog","Katalog"
"Catalog On Sale Products","Catalog On Sale Products"
"Catalog Price Rule","Reguły cenowe katalogu"
"Catalog Price Rules","Reguły cenowe katalogu"
"Category","Kategoria"
"Conditions","Warunki"
"Conditions (leave blank for all products)","Warunki (pozostaw puste dla wszystkich produktów)"
"Conditions Combination","Kombinacja warunków"
"Customer Groups","Grupy klientów"
"Date Expire","Data wygaśnięcia"
"Date From","Data od"
"Date Start","Data rozpoczęcia"
"Date To","Data do"
"Description","Opis"
"Discount Amount","Zniżka"
"Edit Rule","Edytuj regułę"
"Edit Rule '%s'","Edycja reguły '%s'"
"Enable Discount to Subproducts","Włącz zniżkę dla podproduktów"
"Expiration Date","Data ważności"
"From Date","Od daty"
"General Information","Ogólne"
"ID","Identyfikator"
"Inactive","Nieaktywny"
"List of Products with an active Catalog Price Rule discount","List of Products with an active Catalog Price Rule discount"
"Newest","Newest"
"New Rule","Nowa reguła"
"No","Nie"
"Only In-Stock Products","Only In-Stock Products"
"On Sale","On Sale"
"On Sale Images and Names Template","On Sale Images and Names Template"
"On Sale Images Only Template","On Sale Images Only Template"
"On Sale Names Only Template","On Sale Names Only Template"
"On Sale Products Grid Template","On Sale Products Grid Template"
"On Sale Products List Template","On Sale Products List Template"
"Options","Opcje"
"Order Products By","Order Products By"
"Priority","Priorytet"
"Product Attribute","Cecha produktu"
"Promotions","Promocje"
"Random","Random"
"Restrict to a single rule (e.g. ""Offer of the month""). Leave empty for all active rules.","Restrict to a single rule (e.g. ""Offer of the month""). Leave empty for all active rules."
"Rule Information","Informacje o regule"
"Rule Name","Nazwa reguły"
"Save and Apply","Zapisz i zastosuj"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Start Date","Data rozpoczęcia"
"Status","Stan"
"Stop Further Rules Processing","Przestań dalsze przetwarzanie reguł"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Istnieją reguły, które zostały zmienione, ale nie zostały zastosowane. Proszę, kliknij Zastosuj reguły, aby zobaczyć natychmiastowy efekt w katalogu."
"The rule has been deleted.","Zasada została usunięta."
"The rule has been saved.","Zasada została zapisana."
"The rules have been applied.","Waiting for the content to translate..."
"This rule no longer exists.","Ta reguła już nie istnieje."
"To Date","Do daty"
"To Fixed Amount","Do stałej ilości"
"To Percentage of the Original Price","W procentach ceny oryginalnej"
"Type","Rodzaj"
"Unable to apply rules.","Nie można zastosować reguł."
"Unable to find a rule to delete.","Nie znaleziono reguły do usunięcia."
"Update Prices Using the Following Information","Aktualizuj ceny przy użyciu następujących informacji"
"Update product's %s %s: %s","Aktualizuj produkty %s %s: %s"
"Website","Witryna"
"Websites","Witryny"
"Wrong rule specified","Zła reguła określona"
"Wrong rule specified.","Zła reguła określona."
"Yes","Tak"
