"%d product(s) were updated","%d produktów zostało zaktualizowanych"
"%s (Default Template from Locale)","%s (domyślny szablon z języka)"
"%s cache type(s) disabled.","%s cache type(s) disabled."
"%s cache type(s) enabled.","%s cache type(s) enabled."
"%s cache type(s) refreshed.","%s cache type(s) refreshed."
"(%s/%s/%s)","(%s/%s/%s)"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Dla typu ""Serwer lokalny"" musi użyć względnej ścieżki do zainstalowania Magento var/export lub var/import, np. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(W przypadku amerykańskich 2-literowych nazw stanów)"
"(If left empty will be auto-generated)","(Jeśli puste zostaną wygenerowane automatycznie)"
"(Leave empty for first spreadsheet)","(Pozostaw puste dla pierwszego arkusza kalkulacyjnego)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkty zostaną dodane/zaktualizowane do tego sklepu jeśli kolumna 'store' jest pusta lub brakuje w pliku importu.)"
"(Starting with)","(Zaczynając z)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Jeśli 'Nie', tylko mapowane pola zostaną zaimportowane. Podczas mapowania użyj 'kolumny1', 'kolumny2', itp.)"
"(You have to increase php memory_limit before changing this value)","(Musisz zwiększyć memory_limit php przed zmianą tej wartości)"
"(\\t for tab)","(\\t dla karty)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Jeśli indeksowanie jest w toku, zostanie ono zabite i rozpocznie się nowy proces indeksowania."
"* Required Fields","* Pola wymagane"
"-- Not Selected --","-- Nie wybrano --"
"-- Please Select --","-- Wybierz --"
"-- Please select --","-- Wybierz --"
"--Please Select--","--Proszę wybrać--"
"-- Please Select a Category --","-- Wybierz kategorię --"
"-- Please Select Billing Agreement--","-- Wybierz umowę rozliczeniową--"
"1 Hour","1 godzina"
"2 Hours","2 godziny"
"2FA verification code:","Kod weryfikacyjny 2FA:"
"2FA verification code is invalid.","Kod weryfikacyjny 2FA jest nieprawidłowy."
"2YTD","2YTD"
"6 Hours","6 godzin"
"12 Hours","12 godzin"
"12h AM/PM","12h AM/PM"
"24 Hours","24 godziny"
"24h","24h"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Błąd</h1><p>Strona nie została znaleziona.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> prosi o dostęp do Twojego konta"
"Abandoned Carts","Porzucone koszyki"
"Access Denied","Odmowa dostępu"
"Access denied","Odmowa dostępu"
"Access denied.","Odmowa dostępu."
"Account Created in:","Konto utworzone w:"
"Account Created on (%s):","Konto utworzone (%s):"
"Account Created on:","Konto utworzone:"
"Account Information","Informacje o koncie"
"Account Status","Status konta"
"Account status","Status konta"
"Action","Akcja"
"Actions","Akcje"
"Actions XML","XML akcji"
"Active","Aktywne"
"Add","Dodaj"
"Add after","Dodaj po"
"Add Exception","Dodaj wyjątek"
"Add Field Mapping","Dodaj mapowanie pól"
"Add Field with URL:","Dodaj pole z adresem URL:"
"Additional Cache Management","Dodatkowe zarządzanie pamięcią podręczną"
"Add New","Dodaj nowy"
"Add New Block","Dodaj nowy blok"
"Add New Image","Dodaj nowy obraz"
"Add New Profile","Dodaj nowy profil"
"Add New Role","Dodaj nową rolę"
"Add New Template","Dodaj nowy szablon"
"Add New URL Rewrite","Dodaj nowe przekierowanie URL"
"Add New User","Dodaj nowego użytkownika"
"Add New Variable","Dodaj nową zmienną"
"Add new variable","Dodaj nową zmienną"
"Add Products","Dodaj produkty"
"Address Type:","Typ adresu:"
"Add URL Rewrite","Dodaj przekierowanie URL"
"Add URL Rewrite for a Category","Dodaj przekierowanie URL dla kategorii"
"Add URL Rewrite for a Product","Dodaj przekierowanie URL dla produktu"
"Admin","Administrator"
"Advanced Profiles","Profile zaawansowane"
"After authorization application will have access to you account.","Po autoryzacji aplikacja będzie miała dostęp do Twojego konta."
"Alert","Alarm"
"All","Wszystkie"
"All Allowed Countries","Wszystkie dozwolone kraje"
"All Cache","Cała skrzynka"
"All countries","Wszystkie kraje"
"All fields","Wszystkie pola"
"Allowed","Dozwolone"
"All possible rates were fetched, please click on ""Save"" to apply","Wszystkie możliwe stawki zostały pobrane, kliknij ""Zapisz"", aby zastosować"
"All rates were fetched, please click on ""Save"" to apply","Wszystkie stawki zostały pobrane, kliknij ""Zapisz"", aby zastosować"
"All Reviews","Wszystkie recenzje"
"All Store Views","Wszystkie widoki sklepu"
"All Tags","Wszystkie tagi"
"All valid rates have been saved.","Wszystkie poprawne stawki zostały zapisane."
"All Websites","Wszystkie strony"
"Alt text:","Tekst alternatywny:"
"Always (during development)","Zawsze (podczas rozwoju)"
"Amounts","Kwoty"
" and "," W przypadku gdy państwo członkowskie lub Szwajcaria stwierdzi, że dane państwo członkowskie lub Szwajcaria spełniają warunki określone w art. 4 ust. 1 lit. a) i b) oraz w art. 5 ust. 1 lit. b) i c) rozporządzenia (WE) nr 207/2009 oraz w art. 5 ust. 1 lit. b) i c) rozporządzenia (WE) nr 207/2009 oraz w art. 5 ust. 1 lit. b) tego rozporządzenia i art. 6 ust. 1 lit. b) tego rozporządzenia i c) tego rozporządzenia stosuje się od dnia 1 stycznia 2018 r. "
"An error occurred: %s","Wystąpił błąd: %s"
"An error occurred while adding condition.","Wystąpił błąd podczas dodawania warunku."
"An error occurred while clearing the configurable swatches image cache.","Wystąpił błąd podczas czyszczenia konfigurowalnej pamięci podręcznej obrazów."
"An error occurred while clearing the image cache.","Wystąpił błąd podczas czyszczenia pamięci podręcznej obrazów."
"An error occurred while clearing the minified CSS/JS cache.","Wystąpił błąd podczas czyszczenia minionej pamięci podręcznej CSS/JS."
"An error occurred while deleting email log entries.","Wystąpił błąd podczas usuwania wpisów dziennika e-mail."
"An error occurred while deleting email template data. Please review log and try again.","Wystąpił błąd podczas usuwania danych szablonu e-mail. Przejrzyj dziennik i spróbuj ponownie."
"An error occurred while deleting record(s).","Wystąpił błąd podczas usuwania wpisu(ów)."
