"%s-%s of %s","%s-%s z %s"
"%s - Go to Home Page","%s - Przejdź do strony głównej"
"%s Item(s)","%s Item(s)"
"-- Please Select --","-- Wybierz --"
"-- Use Default --","-- Użyj domyślnych --"
"1 column","1 kolumna"
"2 columns with left bar","2 kolumny z lewym paskiem"
"2 columns with right bar","2 kolumny z prawym paskiem"
"3 columns","3 kolumny"
"Account","Konto"
"All Empty Layout Pages","Wszystkie puste strony układu"
"All Minimal Layout Pages","Wszystkie strony z minimalnym układem"
"All One-Column Layout Pages","Wszystkie strony układu jednokolumnowego"
"Allow","Zezwól"
"All Pages","Wszystkie strony"
"All Pages (Print Version)","Wszystkie strony (wersja wydruku)"
"All Rights Reserved.","Wszystkie prawa zastrzeżone."
"All Three-Column Layout Pages","Wszystkie strony układu trójkolumnowego"
"All Two-Column Layout Pages (Left Column)","Wszystkie strony układu dwukolumnowego (lewa kolumna)"
"All Two-Column Layout Pages (Right Column)","Wszystkie strony układu dwukolumnowego (prawa kolumna)"
"Breadcrumbs","Ścieżki"
"Click <a href=""%s"">here</a> if nothing has happened","Kliknij <a href=""%s"">tutaj</a> jeśli nic się nie wydarzyło"
"Close","Zamknij"
"Close Window","Zamknij okno"
"CMS Block","Blok CMS"
"Custom Text","Własny tekst"
"Default Description","Domyślny opis"
"Demo Store Notice CMS Block","Blok notatki CMS w sklepie demo"
"Demo Store Notice Text","Tekst notatki w sklepie demo"
"Deprecated: Use SVG or srcset","Przestarzałe: Użyj SVG lub srcset"
"Disabled","Wyłączone"
"Empty","Pusty"
"Interface Language","Język interfejsu"
"Leave empty to use the default text.","Pozostaw puste, aby użyć domyślnego tekstu."
"Left Column","Lewa kolumna"
"Left Column First (shows above main column on smaller screens)","Lewa kolumna najpierw (pokazuje powyżej kolumny głównej na mniejszych ekranach)"
"Logo Height (in px)","Wysokość logo (w pikselach)"
"Logo Width (in px)","Szerokość logo (w pikselach)"
"Main Content Area","Główny obszar treści"
"Main Navigation","Główna nawigacja"
"Menu","Menu"
"Minimal","Minimalny"
"Navigation Bar","Pasek nawigacji"
"Next","Następny"
"Page:","Strona:"
"Page Bottom","Dolna strona"
"Page Footer","Stopka strony"
"Page Header","Nagłówek strony"
"Page Top","Strona górna"
"per page","na stronie"
"Previous","Poprzedni"
"Primary sidebar","Główny pasek boczny"
"Redirecting...","Przekierowanie..."
"Results per page","Wyniki na stronie"
"Right Column","Prawa kolumna"
"Right sidebar","Prawy pasek boczny"
"Search","Szukaj"
"Secondary sidebar","Drugi pasek boczny"
"Select Store","Wybierz sklep"
"Select Store:","Wybierz sklep"
"Show","Pokaż"
"Skip to main content","Przejdź do głównej zawartości"
"Store Notice","Notatka sklepu"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","To jest sklep demo. Żadne zamówienia złożone przez ten sklep nie będą honorowane ani wypełniane."
"View All","Zobacz wszystko"
"Welcome!","Witaj!"
"Welcome, %s!","Witaj, %s!"
"Your Language","Twój język"
"Your Language:","Twój język:"
