"Actions","Akcje"
"An error occurred while marking notification as read.","Wystąpił błąd podczas oznaczania powiadomienia jako przeczytane."
"An error occurred while marking the messages as read.","Wystąpił błąd podczas oznaczania wiadomości jako przeczytane."
"An error occurred while removing messages.","Wystąpił błąd podczas usuwania wiadomości."
"An error occurred while removing the message.","Wystąpił błąd podczas usuwania wiadomości."
"Are you sure?","Jesteś pewien?"
"critical","krytyczne"
"Date Added","Data dodania"
"Last Update","Ostatnia aktualizacja"
"major","duży"
"Mark as Read","Oznacz jako przeczytane"
"Mark as read","Oznacz jako przeczytane"
"Message","Wiadomość"
"Messages Inbox","Skrzynka odbiorcza wiadomości"
"minor","niewielki"
"notice","Ogłoszenie"
"Notifications","Powiadomienia"
"Please select messages.","Proszę wybrać wiadomości."
"Read Details","Przeczytaj szczegóły"
"Remove","Usuń"
"Severity","Dotkliwość"
"Show List","Pokaż listę"
"Show Toolbar","Pokaż pasek narzędzi"
"The message has been marked as read.","Wiadomość została oznaczona jako przeczytana."
"The message has been removed.","Wiadomość została usunięta."
"Total of %d record(s) have been marked as read.","Całkowita liczba rekordów %d została oznaczona jako przeczytana."
"Total of %d record(s) have been removed.","Wszystkie rekordy %d zostały usunięte."
"Unable to proceed. Please, try again.","Nie można kontynuować. Spróbuj ponownie."
"Update Frequency","Częstotliwość aktualizacji"
"Wrong message type","Nieprawidłowy typ wiadomości"
