"%s %s cycle.","Cykl %s %s."
"%s (unavailable)","%s (niedostępny)"
"* Required Fields","* Pola wymagane"
"--Please Select--","--Proszę wybrać--"
"3D Secure Card Validation","Weryfikacja karty 3D Secure"
"<label>Make Check payable to:</label> %s","<label>Sprawdzanie płatne na:</label> %s"
"Action","Akcja"
"Add New Restriction","Dodaj nowe ograniczenie"
"Allow Initial Fee Failure","Zezwalaj na niepowodzenie opłaty początkowej"
"An internal reference ID is required to save the payment profile.","Aby zapisać profil płatności, wymagany jest wewnętrzny identyfikator referencji."
"Apply the restriction only if the following conditions are met (leave blank for all)","Zastosuj ograniczenie tylko wtedy, gdy spełnione są następujące warunki (pozostaw puste dla wszystkich)"
"Are you sure?","Jesteś pewien?"
"Authorize action is not available.","Akcja autoryzacji jest niedostępna."
"Auto Bill on Next Cycle","Automatyczny rachunek na następny cykl"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Automatycznie rozliczaj pozostałą kwotę salda w następnym cyklu rozliczeniowym (jeśli płatności nie powiodły się)."
"Automatically Invoice All Items","Automatycznie fakturuj wszystkie produkty"
"Bank Transfer Payment","Płatność przelewu bankowego"
"Billing Agreement status is not set.","Status umowy rozliczeniowej nie jest ustawiony."
"Billing Amount","Kwota fakturowania"
"Billing Frequency","Częstotliwość fakturowania"
"Billing Period","Okres rozliczeniowy"
"Billing Period Unit","Jednostka okresu rozliczeniowego"
"Billing period unit is not defined or wrong.","Jednostka okresu rozliczeniowego nie jest zdefiniowana lub nieprawidłowa."
"Cannot retrieve the payment info model object.","Nie można pobrać informacji o modelu płatności."
"Cannot retrieve the payment information object instance.","Nie można pobrać informacji o obiekcie płatności."
"Cannot retrieve the payment method code.","Nie można pobrać kodu metody płatności."
"Cannot retrieve the payment method model object.","Nie można pobrać modelu obiektu metody płatności."
"Capture action is not available.","Akcja przechwytywania jest niedostępna."
"Card Verification Number","Numer weryfikacyjny karty"
"Cart Attribute","Atrybut koszyka"
"Cash On Delivery Payment","Płatność gotówkowa przy dostawie"
"Change status","Zmień status"
"Check / Money Order","Zapłać / przelew pieniężny"
"Conditions","Warunki"
"Conditions Combination","Kombinacja warunków"
"Countries","Kraje"
"Created At","Utworzono w"
"Credit Card Number","Numer karty kredytowej"
"Credit card number mismatch with credit card type.","Niezgodność numeru karty kredytowej z typem karty kredytowej."
"Credit Card Type","Typ karty kredytowej"
"Credit card type is not allowed for this payment method.","Typ karty kredytowej nie jest dozwolony dla tej metody płatności."
"Credit Card Types","Rodzaje kart kredytowych"
"Currency","Waluta"
"Currency code is undefined.","Kod waluty jest niezdefiniowany."
"Customer Groups","Grupy klientów"
"Customer ID is not set.","Identyfikator klienta nie jest ustawiony."
"Day","Dzień"
"Debug Mode","Tryb debugowania"
"Delete Restriction","Usuń ograniczenie"
"Description","Opis"
"Edit","Edytuj"
"Edit Restriction","Edytuj ograniczenie"
"Edit Restriction '%s'","Edytuj ograniczenie '%s'"
"Enabled","Włączone"
"equals or greater than","równa lub większa niż"
"equals or less than","równa lub mniejsza niż"
"Expiration Date","Data wygaśnięcia"
"FOUND","ZNALEZIONO"
"Full name of the person receiving the product or service paid for by the recurring payment.","Pełne imię i nazwisko osoby otrzymującej produkt lub usługę, za którą opłaca się powtarzająca się płatność."
"General Information","Informacje ogólne"
"greater than","większe niż"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Jeśli %s %s %s dla podwyboru produktów w koszyku pasującym do %s z poniższych warunków:"
"If an item is %s in the cart with %s of these conditions true:","Jeśli produkt jest %s w koszyku z %s z tych warunków prawda:"
"Incorrect credit card expiration date.","Nieprawidłowa data wygaśnięcia karty kredytowej."
"Initial Fee","Opłata początkowa"
"Initial non-recurring payment amount due immediately upon profile creation.","Początkowa jednorazowa kwota płatności wymagalna natychmiast po utworzeniu profilu."
"Instructions","Instrukcje"
"Internal Reference ID","Wewnętrzny identyfikator referencji"
"Invalid Credit Card Number","Nieprawidłowy numer karty kredytowej"
"is","jest"
"is not","nie jest"
"Issue Number","Numer wydania"
"less than","mniej niż"
"Make Check Payable to","Spraw, aby płatność na rzecz"
"Make Check payable to:","Sprawdź płatne na:"
"Make Check payable to: %s","Spraw, który jest płatny do: %s"
"Maximum Billing Cycles","Maksymalne cykle rozliczeniowe"
"Maximum Order Total","Maksymalna suma zamówienia"
"Maximum Payment Failures","Maksymalna liczba niepowodzeń płatności"
"Maximum Trial Billing Cycles","Maksymalny okres rozliczeniowy"
"Minimum Order Total","Minimalna suma zamówienia"
"Month","Miesiąc"
"N/A","Nie dotyczy."
"Name","Nazwisko"
"Name on Card","Imię na karcie"
"New Order Status","Nowy status zamówienia"
"New Restriction","Nowe ograniczenie"
"NOT FOUND","NIEPRZEZNACZONE"
"Number of billing periods that make up one billing cycle.","Liczba okresów rozliczeniowych, które stanowią jeden cykl rozliczeniowy."
"Number of Complete Orders","Liczba zakończonych zamówień"
"Order action is not available.","Akcja zamówienia jest niedostępna."
"Password","Hasło"
"Payment from Applicable Countries","Płatność z właściwych krajów"
"Payment from Specific Countries","Płatność z określonych krajów"
"Payment Method","Metoda płatności"
"Payment method code is not set.","Kod metody płatności nie jest ustawiony."
"Payment method code is undefined.","Kod metody płatności jest niezdefiniowany."
"Payment Methods","Metody płatności"
"Payment profile is invalid:\n%s","Profil płatności jest nieprawidłowy:\n%s"
"Payment Reference ID","Identyfikator referencyjny płatności"
"Payment Restrictions","Ograniczenia płatności"
"Payment Services","Usługi płatnicze"
"Period frequency is wrong.","Częstotliwość okresu jest nieprawidłowa."
"Please choose a condition to add.","Wybierz warunek do dodania."
"Please enter a valid credit card verification number.","Wprowadź prawidłowy numer weryfikacyjny karty kredytowej."
"Please select restriction(s).","Proszę wybrać ograniczenia."
"Product Attribute","Atrybut produktu"
"Product attribute combination","Kombinacja atrybutów produktu"
"Product Categories","Kategorie produktów"
"Products subselection","Podwybór produktów"
"Purchase Order","Zamówienie zakupu"
"Purchase Order Number","Numer zamówienia zakupu"
"Purchase Order Number:","Numer zamówienia zakupu:"
"Purchase Order Number: %s","Numer zamówienia zakupu: %s"
"Recurring Profile Start Date","Data rozpoczęcia profilu okresowego"
"Recurring profile start date has invalid format.","Data rozpoczęcia profilu cyklicznego ma nieprawidłowy format."
"Reference ID is not set.","Identyfikator odniesienia nie jest ustawiony."
"Refund action is not available.","Akcja zwrotu nie jest dostępna."
"Repeats %s time(s).","Powtarza %s raz(y)."
"Repeats until suspended or canceled.","Powtarza się do momentu zawieszenia lub anulowania."
"Save Restriction","Zapisz ograniczenie"
"Schedule Description","Opis harmonogramu"
"Schedule description must be not empty.","Opis harmonogramu nie może być pusty."
"Selected payment type is not allowed for billing country.","Wybrany typ płatności nie jest dozwolony dla kraju rozliczeniowego."
"Send Check to","Wyślij sprawdź do"
"Send Check to:","Wyślij sprawdź do:"
"Severe 3D Secure Card Validation","Ważność karty 3D Secure"
"Shipping Amount","Kwota wysyłki"
"Shipping Country","Kraj wysyłki"
"Shipping Method","Metoda wysyłki"
"Shipping Postcode","Kod pocztowy dostawy"
"Shipping Region","Region wysyłki"
"Shipping State/Province","Państwo/województwo wysyłki"
"Short description of the recurring payment. By default equals to the product name.","Krótki opis okresowej płatności. Domyślnie równa się nazwie produktu."
"Sort Order","Kolejność sortowania"
"Start Date","Data rozpoczęcia"
"Start date has invalid format.","Data rozpoczęcia ma nieprawidłowy format."
"Start date is undefined.","Data początkowa jest niezdefiniowana."
"Status","Status"
"Status ""%s"" cannot be unassigned. It is in used in %d payment method configuration(s): %s","Status ""%s"" nie może być odpisany. Jest używany w %d konfiguracji metody płatności: %s"
"Stores","Sklepy"
"Subscriber Name","Nazwa subskrybenta"
"Subtotal","Suma częściowa"
"Switch/Solo/Maestro Issue Number","Numer wydania Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Tylko Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Data rozpoczęcia przełączania/Solo/Maestro"
"Tax Amount","Kwota podatku"
"Test Mode","Tryb testowy"
"The date when billing for the profile begins.","Data rozpoczęcia płatności dla profilu."
"The number of billing cycles for payment period.","Liczba cykli rozliczeniowych dla okresu płatności."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Liczba zaplanowanych płatności, które mogą zawiesić się przed automatycznym zawieszeniem profilu."
"The payment restriction has been deleted.","Ograniczenie płatności zostało usunięte."
"The payment restriction has been saved.","Ograniczenie płatności zostało zapisane."
"The payment review action is unavailable.","Akcja weryfikacji płatności jest niedostępna."
"The requested Payment Method is not available.","Żądana metoda płatności jest niedostępna."
"This restriction no longer exists.","To ograniczenie już nie istnieje."
"Title","Rozporządzenie Rady (EWG) nr 2658/87 z dnia 23 lipca 1987 r. w sprawie nomenklatury taryfowej i statystycznej oraz w sprawie Wspólnej Taryfy Celnej (Dz.U. L 256 z 7.9.1987, s. 1)."
"total amount","całkowita kwota"
"Total Items Quantity","Całkowita ilość produktów"
"Total of %d record(s) were deleted.","Łącznie %d rekord(y) zostały usunięte."
"Total of %d record(s) were updated.","Całkowita liczba rekordów %d została zaktualizowana."
"total quantity","całkowita ilość"
"Total Weight","Masa całkowita"
"Trial Billing Amount","Kwota rozliczenia próbnego"
"Trial billing amount is wrong.","Kwota rozliczenia próbnego jest nieprawidłowa."
"Trial Billing Frequency","Częstotliwość rozliczenia próbnego"
"Trial Billing Period Unit","Jednostka okresu rozliczeniowego"
"Trial billing period unit is wrong.","Jednostka okresu rozliczeniowego jest nieprawidłowa."
"Trial Period","Okres próbny"
"Trial period frequency is wrong.","Częstotliwość okresu próbnego jest nieprawidłowa."
"Trial period max cycles is wrong.","Maksymalne cykle okresu próbnego są błędne."
"Two Weeks","Dwa tygodnie"
"Type","Typ"
"Unable to find a restriction to delete.","Nie można znaleźć ograniczenia do usunięcia."
"Unable to save Billing Agreement:","Nie można zapisać umowy rozliczeniowej."
"Unit for billing during the subscription period.","Jednostka rozliczeniowa w okresie subskrypcji."
"Void action is not available.","Akcja unieważnienia jest niedostępna."
"Week","Tydzień"
"What is this?","Co to jest?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Czy zawiesić profil płatności, jeśli opłata początkowa nie powiedzie się lub doda go do salda pozostającego do spłaty."
"Wrong %s specified.","Podano nieprawidłowy %s."
"Wrong or empty billing amount specified.","Określona nieprawidłowa lub pusta kwota płatności."
"Year","W związku z tym Komisja stwierdza, że środek 1 stanowi pomoc państwa w rozumieniu art. 107 ust. 1 Traktatu."
"Zero Subtotal Checkout","Zero Suma Suma"
