"Average Duration","Średni czas trwania"
"Average Pages","Średnie strony"
"Bounce Rate","Współczynnik odbić"
"Browsers","Browsers"
"Devices","Urządzenia"
"Devices & Browsers","Urządzenia i przeglądarki"
"Direct / No referrer","Bezpośredni / Brak odsyłacza"
"Enable Log","Włącz dziennik"
"Enable Log Cleaning","Włącz czyszczenie logów"
"Error Email Recipient","Błąd adresu e-mail odbiorcy"
"Error Email Sender","Error Email Sender"
"Error Email Template","Błąd szablonu wiadomości e-mail"
"Exit Pages","Wyjdź ze stron"
"Exits","Wyjście"
"Frequency","Częstotliwość"
"Landing Pages","Strony lądowania"
"Log","Logi"
"Log cleanup Warnings","Ostrzeżenia czyszczenia dziennika"
"Logged in","Zalogowany"
"Login Conversion","Konwersja logowania"
"New vs Returning","Nowe vs zwrot"
"No data","Brak danych"
"No language data available","Brak dostępnych danych językowych"
"No page view data available","Brak dostępnych danych widoku strony"
"No traffic source data available","Brak dostępnych danych o źródłach ruchu"
"of visitors logged in","zalogowanych odwiedzających"
"Online","Dostępny"
"Page","Strona"
"Returning","Powrót"
"Save Log, Days","Zapisz log, dni"
"Session Metrics","Metryki sesji"
"Sessions","Sesje"
"Start Time","Czas rozpoczęcia"
"Today","Dziś"
"Top Pages","Najlepsze strony"
"Total visitors","Całkowita liczba odwiedzających"
"Traffic Sources","Źródła ruchu"
"Views","Widoki"
"Visitors","Odwiedzający"
"Visitors only","Tylko odwiedzający"
"Visits","Wizyty"
"Week","Tydzień"
