"Additional Product Attributes","Dodatkowe cechy produktu"
"API Endpoint URL","API Endpoint URL"
"Authentication Type","Typ uwierzytelniania"
"Auth Token","Token uwierzytelniania"
"Bearer Token","Token Bearer"
"Custom Header","Niestandardowy nagłówek"
"Custom Header Name","Niestandardowa nazwa nagłówka"
"Debug Mode","Tryb debugowania"
"Displayed Error Message","Wyświetlony komunikat o błędzie"
"Enabled","Włączone"
"None","Brak"
"Request Timeout (seconds)","Limit czasu żądania (sekundy)"
"Select product attributes to include in the API request payload.","Wybierz atrybuty produktu do uwzględnienia w żądaniu API payload."
"Shipping Bridge","Most wysyłkowy"
"Ship to Applicable Countries","Wysyłka do odpowiednich krajów"
"Ship to Specific Countries","Wysyłka do określonych krajów"
"Sort Order","Kolejność sortowania"
"Title","Rozporządzenie Rady (EWG) nr 2658/87 z dnia 23 lipca 1987 r. w sprawie nomenklatury taryfowej i statystycznej oraz w sprawie Wspólnej Taryfy Celnej (Dz.U. L 256 z 7.9.1987, s. 1)."
