"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Actions","Action"
"Active","Actif"
"Add New Rule","Ajouter une nouvelle règle"
"Alphabetical","Alphabétique"
"Alphanumeric","Alphanumérique"
"An error occurred while generating coupons. Please review the log and try again.","An error occurred while generating coupons. Please review the log and try again."
"Apply","Appliquer"
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Apply the rule only to cart items matching the following conditions (leave blank for all items)"
"Apply To","S'applique à"
"Apply to Shipping Amount","Appliquer au montant de la livraison"
"Are you sure you want to delete the selected coupon(s)?","Êtes-vous sûr(e) de vouloir effacer les bons de réduction sélectionnés ?"
"Attribute ""%s"" %s %s %s","Attribute ""%s"" %s %s %s"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Codes de bons de réduction spécifiques générés automatiquement"
"Buy X get Y free (discount amount is Y)","X achetés, Y gratuits (la valeur de la remise est Y)"
"By Fixed value","remise d'une valeur de"
"By Percentage","remise en %%"
"Can't acquire coupon.","Impossible d'acquérir un code offre spéciale."
"Cart Attribute","Attribut de panier"
"Catalog","Catalogue"
"Code Format","Format du code"
"Code Length","Longueur du code"
"Code Prefix","Préfixe de code"
"Code Suffix","Suffixe de code"
"Conditions","Conditions"
"Conditions combination","Combinaison de conditions"
"Coupon","Bon de réduction"
"Coupon Code","Code du bon de réduction"
"Coupon Qty","Qté de bons de réduction"
"Coupons Information","Coupons Information"
"Coupon with the same code","Coupon de réduction avec le même code"
"Created On","Créé le"
"Customer Groups","Groupes clients"
"Dash Every X Characters","Ajouter un trait tous les X caractères"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Default Label","Libellé par défaut"
"Default Rule Label for All Store Views","Libellé de règle par défaut pour toutes les vues magasin"
"Description","Description"
"Discount Amount","Remise"
"Discount Qty Step (Buy X)","Quantité pour obtenir la remise (Achetez-en X)"
"Edit Rule","Éditer la règle"
