"%s Screenshot","Capture d'écran %s"
"%s violation(s)","%s Violation(s)"
"Accessibility Scan","Analyse d'accessibilité"
"Accessibility Scan Report","Rapport d'analyse d'accessibilité"
"Accessibility Violations","Violations d'accessibilité"
"Advanced","Avancé"
"Are you sure you want to delete this scan?","Êtes-vous sûr de vouloir supprimer cette analyse ?"
"axe-core could not automatically evaluate %s check(s) (for example, color contrast over an image). Review them manually.","axe-core n'a pas pu évaluer automatiquement la(les) vérification(s) %s (par exemple, le contraste de couleur sur une image). Révisez-les manuellement."
"Back","Précédent"
"CLI","CLI"
"Command failed (exit code %s): %s","La commande a échoué (code de sortie %s: %s"
"Command timed out after %s seconds: %s","La commande a expiré après %s secondes : %s"
"Complete","Complete"
"Completed","Terminé"
"Conformance level used when starting a scan without an explicit level.","Niveau de conformité utilisé lors du démarrage d'un scan sans niveau explicite."
"Critical","Critique"
"Cron expression. Default: <strong>0 3 * * *</strong> (daily at 3am).","Expression cron. Par défaut : <strong>0 3 * * *</strong> (quotidiennement à 3am)."
"Cron Schedule","Planification Cron"
"Date","Date"
"Default WCAG Level","Niveau WCAG par défaut"
"Delete","Supprimez"
"Delete Scans After","Supprimer les scans après"
"Desktop","Bureau"
"Desktop Viewport","Vue bureau"
"Enabled","Activé"
"Export PDF","Exporter en PDF"
"Failed","Echoué"
"Fix all of the following","Corriger tous les éléments suivants"
"Fix any of the following","Corriger l'un des éléments suivants"
"General Settings","Paramètres généraux"
"How to fix","Comment réparer"
"HTML","HTML"
"ID","ID"
"Invalid scan URL ""%s"": every URL must belong to one of the configured store base URLs","L'URL d'analyse «%s» est invalide : chaque URL doit appartenir à l'une des URL de base de la boutique configurée"
"Learn more","En savoir plus"
"Manual","Manuelle"
"Maximum time in seconds to wait for a single page scan.","Temps maximum en secondes d'attente pour un balayage d'une seule page."
"Minor","Mineur"
"Mobile","Téléphone mobile"
"Mobile Viewport","Vue Mobile"
"Moderate","Modérée"
"Needs Review","Besoin d'une revue"
"No automatically detectable violations were found. Automated checks cover only part of WCAG, so manual testing with a keyboard and a screen reader is still recommended.","Aucune violation détectable automatique n'a été trouvée. Les vérifications automatisées ne couvrent qu'une partie de l’AMCAG, de sorte que les tests manuels avec un clavier et un lecteur d’écran sont toujours recommandés."
"Node.js %s is installed, but the scanner requires version %s or newer.","Node.js %s est installé, mais le scanner nécessite la version %s ou plus récente."
"Node.js Binary Path","Chemin binaire de Node.js"
"Node.js was not found (looking for ""%s""). Install Node.js %s or newer, or set its full path in System > Configuration > Accessibility Scan.","Node.js n'a pas été trouvé (recherche de «%s»). Node d'installation. s %s ou plus récent, ou définissez son chemin complet dans Système > Configuration > Scanne d'accessibilité."
"npm Binary Path","Chemin npm Binaire"
"npm was not found (looking for ""%s""). Install it together with Node.js, or set its full path in System > Configuration > Accessibility Scan.","npm n'a pas été trouvé (recherche de «%s»). Installez-le avec Node. , ou définissez son chemin complet dans System > Configuration > Accessibility Scan."
"One URL per line. Every URL must belong to one of the configured store base URLs.","Une URL par ligne. Chaque URL doit appartenir à l'une des URL de base de magasin configurées."
"Page Title","Titre de la page"
"Path to the node executable. Default: node","Chemin vers l'exécutable du noeud. Par défaut: noeud"
"Path to the npm executable. Default: npm","Chemin vers l'exécutable npm. Par défaut : npm"
"Pending","En attente"
"Periodically scan the URLs below via cron, using the default WCAG level.","Analyser périodiquement les URL ci-dessous via cron, en utilisant le niveau WCAG par défaut."
"Please provide a valid URL to scan","Veuillez fournir une URL valide à analyser"
"Run a New Scan","Exécuter un nouveau scan"
"Running","En cours d'exécution"
"Scan #%s","Numérisation%s"
"Scan failed","L'analyse a échoué"
"Scan failed: %s","Échec de la numérisation : %s"
"Scan History","Historique du scan"
"Scan ID","ID du scan"
"Scanning... this can take a couple of minutes.","Analyse en cours... cela peut prendre quelques minutes."
"Scan not found","Scan non trouvé"
"Scan Results","Résultats de l'analyse"
"Scans older than this many days are deleted automatically. 0 keeps everything.","Les scans plus anciens que ce nombre de jours sont supprimés automatiquement. 0 garde tout."
"Scan Timeout","Délai d'attente du scan"
"Scheduled","Planifié"
"Scheduled Scans","Scans programmés"
"Selector","Sélecteur"
"Serious","Sérieux"
"Show on desktop screenshot","Afficher sur la capture d'écran du bureau"
"Show on mobile screenshot","Afficher sur la capture d'écran mobile"
"Source","Source"
"Started","Démarré"
"Start Scan","Démarrer le scan"
"Status","Statut"
"Summary","Summary"
"System","Système"
"Template","Gabarit"
"Template Source","Source du modèle"
"The scan has been deleted.","Le scan a été supprimé."
"The scanner cannot run on this server yet:","Le scanner ne peut pas encore s'exécuter sur ce serveur:"
"The scanner returned an unexpected result","Le scanner a retourné un résultat inattendu"
"The scanner runtime is not installed yet. Run ""./maho accessibility:install"" from the command line to install it.","L'exécution du scanner n'est pas encore installée. Lancez ""./maho accessibility:install"" depuis la ligne de commande pour l'installer."
"The URL to scan must belong to one of the configured store base URLs","L'URL à analyser doit appartenir à l'une des URL de base de la boutique configurée"
"This report was generated with automated checks (axe-core), which detect only a subset of WCAG success criteria. A report with no violations does not guarantee conformance; manual testing with a keyboard and a screen reader is still required.","Ce rapport a été généré avec des vérifications automatisées (axe-core), qui ne détectent qu'un sous-ensemble de critères de succès WCAG. Un rapport sans violation ne garantit pas la conformité; des tests manuels avec un clavier et un lecteur d'écran sont toujours nécessaires."
"Total","Total"
"Total Scans","Balayages totaux"
"Total Violations","Violations totales"
"Unable to acquire the scanner install lock","Impossible d'acquérir le verrou d'installation du scanner"
"Unable to copy the scanner script to %s","Impossible de copier le script du scanner vers %s"
"Unable to create directory %s","Impossible de créer le répertoire %s"
"Unable to start process: %s","Impossible de démarrer le processus : %s"
"URL","URL"
"URLs to Scan","URLs à scanner"
"URL to scan","URL à analyser"
"URL to scan, e.g. https://store.example.com/","URL à scanner, par exemple https://store.example.com/"
"Violation #%s: %s","Violation n°%s: %s"
"Violations","Violations"
"Violations (Latest Scan)","Violations (analyse la plus récente)"
"WCAG %s","WCAG %s"
"WCAG 2.2 Level A","WCAG 2.2 Niveau A"
"WCAG 2.2 Level AA","WCAG 2.2 niveau AA"
"WCAG 2.2 Level AAA","WCAG 2.2 Niveau AAA"
"WCAG Level","Niveau WCAG"
"Width x height in CSS pixels, scanned with mobile emulation. Default: 390x844","Largeur x hauteur en pixels CSS, scanné avec une émulation mobile. Par défaut: 390x844"
"Width x height in CSS pixels. Every scan runs one pass per viewport. Default: 1280x1024","Largeur x hauteur en pixels CSS. Chaque scan passe un seul passage par affichage. Par défaut: 1280x1024"
