"Add","Ajouter"
"Add links and samples to downloadable product","Add links and samples to downloadable product"
"Add New Row","Ajouter une ligne"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","Les caractères alphabétique, tiret et tirets bas sont recommandés pour les noms de fichiers. Les caractères incohérents sont remplacés par '_'."
"An error occurred while getting the requested content.","An error occurred while getting the requested content."
"An error occurred while getting the requested content. Please contact the store owner.","An error occurred while getting the requested content. Please contact the store owner."
"An error occurred while saving the file(s).","An error occurred while saving the file(s)."
"attachment","pièce jointe"
"Availability:","Disponibilité :"
"Back","Précédent"
"Canceled","Annulée"
"Cannot connect to remote host, error: %s.","Cannot connect to remote host, error: %s."
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Category API","Category API"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","Date"
"Default Link Title","Titre de lien par défaut"
"Default Maximum Number of Downloads","Nombre maximum de téléchargements par défaut"
"Default Sample Title","Titre de l'exemple par défaut"
"Delete","Supprimer"
"Disable Guest Checkout if Cart Contains Downloadable Items","Désactiver le passage de commande en tant qu'invité si le panier contient des produits téléchargeables"
"Disable Sample","Disable Sample"
"download","téléchargement"
"Downloadable Information","Informations téléchargements"
"Downloadable Product","Downloadable Product"
"Downloadable Product Options","Options du produit téléchargeable"
"Edit","Editer"
"Edit item parameters","Éditer les paramètres de l'article"
"Excl. Tax","HT"
"File","Fichier"
"File:","File:"
"From:","De :"
"Gift Message","Message du cadeau"
"Go to <a href=""%s"">My Downloadable Products</a>","Go to <a href=""%s"">My Downloadable Products</a>"
"Guest checkout will only work with shareable.","Le passage de commande en tant qu'invité ne fonctionnera qu'avec les partageables."
"Incl. Tax","TTC"
"inline","en ligne"
"In stock","En stock"
"Invalid download link type.","Le type de lien de téléchargement est invalide."
"Invalid download URL host.","Invalid download URL host."
"Invalid download URL scheme.","Invalid download URL scheme."
"Invalid file path.","Invalid file path."
"Invoiced","Facturé"
"Links can be purchased separately","Les liens peuvent être achetés séparément"
"List","Liste"
"Max. Downloads","Téléchargements max."
"Message:","Message :"
"Move","Déplacer"
"Move to wishlist","Move to wishlist"
"My Downloadable Products","Mes produits téléchargeables"
"Open Links in New Window","Ouvrir les liens dans une nouvelle fenêtre"
"Order #","Commande n°"
"Ordered","Commandé"
"Order id cannot be null","L'ID de commande ne peut pas être nul"
"Order item id cannot be null","L'ID d'article de commande ne peut pas être nul"
"Order Item Status to Enable Downloads","Statut du produit commandé pour activer le téléchargement"
"Out of stock","Épuisé"
"Pending","En attente"
"Please log in to download your product.","Please log in to download your product."
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Please log in to download your product or purchase <a href=""%s"">%s</a>."
"Please set resource file and link type.","Renseignez le fichier de ressource et le type de lien."
"Please specify product link(s).","Spécifiez le ou les liens des produits"
"Price","Prix"
"Product downloadable links","Product downloadable links"
"Qty","Qté"
"Refunded","Remboursé"
"Remaining Downloads","Téléchargements restants"
"Remove","Retirer"
"Remove Item","Supprimer l'article"
"Remove links and samples from downloadable product","Remove links and samples from downloadable product"
"Requested link does not exist.","Requested link does not exist."
"Retrieve links and samples list from downloadable product","Retrieve links and samples list from downloadable product"
"Sample","Exemple"
"sample","exemple"
"See price before order confirmation.","Voir le prix avant la confirmation de la commande"
"Shareable","Partageable"
"Shipped","Livré"
"SKU","REF"
"Sorry, there was an error getting requested content. Please contact the store owner.","Erreur lors de la récupération du contenu demandé. Veuillez contacter le magasin."
"Sort Order","Ordre de tri"
"Start Download","Démarrage du téléchargement"
"Status","Statut"
"Subtotal","Sous-total"
"The file does not exist.","The file does not exist."
"The link has expired.","Le lien a expiré."
"The link is not available.","Le lien n'est pas disponible."
"There are files that were selected but not uploaded yet. Please upload or remove them first","There are files that were selected but not uploaded yet. Please upload or remove them first"
"Title","Titre"
"To:","À :"
"U","U"
"Unlimited","Illimité"
"Update","Mettre à jour"
"URL:","URL:"
"Use Content-Disposition","Utiliser la disposition de contenu"
"Use Default Value","Utiliser la valeur par défaut"
"View Order","Visualiser"
"What's this?","Qu'est-ce que c'est ?"
"You have not purchased any downloadable products yet.","Vous n'avez pas encore commandé de produits téléchargeables."
