"-- Please Select --","-- Faites un choix --"
"Add to Cart","Ajouter au panier"
"Are you sure to delete this fallback color?","Are you sure to delete this fallback color?"
"Choose an Option...","Choisissez une option..."
"Configurable Swatches","Configurable Swatches"
"Dynamic Price Change for Swatches in Product Listing","Dynamic Price Change for Swatches in Product Listing"
"Enabled","Activé"
"General Settings","Paramètres généraux"
"Height","Hauteur"
"Innermost dimensions, not including border, in pixels","Innermost dimensions, not including border, in pixels"
"In Stock","En stock"
"Out of Stock","Épuisé"
"Previous","Précédent"
"Product Attributes to Show as Swatches in Product Detail","Product Attributes to Show as Swatches in Product Detail"
"Product Attribute to Use for Swatches in Product Listing","Product Attribute to Use for Swatches in Product Listing"
"Remove This Item","Retirer cet élément"
"Swatch","Échantillon"
"Swatch Dimensions in Layered Navigation","Swatch Dimensions in Layered Navigation"
"Swatch Dimensions in Product Listing","Swatch Dimensions in Product Listing"
"Swatch Dimensions on Product Detail Page","Swatch Dimensions on Product Detail Page"
"Width","Largeur"
