"Additional Product Attributes","Attributs de produit supplémentaires"
"API Endpoint URL","API Endpoint URL"
"Authentication Type","Type d'authentification"
"Auth Token","Jeton d'authentification"
"Bearer Token","Jeton de Porteur"
"Custom Header","En-tête personnalisé"
"Custom Header Name","Nom de l'en-tête personnalisé"
"Debug Mode","Mode de débogage"
"Displayed Error Message","Message d'erreur affiché"
"Enabled","Activé"
"None","Aucun"
"Request Timeout (seconds)","Délai d'attente de la requête (secondes)"
"Select product attributes to include in the API request payload.","Sélectionnez les attributs de produit à inclure dans la charge utile de la requête API."
"Shipping Bridge","Pont d'expédition"
"Ship to Applicable Countries","Expédier aux pays applicables"
"Ship to Specific Countries","Expédier à des pays spécifiques"
"Sort Order","Ordre de tri"
"Title","Titre de la page"
