"%s's Wishlist","%s's Wishlist"
"%s - Discounts and Coupons","%s - Discounts and Coupons"
"%s - Special Products","%s - Special Products"
"%s has reached a quantity of %s.","%s has reached a quantity of %s."
"%s RSS Feed","%s RSS Feed"
"Admin Catalog","Admin Catalog"
"Admin Order","Admin Order"
"Cannot retrieve the wishlist","Cannot retrieve the wishlist"
"Catalog","Catalogue"
"Category Feeds","Category Feeds"
"click <a href=""%s"">here</a> to view the review","click <a href=""%s"">here</a> to view the review"
"Click for price","Cliquez pour afficher le prix"
"Comment: %s<br/>","Comment: %s<br/>"
"Coupons/Discounts","Coupons/Réductions"
"Current Status: %s<br/>","Current Status: %s<br/>"
"Customer Name: %s","Customer Name: %s"
"Customer Order Notification","Customer Order Notification"
"Customer Order Status Notification","Notification de statut de commande client"
"Details for %s #%s","Details for %s #%s"
"Discount","Remise"
"Discount (%s)","Discount (%s)"
"Enable RSS","Activer le RSS"
"Enabling can increase security risk by exposing some order details.","Enabling can increase security risk by exposing some order details."
"Error in processing xml. %s","Error in processing xml. %s"
"From:","De :"
"Get Feed","Récupérer le flux"
"Gift Message","Message du cadeau"
"Grand Total","Montant global"
"Low Stock Products","Produits ayant un faible niveau de stock"
"Message:","Message :"
"Miscellaneous Feeds","Flux divers"
"New Order Notification","New Order Notification"
"New Order Period (days)","New Order Period (days)"
"New Orders","Nouvelles commandes"
"New Products","Nouveaux produits"
"New Products from %s","New Products from %s"
"Notified Date: %s<br/>","Notified Date: %s<br/>"
"Order","Commande"
"Order #%s created at %s","Order #%s created at %s"
"Order # %s Notification(s)","Order # %s Notification(s)"
"Pending product review(s)","Avis de produit en attente"
"Product: ""%s"" review By: %s","Product: ""%s"" review By: %s"
"Product: <a href=""%s"">%s</a> <br/>","Product: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Products tagged with %s"
"Purchased From: %s","Purchased From: %s"
"Review: %s <br/>","Review: %s <br/>"
"Review Notification","Review Notification"
"Rss Config","Configuration RSS"
"RSS Feeds","Flux RSS"
"RSS Feeds List","RSS Feeds List"
"Shipping &amp; Handling","Frais de port"
"Special Products","Produits spéciaux"
"Stock Notification","Stock Notification"
"Store: %s <br/>","Store: %s <br/>"
"Subtotal","Sous-total"
"Summary of review: %s <br/>","Summary of review: %s <br/>"
"Tags Products","Tags Products"
"Tax","TVA"
"There are no Rss Feeds","There are no Rss Feeds"
"To:","À :"
"Top Level Category","Catégorie de niveau supérieur"
"Total: %s<br/>","Total: %s<br/>"
"Wishlist","Liste d'achats"
