"%s items queued for embedding.","Les éléments %s ont été mis en file d'attente pour être intégrés."
"Action","Action"
"AI","AI"
"AI: could not refresh models for %s. See exception.log.","AI: n'a pas pu actualiser les modèles pour %s. Voir exception.log."
"AI: refreshed %d models for %s.","AI: modèles %d actualisés pour %s."
"AI Configuration","Configuration IA"
"AI Task #%s","AI Task #%s"
"AI Task History","AI Task History"
"AI Usage","Utilisation de l'IA"
"already queued","déjà mis en file d'attente"
"Async Queue","File d'attente Async"
"Auto-embed Categories","Catégories intégrées automatiquement"
"Auto-embed Products","Intégrer automatiquement les produits"
"Back","Précédent"
"Background","Arrière-plan"
"Blocked Input Patterns","Motifs d'entrée bloqués"
"Calls","Appels"
"Cancelled","Annulé"
"Categories (%s active)","Catégories (%s actif)"
"Complete","Complete"
"Completed","Terminé"
"Completion","Achèvement"
"Consumer","Consommateur"
"Context","Contexte"
"Current Configuration","Configuration actuelle"
"Default AI Provider","Default AI Provider"
"Default Placeholder Height","Hauteur du substitut par défaut"
"Default Placeholder Width","Largeur de marqueur par défaut"
"Disabled","Désactivé"
"e.g. http://localhost:11434","e.g. http://localhost:11434"
"e.g. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash","par exemple openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash"
"Embedding","Embedding"
"Embeddings","Intégrer"
"Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing.","Les intégrations sont désactivées. Activez-les dans le système &gt; AI &gt; Intégrez les paramètres avant de faire la file d'attente."
"Embed Provider","Fournisseur d'intégration"
"Embed Status","Statut d'intégration"
"Enable Async Queue","Activer la file d'attente Async"
"Enabled","Activé"
"Enable Embeddings","Activer les incorporations"
"Enable Image Generation","Activer la génération d'image"
"Error","Erreur"
"Error: ","Erreur: "
"Estimated completion: ~%d hours %d minutes.","Complétion estimée : ~%d heures %d minutes."
"Estimated completion: ~%d minutes.","Complétion estimée : ~%d minutes."
"Failed","Echoué"
"Failed to fetch models. See exception.log for details.","Impossible de récupérer les modèles. Voir exception.log pour plus de détails."
"Fetching...","Récupération en cours..."
"Flag responses containing email addresses, phone numbers, or SSNs.","Signaler les réponses contenant des adresses e-mail, des numéros de téléphone ou des SSNs."
"Google Embed Model","Intégrer le modèle Google"
"ID","ID"
"Image","Image"
"Image Generation","Génération de l'image"
"Image Provider","Fournisseur d'images"
"Input Tokens","Input Tokens"
"Interactive","Interactif"
"In Tokens","En jetons"
"Log Requests","Journaliser les demandes"
"Max seconds a task can run before being marked as failed.","Nombre de secondes maximum qu'une tâche peut être exécutée avant d'être marquée comme ayant échoué."
"Max Tasks Per Cron Run","Maximum de tâches par Cron Run"
"Messages","Messages"
"Mistral Embed Model","Modèle d'intégration Mistral"
"Model","Modélisation"
"Must be installed locally via `ollama pull`.","Doit être installé localement via `ollama pull`."
"No items were queued. Make sure products/categories have text content.","Aucun élément n'a été mis en attente. Assurez-vous que les produits/catégories ont du contenu texte."
"Ollama Embed Model","Modèle d'intégration d'Ollama"
"One regex per line. Matching inputs will be rejected.","Une expression régulière par ligne. Les entrées correspondantes seront rejetées."
"OpenAI-compatible endpoint, e.g. https://api.example.com/v1","Point de terminaison compatible OpenAI, par exemple https://api.example.com/v1"
"OpenAI Embed Model","Modèle d'intégration OpenAI"
"OpenAI Image Model","Modèle d'image OpenAI"
"Output Tokens","Jetons de sortie"
"Out Tokens","Jetons de sortie"
"Pending","En attente"
"Pending Embed Tasks","Tâches d'intégration en attente"
"PII Detection","Détection des PII"
"Placeholder URL Pattern","Schéma d'URL de l'espace réservé"
"Platform","Plateforme"
"Platform / Model","Plateforme / Modèle"
"Priority","Priorité"
"Processing","Traitement en cours"
"Products (%s enabled)","Produits (%s activé)"
"Prompt Injection Detection","Détection d'injection rapide"
"Queue","File d'attente"
"Queue an embedding task whenever a category is saved.","Mettre en file d'attente une tâche d'intégration chaque fois qu'une catégorie est enregistrée."
"Queue an embedding task whenever a product is saved.","Mettre en file d'attente une tâche d'intégration chaque fois qu'un produit est enregistré."
"Queue Cron Schedule","Planification Cron de la file d'attente"
"Queued","En file d'attente"
"Queue for Embedding","File d’attente pour l’intégration"
"Queue Status","Statut de la file d'attente"
"Refresh Models","Rafraîchir les modèles"
"Response","Réponse"
"Retries","Tentatives"
"Return a placeholder image URL when image generation is disabled or fails.","Renvoie une URL de l'image d'un espace réservé lorsque la génération d'image est désactivée ou échoue."
"Safety & Guardrails","Rails de sécurité et de garde"
"Sanitize HTML Output","Nettoyer la sortie HTML"
"Scan user inputs for prompt injection attempts before sending to AI.","Analyser les entrées de l'utilisateur pour les tentatives d'injection rapide avant d'envoyer à AI."
"Status","Statut"
"Store ID","ID du magasin"
"Strip dangerous tags/attributes from AI responses used as HTML.","Enlève les balises / attributs dangereux des réponses AI utilisées comme HTML."
"Target Dimensions","Target Dimensions"
"Task #%s","Tâche #%s"
"Task Details","Détails de la tâche"
"Task History","Historique de la tâche"
"Task not found.","Tâche introuvable."
"Task Timeout (seconds)","Délai d'attente de la tâche (secondes)"
"The async queue is disabled. Enable it under System &gt; AI &gt; Queue Settings or tasks will never be processed.","La file d'attente asynchrone est désactivée. Activez-la sous Système &gt; AI &gt; Paramètres de file d'attente ou les tâches ne seront jamais traitées."
"This queues %s products and %s categories (%s tasks total) for background processing.","Cette file d'attente des produits %s et %s catégories (%s au total) pour le traitement en arrière-plan."
"This will queue all selected items for embedding. Continue?","Ceci va mettre en file d'attente tous les éléments sélectionnés à intégrer. Continuer ?"
"Type","Type de texte"
"Usage","Usage"
"Use Placeholder Fallback","Utiliser la valeur de remplacement par défaut"
"Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}","Utilisez les jetons {w} et {h} pour la largeur/hauteur. Par exemple https://placehold.co/{w}x{h} ou https://picsum.photos/{w}/{h}"
"Vector size. 0 = model default. OpenAI and Google support native truncation; others are truncated after retrieval.","Taille vectorielle. 0 = modèle par défaut. OpenAI et Google prennent en charge la troncature native; les autres sont tronqués après la récupération."
"Vector with %d dimensions","Vecteur avec dimensions %d"
"View","Voir"
"Warning: %d embedding tasks are already pending. Running this again will add duplicate tasks.","Attention : %d tâches d'intégration sont déjà en attente. Exécuter ceci ajoutera des tâches en double."
"— save the API key to load available models —","— enregistrer la clé API pour charger les modèles disponibles —"
