"%s wants to connect to your store","%s veut se connecter à votre boutique"
"-- No Role --","-- Aucun rôle --"
"Access Token Lifetime","Durée de vie du jeton d'accès"
"Account Information","Informations sur le compte"
"Act as you until you revoke this application, or your admin account is disabled.","Agissez comme vous jusqu'à ce que vous révoquiez cette application, ou votre compte administrateur est désactivé."
"Active","Actif"
"Add New Role","Ajouter un nouveau rôle"
"Add New User","Ajouter un nouvel utilisateur"
"Admin GraphQL at /api/admin/graphql (requires admin auth)","Admin GraphQL à /api/admin/graphql (nécessite l'authentification de l'administrateur)"
"All","Tous"
"All API protocols are <strong>disabled by default</strong>. Enable only the ones you actually use, anything off returns 404 at the entry point.","Tous les protocoles API sont <strong>désactivés par défaut</strong>. Activez seulement ceux que vous utilisez réellement, tout ce que vous désactivez renvoie 404 au point d'entrée."
"Allow Applications to Register Themselves","Autoriser les applications à s'inscrire"
"API","API"
"API Cache","API Cache"
"API Key","Clé API"
"API Protocols","API Protocols"
"API Role","Rôle API"
"API user has been deleted.","L'utilisateur API a été supprimé."
"API user has been saved.","L'utilisateur API a été enregistré."
"API User Information","Informations utilisateur API"
"API user not found.","Utilisateur API introuvable."
"API v2 Roles","API v2 Roles"
"API v2 Users","Utilisateurs API v2"
"Application","Application"
"Approve","Approuver"
"Assign Role","Assigner un rôle"
"Authenticated via customer login (email + password). Each customer can only access their own data.","Authentifié par connexion client (email + mot de passe). Chaque client ne peut accéder qu'à ses propres données."
"Authorization Code Lifetime","Durée de vie du code d'autorisation"
"Authorization Server","Serveur d'autorisation"
"Authorize Application","Autoriser l'application"
"Cache TTL (seconds)","Cache TTL (secondes)"
"Can reach","Peut atteindre"
"Catalog, cart and order tools for %s","Catalogue, panier et outils de commande pour %s"
"Check to generate new client_id and client_secret. The old credentials will stop working.","Cochez cette case pour générer un nouveau client_id et client_secret. Les anciennes informations d'identification cesseront de fonctionner."
"Client Credentials","Identifiants du client"
"Client ID","ID du client"
"Client ID: %s","Identifiant client : %s"
"Client Secret","Secret du client"
"Client Secret: %s","Secret du client: %s"
"Comma-separated list of allowed origins. Defaults to store base URL if empty.","Liste séparée par des virgules des origines autorisées. Par défaut, l'URL de base est stockée si elle est vide."
"Connected Applications","Applications connectées"
"Contact Form","Formulaire de contact"
"CORS Allowed Origins","Origines autorisées CORS"
"Created","Créé"
"Custom","Personnalisé"
"Customer Session Operations","Opérations de session client"
"Delete API User","Supprimer l'utilisateur API"
"Delete Role","Supprimer le rôle"
"Deny","Refuser"
"Edit API User","Modifier l'utilisateur de l'API"
"Edit API User '%s'","Modifier l'utilisateur API '%s'"
"Edit Role","Modifier le rôle"
"Edit Role '%s'","Modifier le rôle '%s'"
"Email","Courriel"
"Exposes the REST v2 resource surface to AI agents at /api/mcp. Same bearer tokens and permissions as REST.","Expose la surface de ressource REST v2 aux agents AI à /api/mcp. Les mêmes jetons et les mêmes autorisations que REST."
"First Name","Prénom"
"Frontend/customer-facing GraphQL at /api/graphql","GraphQL frontal / client à /api/graphql"
"General Settings","Paramètres généraux"
"GraphQL, admin","GraphQL, admin"
"GraphQL, public","GraphQL, public"
"Hidden (stored hashed). Regenerate if needed.","Caché (haché stocké). Regénérer si nécessaire."
"How long API responses are cached. Default: 300 (5 minutes). Set to 0 to disable caching.","Durée de mise en cache des réponses de l'API. Par défaut: 300 (5 minutes). Mettre à 0 pour désactiver la mise en cache."
"ID","ID"
"If you approve, this application can:","Si vous validez, cette demande peut :"
"Inactive","Inactif"
"In seconds (default: 60). A code is used once, seconds after it is issued.","En secondes (par défaut: 60). Un code est utilisé une fois, secondes après son émission."
"In seconds (default: 3600 = 1 hour)","En secondes (par défaut: 3600 = 1 heure)"
"In seconds (default: 86400 = 24 hours)","En secondes (par défaut: 86400 = 24 heures)"
"JWT signing secret. Auto-generated (random) and stored encrypted on first use if left empty.","Secret de signature JWT. Généré automatiquement (aléatoire) et stocké chiffré à la première utilisation si laissé vide."
"Last Name","Nom de famille"
"Last Used","Dernière utilisation"
"Leave blank to keep the current key.","Laisser vide pour conserver la clé actuelle."
"Leave empty to allow access to all stores.","Laisser vide pour autoriser l'accès à toutes les boutiques."
"Legacy JSON-RPC","Ancien JSON-RPC"
"Legacy REST (Magento 1)","Ancien REST (Magento 1)"
"Legacy SOAP v1","Ancien SOAP v1"
"Legacy SOAP v2","Ancien SOAP v2"
"Legacy XML-RPC","Legacy XML-RPC"
"Lets an application connect with a browser login and your approval, instead of a token pasted by hand. Required by MCP clients such as Claude and ChatGPT. Off by default, like every other protocol.","Permet à une application de se connecter avec un identifiant de navigateur et votre approbation, au lieu d'un jeton collé à la main. Requis par les clients MCP tels que Claude et ChatGPT. Off par défaut, comme tous les autres protocoles."
"MCP (Model Context Protocol)","MCP (Protocole de contexte de modèle)"
"MCP Requires Authentication","MCP exige une authentification"
"Modern REST API at /api/rest/v2/*","API REST moderne à /api/rest/v2/*"
"New API Key","Nouvelle clé API"
"New API User","Nouvel utilisateur API"
"New Role","Nouveau rôle"
"No grantable permissions could be loaded. Run ""composer dump-autoload"" in the Maho root, then reload this page.","Aucune permission accordée n'a pu être chargée. Lancez « composer dump-autoload» dans la racine de Maho, puis rechargez cette page."
"No permissions needed, these are read-only public endpoints.","Aucune permission requise, ce sont des terminaux publics en lecture seule."
"OAuth2 Client Credentials","Identifiants du client OAuth2"
"OAuth2 client_id and client_secret will be generated when you save this user.","OAuth2 client_id et client_secret seront générés lorsque vous enregistrez cet utilisateur."
"OAuth2 Settings","Paramètres OAuth2"
"Off: an agent browses the public catalog tools without a token, and a client is challenged only when it reaches for a tool it may not use. On: /api/mcp challenges every unauthenticated caller. Turn it on if a client will not start the browser login on its own.","Désactivé: un agent navigue dans les outils du catalogue public sans jeton, et un client n'est défié que lorsqu'il atteint un outil qu'il peut ne pas utiliser. Activé : /api/mcp défie chaque appelant non authentifié. Activez-le si un client ne démarre pas la connexion du navigateur seul."
"Original Magento 1 JSON-RPC at /api/jsonrpc","Magento original 1 JSON-RPC à /api/jsonrpc"
"Original Magento 1 REST API at /api/rest/*","API REST Magento 1 originale à /api/rest/*"
"Original Magento 1 SOAP at /api/soap","SOAP Magento 1 original à /api/soap"
"Original Magento 1 SOAP v2 at /api/v2_soap","Magento original 1 SOAP v2 à /api/v2_soap"
"Original Magento 1 XML-RPC at /api/xmlrpc","Magento original 1 XML-RPC à /api/xmlrpc"
"Permissions","Permissions"
"Please select an application.","Veuillez sélectionner une application."
"Public Storefront Access","Accès à la vitrine publique"
"Read and change store data through the API, using your own admin permissions.","Lire et modifier les données de la boutique via l'API, en utilisant vos propres permissions d'administration."
"Refresh Token Lifetime","Rafraîchir la durée de vie du jeton"
"Regenerate Credentials","Régénérer les identifiants"
"Registered","Enregistré"
"Registration alone grants nothing: an admin must still log in and approve. Turning this off blocks most connector interfaces, which have no way to enter a client id by hand.","L'inscription seule ne donne rien : un administrateur doit toujours se connecter et approuver. Désactiver cela bloque la plupart des interfaces du connecteur, qui n'ont aucun moyen d'entrer un identifiant client à la main."
"Resource Access","Accès aux ressources"
"REST/GraphQL - Roles","REST/GraphQL - Rôles"
"REST/GraphQL - Users","REST/GraphQL - Utilisateurs"
"Restrict to Stores","Restreindre aux magasins"
"REST v2 (new)","REST v2 (nouveau)"
"Revoke Access","Révoquer l'accès"
"Revoke access for the selected applications?","Révoquer l'accès aux applications sélectionnées ?"
"Revoked %d grant(s). Access tokens already issued stop working when they expire.","A révoqué la(les) subvention(s) %d . Les jetons d'accès déjà délivrés ne fonctionnent plus lorsqu'ils expirent."
"Role","Rôle"
"Role has been deleted.","Le rôle a été supprimé."
"Role has been saved.","Le rôle a été enregistré."
"Role Info","Infos sur le rôle"
"Role Information","Informations sur le rôle"
"Role Name","Nom du rôle"
"Role name is required.","Le nom du rôle est requis."
"Save and Continue Edit","Enregistrer et continuer l'édition"
"Save API User","Enregistrer l'utilisateur de l'API"
"Save Role","Enregistrer le rôle"
"Save these credentials now. The secret cannot be retrieved later.","Enregistrez maintenant ces identifiants. Le secret ne peut pas être récupéré plus tard."
"Sends you back to","Vous envoie à"
"Service Account Permissions","Autorisations du compte de service"
"Status","Statut"
"Symfony App Secret","Secret de l'application Symfony"
"System","Système"
"The authorization could not be completed.","L'autorisation n'a pas pu être complétée."
"These operations use customer JWT tokens obtained when a customer logs in. They are scoped to the logged-in customer's own data and cannot be granted to service accounts.","Ces opérations utilisent les jetons JWT du client obtenus quand un client se connecte. Elles sont limitées aux propres données du client connecté et ne peuvent pas être accordées à des comptes de service."
"These permissions control what API users (service accounts) can do. Grant only the operations each integration needs.","Ces autorisations contrôlent ce que les utilisateurs de l'API (comptes de service) peuvent faire. Accorder uniquement les opérations dont chaque intégration a besoin."
"These resources are publicly readable without authentication. Any visitor or app can access this data via GET requests.","Ces ressources sont lisibles publiquement sans authentification. Tout visiteur ou application peut accéder à ces données via les requêtes GET."
"This API user no longer exists.","Cet utilisateur API n'existe plus."
"This application registered itself and has not been verified. Approve it only if you started this connection yourself.","Cette application s'est enregistrée et n'a pas été vérifiée. Approuvez la seulement si vous avez démarré cette connexion vous-même."
"This authorization request expired or is no longer valid. Start again from the application.","Cette demande d'autorisation a expiré ou n'est plus valide. Redémarrez à partir de l'application."
"This role no longer exists.","Ce rôle n'existe plus."
"Unnamed client","Client sans nom"
"User Info","Informations sur l'utilisateur"
"Username","Nom d'utilisateur"
"User Role","Rôle de l'utilisateur"
"Verified","Vérifié"
"You denied the connection.","Vous avez refusé la connexion."
"Your admin role may not approve API connections.","Votre rôle d'administrateur peut ne pas approuver les connexions API."
