"(not processed yet)","(pas encore traité)"
"0 disables the limit.","0 désactive la limite."
"<strong>Enabling this alone does not display the button.</strong> The law requires the revocation button to stay permanently visible during the withdrawal period, but only your theme knows where that is. After enabling, you must place the <strong>Revocation Button</strong> widget in a block shown on every storefront page (typically the footer). Until you do, the form exists at <em>/revocation</em> but nothing links to it.","<strong>Enabling this alone does not display the button.</strong> The law requires the revocation button to stay permanently visible during the withdrawal period, but only your theme knows where that is. After enabling, you must place the <strong>Revocation Button</strong> widget in a block shown on every storefront page (typically the footer). Until you do, the form exists at <em>/revocation</em> but nothing links to it."
"Abuse Protection","Protection contre les abus"
"Accepted","Accepté"
"Accepting or rejecting only records the decision and adds a note to this order. The order status, state, and any refund are left unchanged.","L'acceptation ou le rejet n'enregistre que la décision et ajoute une note à cette commande. Le statut, l'état de la commande et tout remboursement sont laissés inchangés."
"Accept Revocation","Accepter la révocation"
"Accept this revocation? This records the decision and adds a note to the matched order. No order status or refund changes automatically.","Accepter cette révocation ? Cela enregistre la décision et ajoute une note à la commande correspondante. Aucun statut de commande ou remboursement ne change automatiquement."
"A confirmation email is on its way to you.","Un email de confirmation est en route vers vous."
"Adds an invisible trap field. Submissions that fill it are silently dropped as bot traffic.","Ajoute un champ de piège invisible. Les soumissions qui le remplissent sont abandonnées silencieusement en tant que trafic de bot."
"Back","Précédent"
"Button Label","Libellé du bouton"
"Cooling-Off Period (Days)","Période de refroidissement (Days)"
"create a credit memo","créer un avoir"
"CSV","CSV"
"Customer Name","Nom du client"
"Customer Receipt Template","Modèle de reçu du client"
"Customer submitted revocation request #%s via their account.","Le client a envoyé une demande de révocation n°%s via son compte."
"Custom Label","Étiquette personnalisée"
"Declaration (read-only legal record)","Déclaration (enregistrement légal en lecture seule)"
"Email","Courriel"
"Email Sender","Expéditeur d'email"
"Email Settings","Paramètres de messagerie"
"Email Suppressed","E-mail Supprimé"
"Enabled","Activé"
"EU Directive 2023/2673 (in Germany: &sect;356a BGB) requires B2C shops selling into the EU to provide a revocation button from 19 June 2026. This module provides that channel.","Directive européenne 2023/2673 (en Allemagne: &sect;356a BGB) exige que les magasins B2C qui vendent dans l'UE fournissent un bouton de révocation à partir du 19 juin 2026. Ce module fournit ce canal."
