"-- Please Select --","-- Veuillez sélectionner --"
"Account Created In Store","Compte créé dans la boutique"
"Action","Action"
"Active","Actif"
"Added to Cart Date","Ajouté à la date du panier"
"Added to Wishlist Date","Ajouté à la date de la liste de souhaits"
"Add Email Step","Ajouter une étape de courriel"
"Add New Segment","Ajouter un nouveau segment"
"Address","Adresses"
"Address Information","Information d'adresse"
"Add Segment","Ajouter un segment"
"Allow Overlapping Sequences","Autoriser les séquences de chevauchement"
"Allow starting new sequences while existing ones are still active for the same customer","Autoriser le démarrage de nouvelles séquences alors que les séquences existantes sont toujours actives pour le même client"
"Applied Promotion Rules","Règles de Promotion Appliquées"
"Are you sure?","Êtes-vous sûr(e) ?"
"Are you sure you want to delete this sequence step?","Êtes-vous sûr de vouloir supprimer cette étape de séquence ?"
"Are you sure you want to refresh this segment?","Êtes-vous sûr de vouloir actualiser ce segment ?"
"Assign to Website","Assigner au site Web"
"At least one email sequence is required when automation is enabled.","Au moins une séquence d'email est requise lorsque l'automatisation est activée."
"Automatic","Automatique"
"Automatic: Refreshed daily via cron. Manual: Must be refreshed manually.","Automatique : Rafraîchissement quotidien via cron. Manuel: Doit être actualisé manuellement."
"Average Days Between Orders","Moyenne de jours entre les commandes"
"Average Order Value","Valeur moyenne de la commande"
"Back to Segment","Retour au segment"
"Base Row Total","Total de ligne de base"
"Base Sales Rule","Règle de vente de base"
"Bundle Product","Produit groupé"
"Cart","Panier"
"Cart Created Date","Date de création du panier"
"Cart Items","Articles du panier"
"Cart Status","Statut du panier"
"Cart Updated Date","Date de mise à jour du panier"
"Change status","Changer le statut"
"Completed","Terminé"
"Conditions (leave blank for all customers)","Conditions (laisser vide pour tous les clients)"
"Configurable Product","Produit configurable"
"Coupon expiration days","Jours d'expiration du coupon"
"Coupon expiration days cannot be negative.","Les jours d'expiration du coupon ne peuvent pas être négatifs."
"Coupon Generation Settings","Paramètres de génération de bons de réduction"
"Coupon Prefix","Préfixe du coupon"
"Customer","Client"
"Customer ID is required.","L'ID du client est requis."
"Customer Lifetime Value","Valeur à vie du client"
"Customer Personal Information","Informations personnelles du client"
"Customer Segment","Segment client"
"Customer Since","Client depuis"
