"-- None --","-- Aucun --"
"Adds aggregateRating (rating value and review count) and individual review nodes (reviewer name and review text) to the product schema when reviews are enabled.","Ajoute une notation agrégée (valeur de notation et nombre de revues) et des nœuds de révision individuels (nom du réviseur et texte de revue) au schéma de produit lorsque les avis sont activés."
"Brand Attribute","Attribut de la marque"
"Enable Structured Data","Activer les données structurées"
"GTIN Attribute","Attribut GTIN"
"Include Ratings & Reviews","Inclure les évaluations et les avis"
"Local Business","Entreprise locale"
"MPN Attribute","Attribut MPN"
"Online Store","Boutique en ligne"
"Organization","Organisation"
"Organization Type","Type d'organisation"
"Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>.","Outputs <strong>JSON-LD structured data</strong> following schema.org and Google's requirements, enabling rich results for products, breadcrumbs, organization info and site search. Validate your pages with the <a href=""https://search.google.com/test/rich-results"" target=""_blank"">Google Rich Results Test</a>."
"Product attribute holding the Global Trade Item Number (UPC/EAN/ISBN).","Attribut produit contenant le numéro d'article de commerce mondial (UPC/EAN/ISBN)."
"Product attribute holding the Manufacturer Part Number.","Attribut de produit contenant le numéro de pièce du fabricant."
"Product attribute used for the schema.org ""brand"" property.","Attribut de produit utilisé pour la propriété schema.org ""brand""."
"Product Schema","Schéma de produit"
"Structured Data (schema.org)","Données structurées (schema.org)"
