"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","Les règles de prix catalogue %d basées sur l'attribut «%s» ont été désactivées."
"-- All Active Rules --","-- Toutes les règles actives --"
"86400 by default, if not set. Rule prices change with the daily catalog rule reindex.","86400 par défaut, si non défini. Les prix de la règle changent avec la règle de catalogue journalière."
"Actions","Actions"
"Active","Actif"
"Add New Rule","Ajouter une nouvelle règle"
"An error occurred while deleting the rule. Please review the log and try again.","Une erreur s'est produite lors de la suppression de la règle. Veuillez vérifier le journal et réessayer."
"An error occurred while saving the rule data. Please review the log and try again.","Une erreur s'est produite lors de l'enregistrement des données de la règle. Veuillez vérifier le journal et réessayer."
"Apply","Appliquer"
"Apply Rules","Appliquer les règles"
"Attribute Set","Ensemble d'Attributs"
"Best Selling","Meilleures ventes"
"Biggest Discount","La plus grande réduction"
"By Fixed Amount","Par montant fixe"
"By Percentage of the Original Price","Par pourcentage du prix initial"
"Catalog","Catalogue"
"Catalog On Sale Products","Catalogue des produits en vente"
"Catalog Price Rule","Règle de prix catalogue"
"Catalog Price Rules","Règles de prix catalogue"
"Category","Catégorie"
"Conditions","Condition"
"Conditions (leave blank for all products)","Conditions (laisser vide pour tous les produits)"
"Conditions Combination","Combinaison des conditions"
"Customer Groups","Groupes de clients"
"Date Expire","Date d'expiration"
"Date From","Date de début"
"Date Start","Date de début"
"Date To","Date de fin"
"Description","Libellé"
"Discount Amount","Montant de la remise"
"Edit Rule","Modifier la règle"
"Edit Rule '%s'","Modifier la règle «%s»"
"Enable Discount to Subproducts","Activer la remise aux sous-produits"
"Expiration Date","Date d'expiration"
"From Date","À partir de la date"
"General Information","Informations générales"
"ID","ID"
"Inactive","Inactif"
"List of Products with an active Catalog Price Rule discount","Liste des produits avec une réduction active de la règle de prix catalogue"
"Newest","Plus récent"
"New Rule","Nouvelle règle"
"No","Non"
"Only In-Stock Products","Seulement les produits en stock"
"On Sale","En Vente"
"On Sale Images and Names Template","Modèle d'images et de noms en vente"
"On Sale Images Only Template","Modèle d'images en soldes uniquement"
"On Sale Names Only Template","Modèle de noms en soldes uniquement"
"On Sale Products Grid Template","Modèle de grille de produits en vente"
"On Sale Products List Template","Modèle de liste de produits en vente"
"Options","Options"
"Order Products By","Commander des produits par"
"Priority","Priorité"
"Product Attribute","Attribut produit"
"Promotions","Promotions"
"Random","Aléatoire"
"Restrict to a single rule (e.g. ""Offer of the month""). Leave empty for all active rules.","Restreindre à une règle unique (par exemple ""Offre du mois""). Laisser vide pour toutes les règles actives."
"Rule Information","Informations sur la règle"
"Rule Name","Nom de la règle"
"Save and Apply","Enregistrer et appliquer"
"Save and Continue Edit","Enregistrer et continuer l'édition"
"Start Date","Date de début"
"Status","Statut"
"Stop Further Rules Processing","Arrêter le traitement des règles supplémentaires"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Il y a des règles qui ont été modifiées mais qui n'ont pas été appliquées. Veuillez cliquer sur Appliquer les règles pour voir l'effet immédiat dans le catalogue."
"The rule has been deleted.","La règle a été supprimée."
"The rule has been saved.","La règle a été enregistrée."
"The rules have been applied.","Les règles ont été appliquées."
"This rule no longer exists.","Cette règle n'existe plus."
"To Date","À ce jour"
"To Fixed Amount","Au montant fixe"
"To Percentage of the Original Price","Pourcentage du prix initial"
"Type","Type de texte"
"Unable to apply rules.","Impossible d'appliquer les règles."
"Unable to find a rule to delete.","Impossible de trouver une règle à supprimer."
"Update Prices Using the Following Information","Mettre à jour les prix en utilisant les informations suivantes"
"Update product's %s %s: %s","Mise à jour du produit %s %s: %s"
"Website","Site Web"
"Websites","Sites web"
"Wrong rule specified","Mauvaise règle spécifiée"
"Wrong rule specified.","Mauvaise règle spécifiée."
"Yes","Oui"
