"-- Please Select --","-- Veuillez sélectionner --"
"0 = never expires. Can be overridden per product.","0 = n'expire jamais. Peut être substitué par produit."
"Action","Action"
"Active","Actif"
"Add a message...","Ajouter un message..."
"Add New Gift Card","Ajouter une nouvelle carte-cadeau"
"Admin Comment","Commentaire de l'administrateur"
"Allow Gift Message","Autoriser le message cadeau"
"Allow Message","Autoriser le message"
"All Websites","Tous les sites Web"
"Amount","Montant"
"Amount Range","Plage de montant"
"An error occurred. Please try again.","Une erreur est survenue. Veuillez réessayer."
"Applied Gift Cards:","Cartes Cadeaux Appliquées:"
"Apply","Appliquer"
"Apply Gift Card","Appliquer une carte-cadeau"
"Applying...","Application en cours..."
"Balance","Solde"
"Balance: %s","Solde : %s"
"Balance After","Solde après"
"Balance Before","Solde avant"
"Can be overridden per product.","Peut être substitué par produit."
"Cannot apply gift card.","Impossible d'appliquer la carte-cadeau."
"Cannot remove gift card.","Impossible de supprimer la carte-cadeau."
"Card Type","Type de carte"
"Check","Contrôler"
"Check Balance","Vérifier le solde"
"Checking...","Vérification..."
"Code","Code"
"Code Length","Longueur du code"
"Code Prefix (e.g., GC)","Préfixe de code (par exemple, GC)"
"Comma-separated values (e.g., 25,50,100)","Valeurs séparées par des virgules (par exemple, 25,50,100)"
"Created","Créé"
"Created %d gift card product(s): %s","Created %d gift card product(s): %s"
"Created At","Créé le"
"Create Gift Card Products","Créer des produits de carte-cadeau"
"Current Balance","Solde actuel"
"Custom Amount","Montant personnalisé"
"Date","Date"
"Default: %s","Par défaut: %s"
"Default Expiry (days)","Expiration par défaut (jours)"
"Delete","Supprimez"
"Delete Gift Card","Supprimer la carte-cadeau"
"Disabled","Désactivé"
"Edit","Editer"
"Edit Gift Card '%s'","Modifier la carte-cadeau '%s'"
"Edit this to manually adjust the balance. Use ""Admin Comment"" to explain the adjustment.","Modifiez ceci pour ajuster manuellement le solde. Utilisez ""Commentaire d'administrateur"" pour expliquer l'ajustement."
"Email Sender","Expéditeur d'email"
"Email Settings","Paramètres de messagerie"
"Email Template","Modèle d'email"
"Enable Gift Cards","Activer les cartes-cadeaux"
"Enter gift card code","Entrez le code de la carte cadeau"
"Error generating gift card PDF: %s","Erreur lors de la génération du PDF de la carte-cadeau : %s"
"Expired","Expiré"
"Expires","Expire"
"Expires At","Expire à"
"Fixed + Range","Plage + Fixe"
"Fixed Amount(s)","Montant(s) Fixe"
"Fixed Amounts","Montants fixes"
"From","A partir de"
"From:","De :"
"Gift Card","Carte-cadeau"
"Gift card ""%s"" has been fully used.","La carte-cadeau «%s» a été entièrement utilisée."
"Gift card ""%s"" has expired.","La carte-cadeau «%s» a expiré."
"Gift card ""%s"" is already applied.","La carte-cadeau «%s» est déjà appliquée."
"Gift card ""%s"" is not active.","La carte-cadeau «%s» n'est pas active."
"Gift card ""%s"" is not valid.","La carte-cadeau «%s» n'est pas valide."
"Gift card ""%s"" is not valid for this website.","La carte-cadeau «%s» n'est pas valide pour ce site Web."
"Gift card ""%s"" was applied.","La carte-cadeau «%s» a été appliquée."
"Gift card amount cannot be less than %s","Le montant de la carte cadeau ne peut pas être inférieur à %s"
"Gift card amount cannot be more than %s","Le montant de la carte cadeau ne peut pas être supérieur à %s"
"Gift Card Code","Code de la carte-cadeau"
"Gift Card History","Historique des cartes-cadeaux"
"Gift Card Information","Informations sur la carte cadeau"
"Gift card not found.","Carte cadeau non trouvée."
"Gift Card Notification Email","E-mail de notification de carte-cadeau"
"Gift Card Options","Options de carte-cadeau"
"Gift card products cannot be added when a gift card code is applied. Please remove the gift card code first.","Les produits de carte-cadeau ne peuvent pas être ajoutés quand un code de carte-cadeau est appliqué. Veuillez d'abord retirer le code de la carte-cadeau."
"Gift Cards","Cartes Cadeaux"
"Gift cards cannot be used to purchase gift card products.","Les cartes-cadeaux ne peuvent pas être utilisées pour acheter des produits de carte-cadeau."
