"Average Duration","Durée moyenne"
"Average Pages","Pages Moyennes"
"Bounce Rate","Taux de rebond"
"Browsers","Browsers"
"Devices","Appareils"
"Devices & Browsers","Appareils et navigateurs"
"Direct / No referrer","Direct / Aucun référant"
"Enable Log","Activer le journal"
"Enable Log Cleaning","Activer le nettoyage des logs"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Error Email Sender"
"Error Email Template","Gabarit d'email d'erreur"
"Exit Pages","Quitter les pages"
"Exits","Quitter"
"Frequency","Fréquence"
"Landing Pages","Pages d'accueil"
"Log","Logs"
"Log cleanup Warnings","Avertissements de nettoyage des logs"
"Logged in","Connecté"
"Login Conversion","Conversion de connexion"
"New vs Returning","Nouveau vs retour"
"No data","Aucune donnée"
"No language data available","Aucune donnée de langue disponible"
"No page view data available","Aucune donnée de vue de page disponible"
"No traffic source data available","Aucune donnée de la source de trafic disponible"
"of visitors logged in","des visiteurs connectés"
"Online","En ligne"
"Page","Page"
"Returning","Retour en cours"
"Save Log, Days","Enregistrer le journal, jours"
"Session Metrics","Métriques de session"
"Sessions","Sessions"
"Start Time","Heure de début"
"Today","Aujourd'hui"
"Top Pages","Pages principales"
"Total visitors","Nombre total de visiteurs"
"Traffic Sources","Sources de trafic"
"Views","Vues"
"Visitors","Visiteurs"
"Visitors only","Visiteurs seulement"
"Visits","Visites"
"Week","Semaine"
