"Add","Ajouter"
"Add gift message for shopping cart","Add gift message for shopping cart"
"Add gift messages for quote item of shopping cart","Add gift messages for quote item of shopping cart"
"Add gift messages to products of shopping cart","Add gift messages to products of shopping cart"
"Add gift options.","Add gift options."
"Add gift options for Individual Items","Add gift options for Individual Items"
"Add gift options for the Entire Order","Add gift options for the Entire Order"
"Allow Gift Messages for Order Items","Autoriser les messages cadeau pour chaque article"
"Allow Gift Messages on Order Level","Autoriser les messages cadeau au niveau de la commande"
"An error occurred while saving the gift message.","An error occurred while saving the gift message."
"Are you sure?","Êtes-vous sûr(e) ?"
"Cancel","Annuler"
"Do you have any gift items in your order?","Y a-t-il des articles cadeaux dans votre commande ?"
"Edit","Editer"
"From","Depuis"
"Gift Message","Message du cadeau"
"Gift Message API","Gift Message API"
"Gift Options","Options cadeau"
"Gift Options for Individual Items","Options cadeau pour les articles individuels"
"Gift Options for the Entire Order.","Gift Options for the Entire Order."
"Item %d of %d","Item %d of %d"
"Message","Message"
"No","Non"
"Save Gift Message","Sauvegarder le message cadeau"
"The gift message has been saved.","The gift message has been saved."
"To","À"
"Unknown entity type","Type d'entité inconnu"
"Use config","Utiliser la config"
"Yes","Oui"
"You can leave this box blank if you do not wish to add a gift message for the item.","You can leave this box blank if you do not wish to add a gift message for the item."
"You can leave this box blank if you do not wish to add a gift message for whole order.","You can leave this box blank if you do not wish to add a gift message for whole order."
