"%s and greater","%s et plus"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d élément(s)</strong> ont été trouvés en utilisant les critères de recherche suivants"
"Advanced Search","Recherche avancée"
"Advanced Search Form","Formulaire de recherche avancée"
"Advanced Search Result","Résultat de la recherche avancée"
"All","Tous"
"Applies for ""Like"" search type only.","S'applique uniquement au type de recherche ""J'aime""."
"Apply Layered Navigation if Search Results are Less Than","Appliquer la navigation par filtres si les résultats de recherche sont inférieurs à"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Changement des paramètres d'attributs liés à l'index de recherche. Veuillez exécuter le processus <a href=""%s"">Reconstruire l'index de recherche</a>."
"Autogenerated Site Map","Carte du site générée automatiquement"
"Boost SKU Matches in Search Results","Boost des correspondances SKU dans les résultats de recherche"
"Catalog Advanced Search","Recherche avancée du catalogue"
"Catalog Search","Recherche dans le catalogue"
"Catalog Search Index","Index de recherche catalogue"
"Categories","Catégories"
"Don't see what you're looking for?","Vous ne voyez pas ce que vous cherchez ?"
"Enable Category Search in Autosuggest","Activer la recherche de catégorie dans la suggestion automatique"
"Enter ""0"" to enable layered navigation for any number of results.","Entrez ""0"" pour activer la navigation par calque pour n'importe quel nombre de résultats."
"Fulltext Separator","Fulltext Separator"
"Go to Home Page","Aller à la page d'accueil"
"Grid","Grille"
"Home","Domicile"
"List","Liste"
"Maximum Categories in Autosuggest","Catégories maximales dans la suggestion automatique"
"Maximum Query Length","Longueur maximale de la requête"
"Maximum Query Words Count","Nombre maximum de mots de requête"
"Maximum Search query length is %s. Your query was cut.","La longueur maximale de la requête de recherche est %s. Votre requête a été coupée."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Le nombre maximum de mots est %1$s. Dans votre requête de recherche a été coupée la partie suivante : %2$s."
"Minimal Query Length","Longueur minimale de la requête"
"Minimum Search query length is %s","La longueur minimale de la requête de recherche est %s"
"Modify your search","Modifier votre recherche"
"No","Non"
"No items were found using the following search criteria.","Aucun élément n'a été trouvé en utilisant les critères de recherche suivants."
"Please specify at least one search term.","Veuillez spécifier au moins un terme de recherche."
"Popular Search Terms","Termes de recherche populaires"
"Products","Produits"
"Quick Search Form","Formulaire de recherche rapide"
"Rebuild Catalog product fulltext search index","Reconstruire l'index de recherche plein texte du produit du catalogue"
"Redirect to product page if search generates one result","Rediriger vers la page produit si la recherche génère un résultat"
"Relevance","Pertinence"
"Results","Résultats"
"Search","Chercher"
"Search:","Recherche:"
"Search entire store here...","Rechercher dans toute la boutique ici..."
"Search results for '%s'","Résultats de la recherche pour '%s'"
"Search results for: '%s'","Résultats de la recherche pour : «%s»"
"Search Settings","Paramètres de recherche"
"Search Terms","Termes de recherche"
"Search Type","Type de recherche"
"Show Autocomplete Results Count","Afficher le nombre de résultats de saisie automatique"
"Specified date is invalid.","La date spécifiée n'est pas valide."
"Subscribe to Feed","S'abonner au flux"
"up to %s","jusqu'à %s"
"View all %s results","Voir tous les résultats %s"
"When enabled and SKU is searchable, products matching by SKU are boosted to the top of search results.","Lorsque cette option est activée et que l'UGS est interrogeable, les produits correspondants par l'UGS sont augmentés en haut des résultats de recherche."
"Yes","Oui"
"Your search returns no results.","Votre recherche ne renvoie aucun résultat."
