"%d product(s) were updated","%d product(s) were updated"
"%s (Default Template from Locale)","%s (Modèle par défaut à partir de la région)"
"%s cache type(s) disabled.","Type de cache %s désactivé."
"%s cache type(s) enabled.","Type de cache %s activé."
"%s cache type(s) refreshed.","%s type(s) de cache actualisé."
"(%s/%s/%s)","(%s/%s/%s)"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Pour le type ""Serveur local"" doit utiliser le chemin relatif vers l'installation de Magento var/export ou var/import, par exemple var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Pour les noms d'état américains de 2 lettres)"
"(If left empty will be auto-generated)","(Si laissé vide sera généré automatiquement)"
"(Leave empty for first spreadsheet)","(Laisser vide pour la première feuille de calcul)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Les produits seront ajoutés/mis à jour à cette boutique si la colonne 'boutique' est vide ou manquante dans le fichier d'importation.)"
"(Starting with)","(Commencer par )"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quand 'Non', seuls les champs mappés seront importés. Lors du mappage, utilisez 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Vous devez augmenter la valeur de PHP memory_limit avant de modifier cette valeur)"
"(\\t for tab)","(\\t pour onglet)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Si l'indexation est en cours, elle sera détruite et un nouveau processus d'indexation démarrera."
"* Required Fields","* Champs obligatoires"
"-- Not Selected --","-- Non sélectionné --"
"-- Please Select --","-- Veuillez sélectionner --"
"-- Please select --","-- Veuillez sélectionner --"
"--Please Select--","--Veuillez choisir--"
"-- Please Select a Category --","-- Veuillez sélectionner une catégorie --"
"-- Please Select Billing Agreement--","-- Veuillez sélectionner l'entente de facturation --"
"1 Hour","1 heure"
"2 Hours","2 Heures"
"2FA verification code:","Code de vérification 2FA:"
"2FA verification code is invalid.","Le code de vérification 2FA est invalide."
"2YTD","2YTD"
"6 Hours","6 Heures"
"12 Hours","12 Heures"
"12h AM/PM","12h AM/PM"
"24 Hours","24 Heures"
"24h","24h"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Erreur</h1><p>Page non trouvée.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> demande l'accès à votre compte"
"Abandoned Carts","Paniers abandonnés"
"Access Denied","Accès refusé"
"Access denied","Accès refusé"
"Access denied.","Accès refusé."
"Account Created in:","Compte créé dans:"
"Account Created on (%s):","Compte créé sur (%s ) :"
"Account Created on:","Compte créé le :"
"Account Information","Informations sur le compte"
"Account Status","Statut du compte"
"Account status","État du compte"
"Action","Action"
"Actions","Actions"
"Actions XML","XML des actions"
"Active","Actif"
"Add","Ajouter"
"Add after","Ajouter après"
"Add Exception","Ajouter une exception"
"Add Field Mapping","Ajouter un mapping de champ"
"Add Field with URL:","Ajouter un champ avec une URL :"
"Additional Cache Management","Gestion supplémentaire du cache"
"Add New","Ajouter un nouveau"
"Add New Block","Ajouter un nouveau bloc"
"Add New Image","Ajouter une nouvelle image"
"Add New Profile","Ajouter un nouveau profil"
"Add New Role","Ajouter un nouveau rôle"
"Add New Template","Ajouter un nouveau modèle"
"Add New URL Rewrite","Ajouter une nouvelle réécriture d'URL"
"Add New User","Ajouter un nouvel utilisateur"
"Add New Variable","Ajouter une nouvelle variable"
"Add new variable","Ajouter une nouvelle variable"
"Add Products","Ajouter des produits"
"Address Type:","Type d'adresse:"
"Add URL Rewrite","Ajouter une réécriture d'URL"
"Add URL Rewrite for a Category","Ajouter une réécriture d'URL pour une catégorie"
"Add URL Rewrite for a Product","Ajouter une réécriture d'URL pour un produit"
"Admin","Administrateur"
"Advanced Profiles","Profils avancés"
"After authorization application will have access to you account.","Une fois que l'application d'autorisation aura accès à votre compte."
"Alert","Alerte"
"All","Tous"
"All Allowed Countries","Tous les pays autorisés"
"All Cache","Toutes les caches"
"All countries","Tous les pays"
"All fields","Tous les champs"
"Allowed","Autorisé"
