"%d country(s) were skipped because they no longer exist.","%d country(s) were skipped because they no longer exist."
"%d region(s) were skipped because they have existing region names.","%d region(s) were skipped because they have existing region names."
"-- Please select --","-- Veuillez sélectionner --"
"A country with this ID already exists.","Un pays avec cet ID existe déjà."
"Add New Country","Ajouter un nouveau pays"
"Add New Region","Ajouter une nouvelle région"
"Add Translation","Ajouter une traduction"
"Allowed Currencies","Devises autorisées"
"An invalid base currency has been entered.","Une devise de base invalide a été saisie."
"API Access Key","Clé d'accès API"
"API Key","Clé API"
"A region name for this locale and region combination already exists.","Un nom de région pour cette combinaison de locale et de région existe déjà."
"A region with code ""%s"" already exists in this country.","Une région avec le code «%s» existe déjà dans ce pays."
"Are you sure you want to delete the selected countries?","Êtes-vous sûr de vouloir supprimer les pays sélectionnés ?"
"Are you sure you want to delete the selected region names?","Êtes-vous sûr de vouloir supprimer les noms de région sélectionnés ?"
"Are you sure you want to delete the selected regions?","Êtes-vous sûr de vouloir supprimer les régions sélectionnées ?"
"Are you sure you want to delete this country?","Êtes-vous sûr de vouloir supprimer ce pays ?"
"Are you sure you want to delete this region?","Êtes-vous sûr de vouloir supprimer cette région ?"
"Base Currency","Devise de base"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","La devise de base est utilisée pour toutes les transactions de paiement en ligne. Le champ d'application est défini par la portée du prix du catalogue (""Catalogne"" > ""Prix"" > ""Portée des prix catalogue"")."
"Cannot delete region with existing region names. Please delete all region names first.","Impossible de supprimer une région avec des noms de région existants. Veuillez d'abord supprimer tous les noms de région."
"Close","Fermer"
"Connection Timeout in Seconds","Délai de connexion en secondes"
"Continue &raquo;","Poursuivre &raquo;"
"Countries","Pays"
"Country","Pays"
"Country and Format Type combination should be unique","La combinaison Pays et Format Type doit être unique"
"Country API","API de pays"
"Country ID","ID du pays"
"Country ID cannot be changed after creation","L'ID du pays ne peut pas être modifié après la création"
"Country ID is required.","L'ID du pays est requis."
"Country ID must be exactly 2 uppercase letters.","L'ID du pays doit être exactement 2 lettres majuscules."
"Country Information","Informations sur le pays"
"Country is required.","Le pays est requis."
"Country Name","Nom du pays"
"Currency","Devise"
"CurrencyConverterAPI","ConvertisseurDevise"
"Currency Options","Options de la devise"
"Currency rates can't be retrieved.","Les taux de change ne peuvent pas être récupérés."
"Currency rate service error: %s","Erreur de service de taux de change : %s"
"Currency Setup","Configuration de la devise"
"Currency Update Warnings","Avertissements de mise à jour des devises"
"Default: only add new locales","Par défaut : ajouter uniquement de nouvelles locales"
"Default Display Currency","Devise d'affichage par défaut"
"Default Name","Nom par défaut"
"Default name cannot be longer than 255 characters.","Le nom par défaut ne peut pas contenir plus de 255 caractères."
"Default name for this region in English","Nom par défaut pour cette région en Français"
"Default name is required.","Le nom par défaut est requis."
"Delete Country","Supprimer le pays"
"Delete Region","Supprimer la région"
"Directory","Répertoire"
"Directory Management","Gestion des répertoires"
"Display not required State","Afficher l'état non requis"
"Edit Country","Modifier le pays"
"Edit Country ""%s""","Modifier le pays ""%s"""
"Edit Region","Modifier la région"
"Edit Region ""%s""","Modifier la région ""%s"""
"Enabled","Activé"
"Error:","Erreur:"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Error Email Sender"
"Error Email Template","Gabarit d'email d'erreur"
"FATAL ERROR:","ERREUR FATALE:"
"Frequency","Fréquence"
"Hold Ctrl/Cmd to select multiple countries","Maintenez Ctrl/Cmd enfoncé pour sélectionner plusieurs pays"
"Hold Ctrl/Cmd to select multiple locales","Maintenir Ctrl/Cmd pour sélectionner plusieurs locales"
"Import","Importation"
"Import completed successfully.","Importation terminée avec succès."
"Import Regions","Importer des régions"
"Import Results","Résultats de l'importation"
"Installed Currencies","Devises installées"
"Invalid country code: %s","Code de pays invalide : %s"
"Invalid Import Service specified.","Service d'importation spécifié invalide."
"Invalid rates received","Tarifs reçus non valides"
"Invalid target currency.","Monnaie cible invalide."
"ISO2 Code","ISO2 Code"
"ISO2 code is required.","Le code ISO2 est requis."
"ISO2 code must be exactly 2 uppercase letters.","Le code ISO2 doit être exactement 2 lettres majuscules."
"ISO3 Code","ISO3 Code"
"ISO3 code is required.","Le code ISO3 est requis."
"ISO3 code must be exactly 3 uppercase letters.","Le code ISO3 doit être exactement 3 lettres majuscules."
"List of countries","Liste des pays"
"List of regions in specified country","Liste des régions du pays spécifié"
"Locale and region name are required.","Le nom de la région et de la région sont requis."
"Locale is required.","La locale est requise."
"Locales","Locales"
"Localized Name","Nom localisé"
"Localized name for this region","Nom localisé pour cette région"
"Manage Countries","Gérer les pays"
"Manage Directory","Gérer le répertoire"
"Manage Regions","Gérer les régions"
"Manage Translations","Gérer les traductions"
"New Country","Nouveau pays"
"New Region","Nouvelle région"
"No API Key was specified or an invalid API Key was specified.","Aucune clé API n'a été spécifiée ou une clé API invalide a été spécifiée."
"One or more invalid symbols have been specified.","Un ou plusieurs symboles invalides ont été spécifiés."
"Please select at least one country.","Veuillez sélectionner au moins un pays."
"Please select at least one locale.","Veuillez sélectionner au moins une locale."
"Please select country(s).","Veuillez sélectionner un ou plusieurs pays."
"Please select region(s).","Veuillez sélectionner la(les) région(s)."
"Please select region name(s).","Veuillez sélectionner le(s) nom(s) de la région."
"Popular","Populaire"
"Postal Code is Optional for the following countries","Le code postal est facultatif pour les pays suivants"
"Preview changes without importing (Dry Run)","Aperçu des modifications sans importer (Dry Run)"
"Region","Région"
"Region API","API de région"
"Region Code","Code de Région"
"Region code cannot be longer than 32 characters.","Le code de région ne peut pas contenir plus de 32 caractères."
"Region ID","ID de la région"
"Region Information","Informations sur la région"
"Region name cannot be longer than 255 characters.","Le nom de la région ne peut pas contenir plus de 255 caractères."
"Region name is required.","Le nom de la région est requis."
"Regions","Régions"
"Running...","En cours..."
"Running import...","Exécution de l'importation..."
"Save Country","Enregistrer le pays"
"Save Region","Enregistrer la région"
"Scheduled Import Settings","Paramètres d'importation programmée"
"Selected country does not exist.","Le pays sélectionné n'existe pas."
"Service","Service"
"Short code for this region (e.g. CA, NY, TX)","Code court pour cette région (ex. : CA, NY, TX)"
"Shows what would be imported without making actual changes","Montre ce qui serait importé sans apporter de modifications réelles"
"Start Time","Heure de début"
"State/Province","État/Province"
"State is required for","L'état est requis pour"
"States Options","Options des états"
"System","Système"
"The ""%s"" is not allowed as base currency for your subscription plan.","Le ""%s"" n'est pas autorisé en tant que devise de base pour votre forfait d'abonnement."
"The account this API request is coming from is inactive.","Le compte dont provient cette requête API est inactive."
"The country has been deleted.","Le pays a été supprimé."
"The country has been saved.","Le pays a été sauvegardé."
"The current request did not return any results.","La requête en cours n'a retourné aucun résultat."
"The maximum allowed API amount of monthly API requests has been reached.","Le montant maximal autorisé des requêtes API mensuelles a été atteint."
"The region has been deleted.","La région a été supprimée."
"The region has been saved.","La région a été sauvegardée."
"This country no longer exists.","Ce pays n'existe plus."
"This region no longer exists.","Cette région n'existe plus."
"Three character ISO code (e.g. USA, GBR, DEU)","Code ISO à trois caractères (par exemple USA, GBR, DEU)"
"Top Countries","Meilleurs pays"
"Two character country code (e.g. US, GB, DE)","Code pays à deux caractères (par exemple US, GB, DE)"
"Two character ISO code (usually same as Country ID)","Code ISO à deux caractères (généralement identique à l'ID du pays)"
"Unable to calculate rate for %s to %s.","Impossible de calculer le taux pour %s à %s."
"Unable to initialize the import model.","Impossible d'initialiser le modèle d'importation."
"Unable to retrieve rate for USD to %s.","Impossible de récupérer le taux pour les USD vers %s."
"Undefined rate from ""%s-%s"".","Taux indéfini de ""%s-%s""."
"Update existing regions and localized names","Mettre à jour les régions existantes et les noms localisés"
"WARNING:","ATTENTION :"
"Your Currency","Votre devise"
"Your Currency:","Votre devise :"
"Your current currency is: %s","Votre devise actuelle est : %s"
