"%dh","%dh"
"%dh %dm","%dh %dm"
"%dm","%dm"
"%dm %ds","%dm %ds"
"%ds","%ds"
"Are you sure you want to disable the selected cron job(s)?","Êtes-vous sûr de vouloir désactiver le(s) tâche(s) cron sélectionnée(s) ?"
"At %s","At %s"
"Callback","Callback"
"Clear History","Effacer l'historique"
"Close","Fermer"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (tâches planifiées) - toutes les heures sont en minutes"
"Cron does not appear to be running. No jobs have been executed in the last hour. Please verify that cron is configured on your server.","Cron ne semble pas être en cours d'exécution. Aucun travail n'a été exécuté au cours de la dernière heure. Veuillez vérifier que cron est configuré sur votre serveur."
"Cron history has been cleared. %d record(s) deleted.","Cron history has been cleared. %d record(s) deleted."
"Cron job ""%s"" has been disabled.","La tâche Cron «%s» a été désactivée."
"Cron job ""%s"" has been enabled.","La tâche Cron «%s» a été activée."
"Cron Jobs","Tâches cron"
"Daily","Tous les jours"
"Daily at %s","Tous les jours à %s"
"day %s","jour %s"
"Disable","Désactiver"
"Disabled","Désactivé"
"Enable","Activer"
"Enabled","Activé"
"Every %d hours at minute %d","Every %d hours at minute %d"
"Every %d minutes","Toutes les %d minutes"
"Every cron run","Chaque exécution cron"
"Every hour","Toutes les heures"
"Every minute","Chaque minute"
"Execution History","Historique d'Exécution"
"Failure History Lifetime","Durée de vie de l'historique d'échec"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Pour les URL générées lors de l'exécution de cron, assurez-vous que les URL de base sécurisées et non sécurisées sont explicitement définies."
"Generate Schedules Every","Générer des Schedules toutes les"
"History","Historique"
"History Cleanup Every","Nettoyage de l'historique toutes les"
"hour %s","heure %s"
"Hourly","Heures"
"Invalid callback: %s::%s does not exist","Rappel invalide : %s::%s n'existe pas"
"Invalid model/method definition, expecting ""model/class::method"".","Définition de modèle/méthode invalide, ""model/class::method"" attendu."
"Job Code","Code du poste"
"Last Run","Dernière exécution"
"Last Status","Dernier statut"
"minute %s","minute %s"
"Missed","Manqué"
"Missed if Not Run Within","Manqué si non exécuté à l'intérieur"
"month %s","mois %s"
"Monthly","Mensuel"
"Monthly on day %d at %s","Mensuel le jour %d à %s"
"Next Run","Prochaine exécution"
"No callbacks found","Aucun rappel trouvé"
"No execution history found.","Aucun historique d'exécution trouvé."
"No job code specified.","Aucun code de tâche spécifié."
"No schedule ID specified.","Aucun ID de calendrier spécifié."
"Not scheduled","Non planifié"
"Pending","En attente"
"Please select cron job(s).","Veuillez sélectionner le(s) job(s) cron."
"Run Cron Job","Lancer la tâche cron"
"Running","En cours d'exécution"
"Running...","En cours..."
"Run Now","Exécuter maintenant"
"Schedule","Planifier"
"Schedule Ahead for","Planifier en avance pour"
"Schedule not found.","Planification introuvable."
"Success","Succès"
"Success History Lifetime","Durée de vie de l'historique des succès"
"Too late for the schedule.","Trop tard pour le calendrier."
"Total of %d cron job(s) were disabled.","Le total des tâches %d cron ont été désactivées."
"Total of %d cron job(s) were enabled.","Le total des tâches %d cron ont été activées."
"Unable to save the cron expression.","Impossible d'enregistrer l'expression cron."
"Unknown cron job: %s","Tâche cron inconnue : %s"
"weekday %s","jour de la semaine %s"
"Weekly","Hebdomadaire"
"Weekly on %s at %s","Hebdomadaire le %s à %s"
