"Access denied.","Accès refusé."
"Anti-scraping throttle on /api/rest/v2/auth/token. Default 20 per minute. 0 to disable.","Anti-tremblement de gaz sur /api/rest/v2/auth/token. 20 par minute. 0 pour désactiver."
"API","API"
"Api Key confirmation must be same as Api Key.","La confirmation de la clé Api doit être la même que la clé Api."
"Api Key must be at least of %d characters.","Api Key must be at least of %d characters."
"Api Key must include both numeric and alphabetic characters.","La clé d'API doit contenir des caractères numériques et alphabétiques."
"A user with the same user name or email already exists.","Un utilisateur avec le même nom d'utilisateur ou adresse e-mail existe déjà."
"Auth-token endpoint (per IP)","Point de terminaison du jeton d'authentification (par IP)"
"Can not find webservice adapter.","Impossible de trouver l'adaptateur de service web."
"Client Session Timeout (sec.)","Délai de la session client (sec.)"
"Customer login","Connexion client"
"Default Response Charset","Charset de la réponse par défaut"
"Email","Courriel"
"Enable WSDL Cache","Activer le cache WSDL"
"First Name is required field.","Le prénom est obligatoire."
"General Settings","Paramètres généraux"
"Invalid webservice adapter specified.","L'adaptateur de service web spécifié est invalide."
"Invalid webservice handler specified.","Gestionnaire de service web spécifié invalide."
"Last Name is required field.","Le champ Nom est obligatoire."
"Maho Core API","API Maho Core"
"Orphaned API Resources","Ressources de l'API Orphane"
"Per credential. Covers /auth/token (customer + api_user grants) and the GraphQL customerLogin mutation. Default 5 per minute. 0 to disable.","Par identifiant. Couvre /auth/token (client + api_user donneurs) et la mutation de GraphQL customerLogin . 5 par minute. 0 pour désactiver."
"Please enter a valid email.","Veuillez entrer une adresse e-mail valide."
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Rôles"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Utilisateurs"
"Unable to login.","Impossible de se connecter."
"User Name","Nom d'utilisateur"
"User Name is required field.","Le nom d'utilisateur est obligatoire."
"WS-I Compliance","Conformité WS-I"
"Your account has been deactivated.","Votre compte a été désactivé."
