"%d Review(s)","%d Review(s)"
"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>","<a href=""%1$s"" onclick=""this.target='blank'"">%2$s</a> <a href=""mailto:%3$s"">(%3$s)</a>"
"Add New Review","Ajouter un nouveau commentaire"
"Administrator","Administrateur"
"Allow Guests to Write Reviews","Autoriser les invités à écrire des commentaires"
"All Reviews","Tous les commentaires"
"All Reviews of Customer `%s`","Tous les commentaires du client `%s`"
"All Reviews of Product `%s`","Tous les commentaires du produit `%s`"
"Approved","Approuvé"
"Are you sure?","Êtes-vous sûr(e) ?"
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Average Customer Rating","Notation moyenne des clients"
"Average Customer Rating:","Note moyenne du client:"
"Back","Précédent"
"Back to My Reviews","Retour à mes commentaires"
"Back to Product Reviews","Retour aux avis sur les produits"
"Be the First to Review","Soyez le premier à passer en revue"
"Be the first to review this product","Soyez le premier à évaluer ce produit"
"Cancel","Abandonner"
"Catalog Product Review View","Vue de revue des produits du catalogue"
"Close","Fermer"
"Created On","Créé le"
"Customer","Client"
"Customer My Account Product Reviews","Clients - Mon compte client - Avis sur les produits"
"Customer My Account Review Details","Détails de l'avis de mon compte client"
"Customer Reviews","Avis des clients"
"Customers Reviews","Avis des clients"
"Delete","Supprimez"
"Delete Review","Supprimer la revue"
"Detailed Rating","Notation détaillée"
"Edit Review '%s'","Modifier la revue '%s'"
"Guest","Invité"
"ID","ID"
"Manage Ratings","Gérer les évaluations"
"My Product Reviews","Mes avis sur les produits"
"My Recent Reviews","Mes commentaires récents"
"Name","Nom"
"Name in Store","Nom dans la boutique"
"New Review","Nouveau commentaire"
"Nickname","Pseudo"
"Nickname can't be empty","Le pseudo ne peut pas être vide"
"Not Approved","Non approuvé"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Seuls les utilisateurs enregistrés peuvent écrire des commentaires. S'il vous plaît, <a href=""%s"">connectez-vous à</a> ou <a href=""%s"">enregistrez</a>"
"Pending","En attente"
"Pending Reviews","Avis en attente"
"Pending Reviews of Customer `%s`","Avis en attente du client `%s`"
"Please select a rating for each category","Veuillez sélectionner une note pour chaque catégorie"
"Posted By","Publié par"
"Price","Prix"
"Product","Produit"
"Product Name","Nom du produit"
"Product Rating","Notation du produit"
"Product Rating:","Évaluation du produit :"
"Product Review (submitted on %s):","Avis sur le produit (soumis sur %s):"
"Product Reviews","Avis sur les produits"
"Product SKU","REF du produit"
"Products Reviews","Avis sur les produits"
"Qty","Qté"
"Rating:","Évaluation :"
"Review","Évaluer"
"Review (submitted on %s):","Révision (soumise sur %s ) :"
"Review can't be empty","La revue ne peut pas être vide"
"Review Details","Détails de la revue"
"Review Form Fields Before","Avant les champs de formulaire de révision"
"Reviews","Revues"
"Reviews and Ratings","Avis et évaluations"
"Review summary can't be empty","Le résumé de la révision ne peut pas être vide"
"Save Review","Enregistrer la revue"
"SKU","UGS"
"Status","Statut"
"Submit Review","Soumettre un commentaire"
"Summary","Summary"
"Summary of Review","Résumé de l'examen"
"Summary Rating","Résumé de l'évaluation"
"This product has no reviews yet","Ce produit n'a pas encore d'avis"
"Title","Titre de la page"
"Type","Type de texte"
"Unable to post the review.","Impossible de publier le commentaire."
"Update Status","Mettre à jour le statut"
"View All Reviews","Voir tous les commentaires"
"View Details","Voir les détails"
"Visible In","Visible dans"
"Websites","Sites web"
"Write a Review","Écrire un commentaire"
"You're reviewing:","Vous évaluez :"
"You have submitted no reviews.","Vous n'avez soumis aucun commentaire."
"Your Rating:","Votre évaluation :"
"Your Review (submitted on %s):","Votre avis (soumis sur %s ) :"
"Your review has been accepted for moderation.","Votre avis a été accepté pour modération."
