"Add Recipient","Ajouter un destinataire"
"Allow for Guests","Autoriser les invités"
"An invalid email address for recipient was entered.","Une adresse e-mail invalide pour le destinataire a été saisie."
"At least one recipient must be specified.","Au moins un destinataire doit être spécifié."
"Back","Précédent"
"Catalog Product Email to a Friend","E-mail du produit catalogue à un ami"
"Email Address","Adresse e-mail"
"Email Address:","Adresse E-mail:"
"Email Templates","Modèles d'email"
"Email to a Friend","Envoyer un e-mail à un ami"
"Email:","Email:"
"Enabled","Activé"
"Invalid Sender Information","Informations d'expéditeur non valides"
"Invalid sender email.","Invalid sender email."
"Limit Sending By","Limite d'envoi par"
"Max Products Sent in 1 Hour","Nombre maximum de produits envoyés en 1 heure"
"Max Recipients","Nombre maximum de destinataires"
"Maximum %d email addresses allowed.","Adresses e-mail %d maximum autorisées."
"Message:","Message :"
"Name","Nom"
"Name:","Nom:"
"No more than %d emails can be sent at a time.","No more than %d emails can be sent at a time."
"Please define a correct Cookie instance.","Veuillez définir une instance de cookies correcte."
"Please define a correct Product instance.","Veuillez définir une instance de produit correcte."
"Please define the correct Sender information.","Veuillez définir les informations de l'expéditeur correctes."
"Recipient:","Destinataire :"
"Remove Email","Remove Email"
"Select Email Template","Sélectionnez le modèle d'e-mail"
"Send Email","Envoyer un e-mail"
"Send product to a friend","Envoyer un produit à un ami"
"Sender:","Expéditeur:"
"Some emails were not sent.","Certains e-mails n'ont pas été envoyés."
"The link to a friend was sent.","Le lien vers un ami a été envoyé."
"The message cannot be empty.","Le message ne peut pas être vide."
"The messages cannot be sent more than %d times in an hour","Les messages ne peuvent pas être envoyés plus de %d fois en une heure"
"The sender name cannot be empty.","Le nom de l'expéditeur ne peut pas être vide."
"There were some problems with the data.","Il y a eu des problèmes avec les données."
"You have exceeded limit of %d sends in an hour","Vous avez dépassé la limite des envois %d dans une heure"
