"-- Top Level --","-- Meilleur Niveau --"
"-- Use System Default --","-- Utiliser la valeur par défaut du système --"
"A category with URL key ""%s"" already exists under the same parent.","Une catégorie avec la clé URL ""%s"" existe déjà sous le même parent."
"Add Category","Ajouter une catégorie"
"Add Post","Ajouter une publication"
"Blog","Blogue"
"Blog Categories","Catégories de blog"
"Blog Category","Catégorie de blog"
"Blog Post","Article de blog"
"Blog Post API","API de publication de blog"
"Blog Posts","Publications de blog"
"Categories","Catégories"
"Category Information","Information sur la catégorie"
"Category Posts","Articles de la catégorie"
"Category URL Prefix","Préfixe d'URL de la catégorie"
"Category was successfully deleted","La catégorie a été supprimée avec succès"
"Category was successfully saved","La catégorie a été enregistrée avec succès"
"Create blog post","Créer un article de blog"
"Create new post","Créer un nouveau message"
"Delete Category","Supprimer la catégorie"
"Delete Post","Supprimer la publication"
"Delete post","Supprimer la publication"
"Edit Category","Modifier la catégorie"
"Edit Category '%s'","Modifier la catégorie '%s'"
"Edit Post","Modifier la publication"
"Edit Post '%s'","Modifier le message '%s'"
"Enable Blog Search in Autosuggest","Activer la recherche de blog dans la suggestion automatique"
"Enable Categories","Activer les catégories"
"General","Généraux"
"General Information","Informations générales"
"Get post info","Obtenir les infos sur la publication"
"Get post list","Obtenir la liste des publications"
"Include Images","Inclure les images"
"Level","Niveau"
"Maximum Blog Posts in Autosuggest","Nombre maximum d'articles de blog dans la suggestion automatique"
"Meta Information","Méta information"
"Meta Title","Titre de la méta"
"New Category","Nouvelle catégorie"
"New Post","Nouveau message"
"Parent Category","Catégorie parente"
"Please select category(s)","Veuillez sélectionner une ou plusieurs catégorie(s)"
"Please select post(s)","Veuillez sélectionner le(s) post(s)"
"Position","Position"
"Post Categories","Catégories de publication"
"Post Content","Contenu de la publication"
"Post Information","Informations sur la publication"
"Posts","Publications"
"Posts per Page","Messages par page"
"Post was successfully deleted","La publication a été supprimée avec succès"
"Post was successfully saved","La publication a été enregistrée avec succès"
"Publishing Date","Date de publication"
"Remove blog post","Supprimer un article de blog"
"Retrieve blog post info","Récupérer les infos du post de blog"
"Retrieve blog posts","Récupérer les articles de blog"
"Save Category","Enregistrer la catégorie"
"Save Post","Enregistrer la publication"
"Show in Navigation","Afficher dans la navigation"
"There are no blog posts in this category.","Il n'y a aucun article de blog dans cette catégorie."
"There are no blog posts to display.","Il n'y a aucun article de blog à afficher."
"This category no longer exists.","Cette catégorie n'existe plus."
"This post no longer exists.","Ce message n'existe plus."
"Total of %d category(s) were deleted","Total of %d category(s) were deleted"
"Total of %d post(s) were deleted","Total of %d post(s) were deleted"
"Update blog post","Mettre à jour le post de blog"
"Update post","Mettre à jour la publication"
"URL Prefix","Préfixe d'URL"
