"%s message(s) discarded.","%s message(s) discarded."
"%s message(s) re-queued.","%s message(s) re-queued."
"%s message(s) were skipped: only failed or stuck messages without a newer copy of their dedupe key can be retried.","Les messages %s ont été ignorés : seuls les messages échoués ou bloqués sans une copie plus récente de leur clé de déduction peuvent être tentés."
"%s queue message(s) were claimed by a worker that never finished. They are not re-queued automatically: <a href=""%s"">retry or discard them</a>.","%s message(s) de file d'attente ont été réclamés par un travailleur qui n'a jamais terminé. Ils ne sont pas remises en file d'attente automatiquement: <a href=""%s"">recommencez ou jetez-les</a>."
"0 keeps failed messages forever.","0 garde les messages échoués pour toujours."
"0 removes messages immediately on success; a positive value keeps them visible in the grid for this many days.","0 supprime les messages immédiatement en cas de succès ; une valeur positive les conserve visibles dans la grille pendant ce nombre de jours."
"Action","Action"
"Available","Disponible"
"Available (UTC)","Disponible (UTC)"
"Back","Précédent"
"Background message processing. Maho cron keeps one detached ""queue:work"" worker running per pool: a resident ""fast"" worker so short jobs never queue behind long ones, plus a ""slow"" catch-all started only while it has work. Both are respawned within a minute if they die. Pools are declared in config.xml under global/queue/pools.","Traitement des messages en arrière-plan. Maho cron maintient un travailleur détaché ""queue:travail"" fonctionnant par pool : un travailleur résidant ""rapide"" de sorte que les tâches courtes ne soient jamais mises en file d'attente derrière les tâches longues, plus un ""lent"" fourre-tout a commencé seulement quand il a du travail. Les deux sont réapparus en une minute s'ils meurent. Les piscines sont déclarées dans config.xml sous global/queue/pools."
"Body (serialized)","Corps (sérialisé)"
"Claimed (UTC)","Claimed (UTC)"
"Completed","Terminé"
"Discard","Abandonner"
"Discard Messages","Rejeter les messages"
"Each retry waits this many times longer than the previous one.","Chaque nouvelle tentative attend autant de fois plus que la précédente."
"Error","Erreur"
"Failed","Echoué"
"Failed messages are retried this many times with exponential backoff, then marked failed.","Les messages échoués sont ré-essayés plusieurs fois avec une arrière-plan exponentiel, puis marqués comme ayant échoué."
"ID","ID"
"Initial Retry Delay (seconds)","Délai de réessai initial (secondes)"
"Keep Completed Messages (days)","Garder les messages terminés (jours)"
"Keep Failed Messages (days)","Conserver les messages échoués (jours)"
"Max Retries","Nombre maximum de tentatives"
"Max Retry Delay (seconds)","Délai de réessai max (secondes)"
"Message","Message"
"Message #%s","Message #%s"
"Message Class","Message Class"
"Message Details","Détails du message"
"Message discarded.","Message rejeté."
"Message not found.","Message introuvable."
"Message Queue","File d'attente des messages"
"Message re-queued.","Message ré-mis en file d'attente."
"Pending","En attente"
"Permanently delete the selected messages?","Supprimer définitivement les messages sélectionnés ?"
"Permanently delete this message?","Supprimer définitivement ce message ?"
"Processed (UTC)","Transformé (UTC)"
"Processing","Traitement en cours"
"Queue","File d'attente"
"Queued","En file d'attente"
"Queued (UTC)","Queued (UTC)"
"Re-queue the selected messages?","Ré-mettre en file d'attente les messages sélectionnés ?"
"Re-queue this message?","Ré-file d'attente ce message ?"
"Retries","Tentatives"
"Retry","Réessayer"
"Retry Delay Multiplier","Réessayer le multiplicateur de délai"
"Retry Messages","Réessayer les messages"
"Status","Statut"
"The message was not retried: only failed or stuck messages without a newer copy of their dedupe key can be retried.","Le message n'a pas été tenté : seuls les messages échoués ou bloqués sans une nouvelle copie de leur clé de déduite peuvent être tentés."
"Upper bound for the backoff. 0 means no bound.","Limite supérieure pour l'arrière-plan. 0 signifie aucune limite."
"View","Voir"
"View Messages","Voir les messages"
