"# of Use","# d'utilisation"
"%1$s incl tax.","Taxe %1$s TTC"
"%s-%s of %s","%s-%s of %s"
"%s and above","%s et plus"
"%s Item(s)","Objet %s"
"(%d)","(%d)"
"(Copy data from: %s)","(Copier les données de : %s)"
"* Required Fields","* Champs obligatoires"
"-- Please Select --","-- Veuillez sélectionner --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 par défaut, si non défini. Pour actualiser instantanément, Effacer le cache de sortie HTML des blocs."
"<strong style=""color:red"">Deprecated.</strong> Flat Catalog will be removed in a future version. Modern databases no longer require this optimization.","<strong style=""color:red"">Obsolète.</strong> Le catalogue plat sera supprimé dans une future version. Les bases de données modernes ne nécessitent plus cette optimisation."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Attention!</strong> L'application de MAP par défaut masquera tous les prix des produits sur le frontend."
"Action","Action"
"Active Filters","Filtres actifs"
"Actual Price","Prix réel"
"Add","Ajouter"
"Add Attribute","Ajouter un attribut"
"Add attribute into attribute set","Ajouter un attribut dans le jeu d'attributs"
"Add Design Change","Ajouter un changement de design"
"Add Group","Ajouter un groupe"
"Add group into attribute set","Ajouter un groupe dans le jeu d'attributs"
"Add Group Price","Ajouter un prix de groupe"
"Additional Information","Informations supplémentaires"
"Additional Views","Vues supplémentaires"
"Add New","Ajouter un nouveau"
"Add New Attribute","Ajouter un nouvel attribut"
"Add New Attribute Set","Ajouter un nouveau jeu d'attributs"
"Add new custom option into product","Ajouter une nouvelle option personnalisée au produit"
"Add New Group","Ajouter un nouveau groupe"
"Add New Images","Ajouter de nouvelles images"
"Add New Option","Ajouter une nouvelle option"
"Add New Row","Ajouter une nouvelle ligne"
"Add New Search Term","Ajouter un nouveau terme de recherche"
"Add New Set","Ajouter un nouveau jeu"
"Add new values into custom option","Ajouter de nouvelles valeurs dans une option personnalisée"
"Add option","Ajouter une option"
"Add Product","Ajouter un produit"
"Add Product To Websites","Ajouter un produit aux sites Web"
"Add Root Category","Ajouter une catégorie racine"
"Add Subcategory","Ajouter une sous-catégorie"
"Add Tax","Ajouter une taxe"
"Add Tier","Ajouter un niveau"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter à la comparaison"
